1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,46,48,49,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HV BG 1 T,HV BG 2 T,HVP BG 2 T
Time [h],1000000067,1000000068,1000000129,1000000259,1000000500,1000000638,1000000810,1000001012,1000001029,1000001089,1000001150,1000001211,1000002356,1000002380,1000002441,1000002491,1000002550,1000002603,1000002661,1000002944,1000002997,1000003059,1000003124,1000003187,1000003251,1000005329,1000005440,1000005560,1000005636,1000005815,1000005879,1000005880,1000006078,1000006080,1000006134,1000006135,1000006193,1000006194,1000006588,1000007004,1000007005,1000007581,1000007629,1000000372,1000000480,1000000671
0.1,3057.41,2920.43,3188.86,2590.04,2140.85,3040.43,3114.31,2795.47,2975.6,4572.66,2973.71,2315.89,3695.75,4164.23,3066.91,3174.29,1887.31,1963.59,1852.02,2389.86,3406.23,3507.74,2401.57,3370.17,4033.96,2729.17,2701.8,1855.4,2674.24,,3789.55,3789.55,,,3873.68,3873.68,3959.78,3959.78,,3242.23,3242.23,2591.34,3332.5,335.981,853.656,1294.53
0.2,3219.54,3215.26,3447.83,2479.71,2644.46,3381.35,3334.75,2684.77,2917.22,4376.49,2791.97,2374.15,3823.27,4302.35,3149.74,3198.26,1923.32,2242.86,1794.13,2406.42,3569.02,3391.68,1520.68,3263.42,4141.69,2978.36,3008.67,1911.52,2499.99,,3971.91,3971.91,,,3571.86,3571.86,4044.98,4044.98,,3022.76,3022.76,2491.08,3173.78,439.296,894.979,1358.67
0.3,3193.07,3372.49,3771.24,2491.93,2749.91,3656.08,3440.32,2747.49,2975.64,4452.38,2980.81,2636.23,3816.22,4043.39,3181.45,2992.18,1795.76,2290.07,1954.85,2684.42,4062.17,3651.23,2097.17,3513.11,4448.25,2897.27,2839.69,2197.06,2355.17,,4369.68,4369.68,,,3845.08,3845.08,4261,4261,,3202.43,3202.43,2712.84,3144.68,435.219,1054.93,1446.64
0.4,3196.52,3346.69,3885.48,2325.55,2857.97,3801.55,3296.28,2739.4,3080.26,4455.77,2805.29,2418.65,4062.11,4670.34,3278.16,2952.89,2249.76,1714.11,1689.32,2724.32,3845.64,3544.52,2078.48,3394.38,4454,3224.64,2957.01,2330.44,2713.84,,4424.38,4424.38,,,4101.99,4101.99,4033.87,4033.87,,3017.84,3017.84,2734.02,3129.78,525.717,1034,1619.71
0.5,2796.5,3453.98,4053.81,2463.48,2840.25,3683.86,2888.2,2873.85,3104.18,4923.38,3147.19,2229.57,4044.29,4385.32,3090.19,2572.56,2430.53,2159.69,1979.21,2553.85,3703.3,3588.41,2270.43,3634.2,4309.4,3103.14,3120.24,2121.13,2420.72,,4281.82,4281.82,,,4172.43,4172.43,4602.46,4602.46,,2946.99,2946.99,2766.42,3114.26,466.096,960.279,1328.41
0.6,2361.38,3367.14,4007.63,2528.68,2672.57,3787.8,3218.84,3062.33,2805.93,4477.68,2998.78,2437.78,4014,4408.19,3162.6,3199.08,2248.5,1953.83,2101.83,2470.36,3996.01,3556.15,2227.96,3592.51,4334.93,2834.31,3483.13,2548.16,2664.39,1891.56,4247.85,4247.85,,,4221.56,4221.56,4614.53,4614.53,,3047.65,3047.65,2655.88,3240.64,548.772,944.257,1304.69
0.7,2988.22,3325.06,3744.61,2542.98,2671.58,3714.14,2436.35,2900.02,2948.44,4351.88,2934.34,2530.56,3999.47,4210.27,3055.37,2806.19,2015.73,2248.64,2014.89,2621.65,4052.17,3763.28,1995.82,3551.63,4340.95,2835.83,3336.42,2456.41,2842.2,1832.46,4196.68,4196.68,,,4492.73,4492.73,4404.61,4404.61,,3102.67,3102.67,2620.47,3226.05,563.359,926.885,1394.29
