Position,,,,,,,,Intensity Mean Ch=3 Img=1,Intensity Mean Ch=2 Img=1
 ==================== ,,,,,,,, ==================== , ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,VENUS Intensity Mean,KEIMA Intensity Mean
67.7984,89.5075,3.61322,um,Spot,Position,1,152,42.2052,1152.42
83.0497,72.5528,5.12267,um,Spot,Position,1,153,103.7,942.904
60.2625,67.3909,6.419,um,Spot,Position,1,154,110.061,1843.79
71.8501,79.6753,7.22277,um,Spot,Position,1,155,80.3653,1463.06
79.9237,87.5212,7.2995,um,Spot,Position,1,156,34.7868,1095.82
86.8813,73.5355,1.2,um,Spot,Position,1,157,63.7022,1619.09
112.663,78.6554,1.2,um,Spot,Position,1,159,28.9427,1606.26
102.515,81.2783,1.2,um,Spot,Position,1,160,74.0406,1329.52
94.8361,65.2165,1.4286,um,Spot,Position,1,162,33.5973,1457.58
92.2401,82.8259,1.74468,um,Spot,Position,1,163,448.876,1530.27
107.324,74.4563,2.27495,um,Spot,Position,1,164,73.6439,1114.28
94.3892,84.5999,5.47685,um,Spot,Position,1,165,122.472,1288.03
110.538,65.832,6.88244,um,Spot,Position,1,166,36.9051,1248.41
115.386,88.5751,1.2,um,Spot,Position,1,171,43.0436,1909.5
118.368,78.0903,2.18826,um,Spot,Position,1,173,35.3652,1641.01
40.4833,30.7333,8.75351,um,Spot,Position,1,219,27.386,843.491
55.2523,35.7187,9.78084,um,Spot,Position,1,220,447.001,1751.12
45.9545,31.6673,11.4686,um,Spot,Position,1,223,31.9924,942.838
73.1078,31.2007,9.28234,um,Spot,Position,1,228,36.6996,1239.69
67.4045,31.4594,11.2392,um,Spot,Position,1,230,61.3217,1309.83
93.2416,31.7634,7.98509,um,Spot,Position,1,237,29.1383,806.065
103.436,33.2147,9.76435,um,Spot,Position,1,242,16.3806,873.184
24.3384,57.5165,7.76503,um,Spot,Position,1,266,638.079,1683.78
27.4788,64.2197,8.39756,um,Spot,Position,1,267,806.007,1451.26
56.4456,53.2351,10.2169,um,Spot,Position,1,270,1064.79,1571.14
31.7454,43.6404,10.7302,um,Spot,Position,1,271,1147.07,1373.77
42.9841,43.8332,11.3706,um,Spot,Position,1,272,108.832,1153.41
29.9667,61.3937,11.1398,um,Spot,Position,1,273,388.206,1125.05
40.6422,50.0446,11.7713,um,Spot,Position,1,274,1068.95,1514.8
30.7235,50.8754,11.5787,um,Spot,Position,1,275,2474.64,1102.04
44.2611,36.7064,12.3866,um,Spot,Position,1,276,45.781,1225.92
57.5017,41.5912,12.7539,um,Spot,Position,1,277,993.361,1200.54
37.0981,59.6939,14.021,um,Spot,Position,1,278,88.1887,1596.88
44.9761,64.6883,14.2287,um,Spot,Position,1,279,2669.56,1581.92
31.8518,55.3253,14.5154,um,Spot,Position,1,280,55.1933,1322.39
70.0279,45.3544,8.53465,um,Spot,Position,1,281,472.141,1726.11
74.1239,58.4897,8.21207,um,Spot,Position,1,282,131.949,1077.06
84.7353,60.4628,8.33257,um,Spot,Position,1,283,106.968,1281.65
63.9249,50.65,10.229,um,Spot,Position,1,284,547.274,1379.1
79.9649,43.6149,11.2913,um,Spot,Position,1,285,258.361,1372.14
70.5292,56.5889,11.6531,um,Spot,Position,1,286,1049.7,1515.29
80.15,57.917,12.0687,um,Spot,Position,1,287,499.266,1079.2
65.3746,57.6441,13.1579,um,Spot,Position,1,288,232.833,932.231
96.0754,38.818,8.84517,um,Spot,Position,1,289,29.0142,1521.65
107.663,52.8862,9.21177,um,Spot,Position,1,290,29.9301,1561.89
99.9077,64.0442,9.45921,um,Spot,Position,1,291,38.4102,1713.53
96.7556,48.8411,11.011,um,Spot,Position,1,292,36.1853,1492.04
113.425,62.2316,12.6249,um,Spot,Position,1,293,36.7227,1269.44
107.932,37.586,13.267,um,Spot,Position,1,294,25.9894,861.231
107.815,63.243,13.0353,um,Spot,Position,1,295,33.8942,1307.38
103.602,59.675,14.6231,um,Spot,Position,1,296,57.0972,1528.8
99.5725,46.7477,15.0066,um,Spot,Position,1,297,32.0218,1774.1
96.0904,63.0852,14.9808,um,Spot,Position,1,298,275.204,1193.45
116.626,62.7941,7.83681,um,Spot,Position,1,300,31.1731,1250.23
117.987,39.4393,8.53118,um,Spot,Position,1,303,31.4604,1318.83
117.619,44.994,13.736,um,Spot,Position,1,311,25.3627,1561.07
115.72,54.9092,14.2711,um,Spot,Position,1,312,49.4203,1348.46
31.4938,68.0745,8.15267,um,Spot,Position,1,318,642.154,1638.39
54.1929,68.7057,7.70412,um,Spot,Position,1,319,467.983,1540.92
39.8912,82.1473,7.76351,um,Spot,Position,1,320,100.513,1726.83
41.9358,69.082,8.59186,um,Spot,Position,1,321,255.058,1578.3
32.2801,81.9709,9.19211,um,Spot,Position,1,322,48.2732,1280.9
34.5417,74.3978,9.90891,um,Spot,Position,1,323,1686.45,1219.11
56.0049,74.1678,12.1317,um,Spot,Position,1,324,208.688,1422.69
36.7898,70.2243,12.7887,um,Spot,Position,1,325,95.3331,1420.45
43.4159,85.6006,12.8353,um,Spot,Position,1,326,84.2585,1511.78
55.8552,86.5972,13.1251,um,Spot,Position,1,328,52.2707,2117.56
38.5778,77.8605,14.1836,um,Spot,Position,1,329,2689.83,1190.06
50.6372,81.2861,14.1431,um,Spot,Position,1,330,568.058,1580.1
42.9113,73.5903,14.5843,um,Spot,Position,1,331,1874.36,1651.83
76.9103,81.8888,7.94918,um,Spot,Position,1,332,62.2152,1462.97
67.3091,92.1111,8.97511,um,Spot,Position,1,333,48.0632,1217.67
65.9258,78.2783,9.93502,um,Spot,Position,1,334,84.3262,1356.25
83.6883,79.4955,11.9043,um,Spot,Position,1,336,86.1006,1466.25
79.667,73.9321,12.186,um,Spot,Position,1,337,887.463,1395.22
69.2178,74.6798,12.2621,um,Spot,Position,1,338,428.686,1422.17
74.6618,85.1367,12.0838,um,Spot,Position,1,339,114.396,1285.82
86.21,72.3319,13.6664,um,Spot,Position,1,340,79.8165,1375.41
106.127,89.4138,9.4996,um,Spot,Position,1,342,40.2939,1358.76
91.288,74.2782,9.91037,um,Spot,Position,1,343,64.4615,1437.49
88.1563,80.5743,9.62403,um,Spot,Position,1,344,76.8808,1504.26
113.269,81.0135,10.0651,um,Spot,Position,1,345,31.8545,1462.89
92.966,79.5751,10.3375,um,Spot,Position,1,347,60.9508,1434.12
89.3344,88.8657,10.7515,um,Spot,Position,1,348,71.3911,1543.1
114.344,85.4495,11.4346,um,Spot,Position,1,349,28.6842,1430.93
114.868,78.6984,13.7381,um,Spot,Position,1,350,75.953,1138.38
94.2563,89.8376,14.0449,um,Spot,Position,1,351,41.1054,1308.17
92.051,77.1389,14.7233,um,Spot,Position,1,352,61.7549,1395.29
113.261,92.1746,14.8532,um,Spot,Position,1,353,45.1252,1677.73
