
Intensity Mean Ch=5 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
27.8827,,Spot,5,Image 1,1,13,
32.0345,,Spot,5,Image 1,1,15,
29.677,,Spot,5,Image 1,1,17,
73.6249,,Spot,5,Image 1,1,19,
14.1511,,Spot,5,Image 1,1,26,
25.5021,,Spot,5,Image 1,1,27,
34.2307,,Spot,5,Image 1,1,28,
23.0124,,Spot,5,Image 1,1,29,
30.9749,,Spot,5,Image 1,1,30,
28.5862,,Spot,5,Image 1,1,31,
17.4637,,Spot,5,Image 1,1,33,
27.5645,,Spot,5,Image 1,1,36,
18.2964,,Spot,5,Image 1,1,38,
15.5334,,Spot,5,Image 1,1,40,
18.5227,,Spot,5,Image 1,1,45,
25.6483,,Spot,5,Image 1,1,61,
64.767,,Spot,5,Image 1,1,65,
25.6145,,Spot,5,Image 1,1,66,
159.18,,Spot,5,Image 1,1,67,
139.147,,Spot,5,Image 1,1,71,
889.585,,Spot,5,Image 1,1,72,
373.389,,Spot,5,Image 1,1,73,
530.01,,Spot,5,Image 1,1,74,
519.322,,Spot,5,Image 1,1,75,
571.863,,Spot,5,Image 1,1,76,
125.683,,Spot,5,Image 1,1,77,
199.33,,Spot,5,Image 1,1,78,
805.836,,Spot,5,Image 1,1,79,
47.3999,,Spot,5,Image 1,1,80,
183.593,,Spot,5,Image 1,1,81,
121.804,,Spot,5,Image 1,1,82,
36.859,,Spot,5,Image 1,1,83,
54.401,,Spot,5,Image 1,1,84,
51.2825,,Spot,5,Image 1,1,85,
81.7011,,Spot,5,Image 1,1,86,
268.092,,Spot,5,Image 1,1,87,
158.947,,Spot,5,Image 1,1,88,
177.408,,Spot,5,Image 1,1,89,
387.873,,Spot,5,Image 1,1,90,
108.888,,Spot,5,Image 1,1,91,
77.1146,,Spot,5,Image 1,1,92,
35.0456,,Spot,5,Image 1,1,93,
153.883,,Spot,5,Image 1,1,94,
21.7431,,Spot,5,Image 1,1,95,
29.8028,,Spot,5,Image 1,1,96,
39.9243,,Spot,5,Image 1,1,97,
24.6706,,Spot,5,Image 1,1,98,
21.0022,,Spot,5,Image 1,1,99,
21.6629,,Spot,5,Image 1,1,100,
20.4397,,Spot,5,Image 1,1,101,
77.9592,,Spot,5,Image 1,1,102,
24.1545,,Spot,5,Image 1,1,103,
64.1244,,Spot,5,Image 1,1,104,
30.1719,,Spot,5,Image 1,1,105,
95.3703,,Spot,5,Image 1,1,106,
22.8008,,Spot,5,Image 1,1,107,
67.9407,,Spot,5,Image 1,1,108,
19.3104,,Spot,5,Image 1,1,117,
77.8707,,Spot,5,Image 1,1,121,
46.8674,,Spot,5,Image 1,1,122,
40.3525,,Spot,5,Image 1,1,124,
109.495,,Spot,5,Image 1,1,128,
