
Intensity StdDev Ch=4 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
555.342,,Spot,4,Image 1,1,13,
228.092,,Spot,4,Image 1,1,15,
321.297,,Spot,4,Image 1,1,17,
126.25,,Spot,4,Image 1,1,19,
575.183,,Spot,4,Image 1,1,26,
183.532,,Spot,4,Image 1,1,27,
200.592,,Spot,4,Image 1,1,28,
282.296,,Spot,4,Image 1,1,29,
306.626,,Spot,4,Image 1,1,30,
112.128,,Spot,4,Image 1,1,31,
300.983,,Spot,4,Image 1,1,33,
149.697,,Spot,4,Image 1,1,36,
173.155,,Spot,4,Image 1,1,38,
86.3867,,Spot,4,Image 1,1,40,
210.285,,Spot,4,Image 1,1,45,
136.322,,Spot,4,Image 1,1,61,
496.723,,Spot,4,Image 1,1,65,
322.608,,Spot,4,Image 1,1,66,
243.193,,Spot,4,Image 1,1,67,
264.767,,Spot,4,Image 1,1,71,
209.85,,Spot,4,Image 1,1,72,
261.408,,Spot,4,Image 1,1,73,
85.9685,,Spot,4,Image 1,1,74,
251.53,,Spot,4,Image 1,1,75,
274.142,,Spot,4,Image 1,1,76,
259.26,,Spot,4,Image 1,1,77,
346.62,,Spot,4,Image 1,1,78,
138.68,,Spot,4,Image 1,1,79,
100.636,,Spot,4,Image 1,1,80,
448.547,,Spot,4,Image 1,1,81,
391.322,,Spot,4,Image 1,1,82,
195.115,,Spot,4,Image 1,1,83,
264.53,,Spot,4,Image 1,1,84,
201.946,,Spot,4,Image 1,1,85,
92.6369,,Spot,4,Image 1,1,86,
205.126,,Spot,4,Image 1,1,87,
252.796,,Spot,4,Image 1,1,88,
300.653,,Spot,4,Image 1,1,89,
75.4873,,Spot,4,Image 1,1,90,
330.438,,Spot,4,Image 1,1,91,
168.969,,Spot,4,Image 1,1,92,
144.883,,Spot,4,Image 1,1,93,
320.887,,Spot,4,Image 1,1,94,
173.257,,Spot,4,Image 1,1,95,
198.358,,Spot,4,Image 1,1,96,
349.568,,Spot,4,Image 1,1,97,
201.064,,Spot,4,Image 1,1,98,
231.071,,Spot,4,Image 1,1,99,
641.531,,Spot,4,Image 1,1,100,
464.808,,Spot,4,Image 1,1,101,
187.503,,Spot,4,Image 1,1,102,
102.823,,Spot,4,Image 1,1,103,
18.4678,,Spot,4,Image 1,1,104,
208.797,,Spot,4,Image 1,1,105,
