
Intensity StdDev Ch=1 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
566.41,,Spot,1,Image 1,1,13,
405.12,,Spot,1,Image 1,1,15,
528.393,,Spot,1,Image 1,1,17,
343.623,,Spot,1,Image 1,1,19,
616.864,,Spot,1,Image 1,1,26,
307.643,,Spot,1,Image 1,1,27,
380.858,,Spot,1,Image 1,1,28,
347.923,,Spot,1,Image 1,1,29,
400.151,,Spot,1,Image 1,1,30,
283.177,,Spot,1,Image 1,1,31,
373.591,,Spot,1,Image 1,1,33,
351.834,,Spot,1,Image 1,1,36,
278.656,,Spot,1,Image 1,1,38,
242.543,,Spot,1,Image 1,1,40,
304.556,,Spot,1,Image 1,1,45,
236.186,,Spot,1,Image 1,1,61,
485.347,,Spot,1,Image 1,1,65,
551.252,,Spot,1,Image 1,1,66,
457.551,,Spot,1,Image 1,1,67,
497.812,,Spot,1,Image 1,1,71,
404.105,,Spot,1,Image 1,1,72,
361.569,,Spot,1,Image 1,1,73,
354.187,,Spot,1,Image 1,1,74,
379.316,,Spot,1,Image 1,1,75,
439.441,,Spot,1,Image 1,1,76,
424.05,,Spot,1,Image 1,1,77,
620.451,,Spot,1,Image 1,1,78,
327.214,,Spot,1,Image 1,1,79,
186.349,,Spot,1,Image 1,1,80,
623.739,,Spot,1,Image 1,1,81,
533.972,,Spot,1,Image 1,1,82,
337.679,,Spot,1,Image 1,1,83,
438.284,,Spot,1,Image 1,1,84,
382.431,,Spot,1,Image 1,1,85,
269.111,,Spot,1,Image 1,1,86,
376.643,,Spot,1,Image 1,1,87,
433.066,,Spot,1,Image 1,1,88,
406.713,,Spot,1,Image 1,1,89,
264.562,,Spot,1,Image 1,1,90,
492.506,,Spot,1,Image 1,1,91,
338.003,,Spot,1,Image 1,1,92,
343.053,,Spot,1,Image 1,1,93,
491.159,,Spot,1,Image 1,1,94,
301.567,,Spot,1,Image 1,1,95,
416.308,,Spot,1,Image 1,1,96,
504.607,,Spot,1,Image 1,1,97,
417.856,,Spot,1,Image 1,1,98,
389.806,,Spot,1,Image 1,1,99,
656.051,,Spot,1,Image 1,1,100,
502.163,,Spot,1,Image 1,1,101,
306.169,,Spot,1,Image 1,1,102,
278.927,,Spot,1,Image 1,1,103,
210.454,,Spot,1,Image 1,1,104,
367.587,,Spot,1,Image 1,1,105,
541.303,,Spot,1,Image 1,1,106,
543.369,,Spot,1,Image 1,1,107,
458.265,,Spot,1,Image 1,1,108,
337.248,,Spot,1,Image 1,1,117,
453.556,,Spot,1,Image 1,1,121,
511.934,,Spot,1,Image 1,1,122,
632.932,,Spot,1,Image 1,1,124,
547.76,,Spot,1,Image 1,1,128,
488.88,,Spot,1,Image 1,1,129,
388.335,,Spot,1,Image 1,1,130,
440.947,,Spot,1,Image 1,1,131,
382.355,,Spot,1,Image 1,1,132,
479.556,,Spot,1,Image 1,1,133,
325.117,,Spot,1,Image 1,1,134,
442.982,,Spot,1,Image 1,1,136,
271.642,,Spot,1,Image 1,1,137,
497.049,,Spot,1,Image 1,1,139,
649.649,,Spot,1,Image 1,1,140,
350.63,,Spot,1,Image 1,1,141,
407.336,,Spot,1,Image 1,1,142,
525.349,,Spot,1,Image 1,1,143,
323.721,,Spot,1,Image 1,1,144,
262.265,,Spot,1,Image 1,1,145,
305.03,,Spot,1,Image 1,1,146,
294.747,,Spot,1,Image 1,1,147,
361.737,,Spot,1,Image 1,1,148,
447.723,,Spot,1,Image 1,1,149,
340.371,,Spot,1,Image 1,1,150,
350.525,,Spot,1,Image 1,1,151,
358.797,,Spot,1,Image 1,1,152,
266.142,,Spot,1,Image 1,1,153,
197.655,,Spot,1,Image 1,1,154,
446.924,,Spot,1,Image 1,1,155,
349.482,,Spot,1,Image 1,1,156,
437.109,,Spot,1,Image 1,1,157,
402.612,,Spot,1,Image 1,1,159,
480.374,,Spot,1,Image 1,1,160,
296.522,,Spot,1,Image 1,1,162,
263.673,,Spot,1,Image 1,1,163,
312.33,,Spot,1,Image 1,1,164,
372.508,,Spot,1,Image 1,1,165,
179.721,,Spot,1,Image 1,1,166,
441.697,,Spot,1,Image 1,1,171,
466.93,,Spot,1,Image 1,1,173,
263.928,,Spot,1,Image 1,1,219,
482.672,,Spot,1,Image 1,1,220,
345.172,,Spot,1,Image 1,1,223,
325.299,,Spot,1,Image 1,1,228,
361.524,,Spot,1,Image 1,1,230,
381.007,,Spot,1,Image 1,1,237,
378.537,,Spot,1,Image 1,1,242,
278.763,,Spot,1,Image 1,1,266,
391.63,,Spot,1,Image 1,1,267,
367.298,,Spot,1,Image 1,1,270,
416.265,,Spot,1,Image 1,1,271,
348.817,,Spot,1,Image 1,1,272,
292.181,,Spot,1,Image 1,1,273,
511.59,,Spot,1,Image 1,1,274,
340.158,,Spot,1,Image 1,1,275,
383.741,,Spot,1,Image 1,1,276,
394.064,,Spot,1,Image 1,1,277,
232.696,,Spot,1,Image 1,1,278,
332.967,,Spot,1,Image 1,1,279,
304.991,,Spot,1,Image 1,1,280,
301.796,,Spot,1,Image 1,1,281,
464.45,,Spot,1,Image 1,1,282,
342.776,,Spot,1,Image 1,1,283,
653.334,,Spot,1,Image 1,1,284,
497.133,,Spot,1,Image 1,1,285,
400.487,,Spot,1,Image 1,1,286,
323.625,,Spot,1,Image 1,1,287,
203.771,,Spot,1,Image 1,1,288,
318.557,,Spot,1,Image 1,1,289,
464.276,,Spot,1,Image 1,1,290,
215.207,,Spot,1,Image 1,1,291,
489.712,,Spot,1,Image 1,1,292,
294.529,,Spot,1,Image 1,1,293,
393.11,,Spot,1,Image 1,1,294,
308.61,,Spot,1,Image 1,1,295,
