
Intensity Sum of Square Ch=4 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
2.4878e+07,,Spot,4,Image 1,1,289,
1.55918e+08,,Spot,4,Image 1,1,290,
1.42081e+06,,Spot,4,Image 1,1,291,
2.12857e+08,,Spot,4,Image 1,1,292,
6.06025e+07,,Spot,4,Image 1,1,293,
3.46746e+08,,Spot,4,Image 1,1,294,
1.24326e+08,,Spot,4,Image 1,1,295,
2.14638e+08,,Spot,4,Image 1,1,296,
4.5047e+07,,Spot,4,Image 1,1,297,
7.1715e+07,,Spot,4,Image 1,1,298,
1.2943e+09,,Spot,4,Image 1,1,300,
2.15315e+08,,Spot,4,Image 1,1,303,
1.13377e+08,,Spot,4,Image 1,1,311,
1.35244e+08,,Spot,4,Image 1,1,312,
7.26783e+07,,Spot,4,Image 1,1,318,
2.69042e+08,,Spot,4,Image 1,1,319,
2.14777e+08,,Spot,4,Image 1,1,320,
1.50155e+08,,Spot,4,Image 1,1,321,
2.5746e+08,,Spot,4,Image 1,1,322,
1.04933e+08,,Spot,4,Image 1,1,323,
1.55424e+08,,Spot,4,Image 1,1,324,
1.60346e+07,,Spot,4,Image 1,1,325,
2.48979e+08,,Spot,4,Image 1,1,326,
2.29696e+06,,Spot,4,Image 1,1,328,
7.60097e+07,,Spot,4,Image 1,1,329,
1.55949e+08,,Spot,4,Image 1,1,330,
3.73827e+08,,Spot,4,Image 1,1,331,
8.87884e+07,,Spot,4,Image 1,1,332,
4.48558e+07,,Spot,4,Image 1,1,333,
5.98294e+07,,Spot,4,Image 1,1,334,
4.93524e+07,,Spot,4,Image 1,1,336,
1.81811e+08,,Spot,4,Image 1,1,337,
4.67817e+08,,Spot,4,Image 1,1,338,
1.17738e+08,,Spot,4,Image 1,1,339,
8.16535e+07,,Spot,4,Image 1,1,340,
2.49583e+08,,Spot,4,Image 1,1,342,
1.58488e+08,,Spot,4,Image 1,1,343,
3.08923e+08,,Spot,4,Image 1,1,344,
1.98846e+08,,Spot,4,Image 1,1,345,
1.14069e+09,,Spot,4,Image 1,1,347,
5.2254e+08,,Spot,4,Image 1,1,348,
2.06527e+08,,Spot,4,Image 1,1,349,
7.95499e+07,,Spot,4,Image 1,1,350,
3.55805e+08,,Spot,4,Image 1,1,351,
1.71382e+08,,Spot,4,Image 1,1,352,
1.20118e+09,,Spot,4,Image 1,1,353,
4.21724e+07,,Spot,4,Image 1,1,397,
8.04727e+07,,Spot,4,Image 1,1,398,
1.00275e+08,,Spot,4,Image 1,1,436,
1.93515e+08,,Spot,4,Image 1,1,437,
6.34431e+06,,Spot,4,Image 1,1,438,
5.39682e+07,,Spot,4,Image 1,1,440,
1.05951e+08,,Spot,4,Image 1,1,442,
4.67282e+07,,Spot,4,Image 1,1,443,
2.73315e+08,,Spot,4,Image 1,1,444,
3.96788e+08,,Spot,4,Image 1,1,445,
2.26064e+07,,Spot,4,Image 1,1,446,
4.48511e+07,,Spot,4,Image 1,1,447,
5.61408e+07,,Spot,4,Image 1,1,448,
1.09674e+08,,Spot,4,Image 1,1,449,
2.49861e+08,,Spot,4,Image 1,1,450,
6.47339e+07,,Spot,4,Image 1,1,451,
1.16051e+08,,Spot,4,Image 1,1,453,
4.11337e+07,,Spot,4,Image 1,1,454,
5.91511e+07,,Spot,4,Image 1,1,455,
2.13185e+08,,Spot,4,Image 1,1,456,
2.6349e+08,,Spot,4,Image 1,1,462,
5.46176e+08,,Spot,4,Image 1,1,469,
3.10044e+07,,Spot,4,Image 1,1,470,
7.50376e+07,,Spot,4,Image 1,1,471,
3.95803e+07,,Spot,4,Image 1,1,472,
2.35179e+08,,Spot,4,Image 1,1,473,
9.95244e+07,,Spot,4,Image 1,1,474,
6.93398e+07,,Spot,4,Image 1,1,475,
3.31181e+06,,Spot,4,Image 1,1,476,
3.26066e+07,,Spot,4,Image 1,1,477,
7.72763e+08,,Spot,4,Image 1,1,478,
1.59291e+08,,Spot,4,Image 1,1,479,
3.05041e+08,,Spot,4,Image 1,1,480,
9.86102e+07,,Spot,4,Image 1,1,481,
3.24844e+08,,Spot,4,Image 1,1,482,
819873,,Spot,4,Image 1,1,483,
1.23983e+09,,Spot,4,Image 1,1,484,
8.84447e+07,,Spot,4,Image 1,1,485,
5.54093e+07,,Spot,4,Image 1,1,486,
9.23095e+06,,Spot,4,Image 1,1,487,
2.74209e+08,,Spot,4,Image 1,1,488,
1.05123e+08,,Spot,4,Image 1,1,489,
4.70626e+07,,Spot,4,Image 1,1,490,
1.07162e+07,,Spot,4,Image 1,1,498,
5.43625e+08,,Spot,4,Image 1,1,548,
1.70653e+08,,Spot,4,Image 1,1,549,
4.07754e+08,,Spot,4,Image 1,1,550,
1.46813e+06,,Spot,4,Image 1,1,552,
3.31609e+08,,Spot,4,Image 1,1,554,
5.00139e+08,,Spot,4,Image 1,1,555,
4.10831e+08,,Spot,4,Image 1,1,556,
1.3301e+07,,Spot,4,Image 1,1,557,
1.02275e+08,,Spot,4,Image 1,1,558,
2.45455e+08,,Spot,4,Image 1,1,559,
3.72243e+08,,Spot,4,Image 1,1,560,
2.67913e+08,,Spot,4,Image 1,1,561,
6.27623e+06,,Spot,4,Image 1,1,562,
1.61748e+08,,Spot,4,Image 1,1,563,
6.40659e+08,,Spot,4,Image 1,1,564,
4.02614e+07,,Spot,4,Image 1,1,565,
4.20385e+08,,Spot,4,Image 1,1,566,
5.68297e+07,,Spot,4,Image 1,1,567,
2.40254e+07,,Spot,4,Image 1,1,568,
2.17544e+08,,Spot,4,Image 1,1,569,
1.02732e+07,,Spot,4,Image 1,1,570,
6.94167e+07,,Spot,4,Image 1,1,571,
1.23082e+08,,Spot,4,Image 1,1,572,
4.01522e+08,,Spot,4,Image 1,1,573,
4.00387e+07,,Spot,4,Image 1,1,575,
1.78028e+07,,Spot,4,Image 1,1,580,
4.70649e+08,,Spot,4,Image 1,1,581,
1.00913e+07,,Spot,4,Image 1,1,583,
1.41772e+07,,Spot,4,Image 1,1,584,
8.59826e+06,,Spot,4,Image 1,1,585,
