
Intensity Mean Ch=2 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
1058.48,,Spot,2,Image 1,1,13,
1400.5,,Spot,2,Image 1,1,15,
1440.29,,Spot,2,Image 1,1,17,
1488.99,,Spot,2,Image 1,1,19,
848.848,,Spot,2,Image 1,1,26,
1068.92,,Spot,2,Image 1,1,27,
1676.69,,Spot,2,Image 1,1,28,
734.417,,Spot,2,Image 1,1,29,
1066.54,,Spot,2,Image 1,1,30,
1220.8,,Spot,2,Image 1,1,31,
769.732,,Spot,2,Image 1,1,33,
1279.1,,Spot,2,Image 1,1,36,
829.717,,Spot,2,Image 1,1,38,
1123.4,,Spot,2,Image 1,1,40,
882.965,,Spot,2,Image 1,1,45,
908.35,,Spot,2,Image 1,1,61,
1014.86,,Spot,2,Image 1,1,65,
1720.32,,Spot,2,Image 1,1,66,
1478.32,,Spot,2,Image 1,1,67,
1421.57,,Spot,2,Image 1,1,71,
1492.36,,Spot,2,Image 1,1,72,
1327.19,,Spot,2,Image 1,1,73,
1563.53,,Spot,2,Image 1,1,74,
1345.71,,Spot,2,Image 1,1,75,
1623.21,,Spot,2,Image 1,1,76,
1119.29,,Spot,2,Image 1,1,77,
1767.85,,Spot,2,Image 1,1,78,
1520.59,,Spot,2,Image 1,1,79,
1454.9,,Spot,2,Image 1,1,80,
1663.15,,Spot,2,Image 1,1,81,
1440.09,,Spot,2,Image 1,1,82,
1006.04,,Spot,2,Image 1,1,83,
1465.47,,Spot,2,Image 1,1,84,
1379.17,,Spot,2,Image 1,1,85,
1386.2,,Spot,2,Image 1,1,86,
1395.18,,Spot,2,Image 1,1,87,
1133.12,,Spot,2,Image 1,1,88,
1075.34,,Spot,2,Image 1,1,89,
1431.23,,Spot,2,Image 1,1,90,
1257.03,,Spot,2,Image 1,1,91,
1341.34,,Spot,2,Image 1,1,92,
1277.05,,Spot,2,Image 1,1,93,
1257.05,,Spot,2,Image 1,1,94,
1017.52,,Spot,2,Image 1,1,95,
1352.26,,Spot,2,Image 1,1,96,
1059.59,,Spot,2,Image 1,1,97,
1592.07,,Spot,2,Image 1,1,98,
1018.94,,Spot,2,Image 1,1,99,
1097.64,,Spot,2,Image 1,1,100,
769.626,,Spot,2,Image 1,1,101,
897.51,,Spot,2,Image 1,1,102,
1379.99,,Spot,2,Image 1,1,103,
1568.72,,Spot,2,Image 1,1,104,
1378.92,,Spot,2,Image 1,1,105,
1454.46,,Spot,2,Image 1,1,106,
1553.21,,Spot,2,Image 1,1,107,
1064.59,,Spot,2,Image 1,1,108,
1238.47,,Spot,2,Image 1,1,117,
956.851,,Spot,2,Image 1,1,121,
1445.34,,Spot,2,Image 1,1,122,
1277.33,,Spot,2,Image 1,1,124,
1381.63,,Spot,2,Image 1,1,128,
1425.17,,Spot,2,Image 1,1,129,
1573.1,,Spot,2,Image 1,1,130,
1551.5,,Spot,2,Image 1,1,131,
757.621,,Spot,2,Image 1,1,132,
1612.53,,Spot,2,Image 1,1,133,
1186.9,,Spot,2,Image 1,1,134,
751.844,,Spot,2,Image 1,1,136,
1337.87,,Spot,2,Image 1,1,137,
1371.98,,Spot,2,Image 1,1,139,
1421.64,,Spot,2,Image 1,1,140,
1654.93,,Spot,2,Image 1,1,141,
1668,,Spot,2,Image 1,1,142,
1444.82,,Spot,2,Image 1,1,143,
1367.33,,Spot,2,Image 1,1,144,
1564.2,,Spot,2,Image 1,1,145,
1533.62,,Spot,2,Image 1,1,146,
1674.05,,Spot,2,Image 1,1,147,
1407.69,,Spot,2,Image 1,1,148,
1503.1,,Spot,2,Image 1,1,149,
1664.63,,Spot,2,Image 1,1,150,
1647.24,,Spot,2,Image 1,1,151,
1152.42,,Spot,2,Image 1,1,152,
942.904,,Spot,2,Image 1,1,153,
1843.79,,Spot,2,Image 1,1,154,
1463.06,,Spot,2,Image 1,1,155,
1095.82,,Spot,2,Image 1,1,156,
1619.09,,Spot,2,Image 1,1,157,
1606.26,,Spot,2,Image 1,1,159,
1329.52,,Spot,2,Image 1,1,160,
1457.58,,Spot,2,Image 1,1,162,
1530.27,,Spot,2,Image 1,1,163,
1114.28,,Spot,2,Image 1,1,164,
1288.03,,Spot,2,Image 1,1,165,
1248.41,,Spot,2,Image 1,1,166,
1909.5,,Spot,2,Image 1,1,171,
1641.01,,Spot,2,Image 1,1,173,
843.491,,Spot,2,Image 1,1,219,
1751.12,,Spot,2,Image 1,1,220,
942.838,,Spot,2,Image 1,1,223,
1239.69,,Spot,2,Image 1,1,228,
1309.83,,Spot,2,Image 1,1,230,
806.065,,Spot,2,Image 1,1,237,
873.184,,Spot,2,Image 1,1,242,
1683.78,,Spot,2,Image 1,1,266,
1451.26,,Spot,2,Image 1,1,267,
1571.14,,Spot,2,Image 1,1,270,
1373.77,,Spot,2,Image 1,1,271,
1153.41,,Spot,2,Image 1,1,272,
1125.05,,Spot,2,Image 1,1,273,
1514.8,,Spot,2,Image 1,1,274,
1102.04,,Spot,2,Image 1,1,275,
1225.92,,Spot,2,Image 1,1,276,
1200.54,,Spot,2,Image 1,1,277,
1596.88,,Spot,2,Image 1,1,278,
1581.92,,Spot,2,Image 1,1,279,
1322.39,,Spot,2,Image 1,1,280,
1726.11,,Spot,2,Image 1,1,281,
1077.06,,Spot,2,Image 1,1,282,
1281.65,,Spot,2,Image 1,1,283,
1379.1,,Spot,2,Image 1,1,284,
1372.14,,Spot,2,Image 1,1,285,
1515.29,,Spot,2,Image 1,1,286,
1079.2,,Spot,2,Image 1,1,287,
932.231,,Spot,2,Image 1,1,288,
1521.65,,Spot,2,Image 1,1,289,
1561.89,,Spot,2,Image 1,1,290,
1713.53,,Spot,2,Image 1,1,291,
1492.04,,Spot,2,Image 1,1,292,
1269.44,,Spot,2,Image 1,1,293,
861.231,,Spot,2,Image 1,1,294,
1307.38,,Spot,2,Image 1,1,295,
1528.8,,Spot,2,Image 1,1,296,
1774.1,,Spot,2,Image 1,1,297,
1193.45,,Spot,2,Image 1,1,298,
1250.23,,Spot,2,Image 1,1,300,
1318.83,,Spot,2,Image 1,1,303,
1561.07,,Spot,2,Image 1,1,311,
1348.46,,Spot,2,Image 1,1,312,
1638.39,,Spot,2,Image 1,1,318,
1540.92,,Spot,2,Image 1,1,319,
1726.83,,Spot,2,Image 1,1,320,
1578.3,,Spot,2,Image 1,1,321,
1280.9,,Spot,2,Image 1,1,322,
1219.11,,Spot,2,Image 1,1,323,
1422.69,,Spot,2,Image 1,1,324,
1420.45,,Spot,2,Image 1,1,325,
