
Intensity Median Ch=5 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
0.256,,Spot,5,Image 1,1,13,
0.804,,Spot,5,Image 1,1,15,
0.416,,Spot,5,Image 1,1,17,
32.64,,Spot,5,Image 1,1,19,
0.328,,Spot,5,Image 1,1,26,
0.32,,Spot,5,Image 1,1,27,
1.96,,Spot,5,Image 1,1,28,
0.192,,Spot,5,Image 1,1,29,
0.112,,Spot,5,Image 1,1,30,
0.272,,Spot,5,Image 1,1,31,
0.24,,Spot,5,Image 1,1,33,
0.96,,Spot,5,Image 1,1,36,
0.236,,Spot,5,Image 1,1,38,
0.128,,Spot,5,Image 1,1,40,
0.128,,Spot,5,Image 1,1,45,
0.192,,Spot,5,Image 1,1,61,
0.386,,Spot,5,Image 1,1,65,
0.24,,Spot,5,Image 1,1,66,
118.07,,Spot,5,Image 1,1,67,
76.96,,Spot,5,Image 1,1,71,
856.44,,Spot,5,Image 1,1,72,
337.45,,Spot,5,Image 1,1,73,
495.48,,Spot,5,Image 1,1,74,
477.396,,Spot,5,Image 1,1,75,
519.61,,Spot,5,Image 1,1,76,
80.4,,Spot,5,Image 1,1,77,
146.8,,Spot,5,Image 1,1,78,
750.708,,Spot,5,Image 1,1,79,
7.936,,Spot,5,Image 1,1,80,
129.332,,Spot,5,Image 1,1,81,
52.416,,Spot,5,Image 1,1,82,
0.332,,Spot,5,Image 1,1,83,
0.288,,Spot,5,Image 1,1,84,
0.24,,Spot,5,Image 1,1,85,
36.18,,Spot,5,Image 1,1,86,
218.29,,Spot,5,Image 1,1,87,
99.04,,Spot,5,Image 1,1,88,
111.2,,Spot,5,Image 1,1,89,
344.56,,Spot,5,Image 1,1,90,
52.8,,Spot,5,Image 1,1,91,
13.072,,Spot,5,Image 1,1,92,
0.352,,Spot,5,Image 1,1,93,
78.24,,Spot,5,Image 1,1,94,
0.32,,Spot,5,Image 1,1,95,
1.924,,Spot,5,Image 1,1,96,
0.272,,Spot,5,Image 1,1,97,
0.144,,Spot,5,Image 1,1,98,
0.256,,Spot,5,Image 1,1,99,
0.282,,Spot,5,Image 1,1,100,
0,,Spot,5,Image 1,1,101,
36.816,,Spot,5,Image 1,1,102,
0.23201,,Spot,5,Image 1,1,103,
20.224,,Spot,5,Image 1,1,104,
1.848,,Spot,5,Image 1,1,105,
43.848,,Spot,5,Image 1,1,106,
0.2,,Spot,5,Image 1,1,107,
21.376,,Spot,5,Image 1,1,108,
0.128,,Spot,5,Image 1,1,117,
