
Intensity Median Ch=2 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
986.68,,Spot,2,Image 1,1,13,
1351.95,,Spot,2,Image 1,1,15,
1370.94,,Spot,2,Image 1,1,17,
1423.73,,Spot,2,Image 1,1,19,
788.64,,Spot,2,Image 1,1,26,
1031.63,,Spot,2,Image 1,1,27,
1645.77,,Spot,2,Image 1,1,28,
679.416,,Spot,2,Image 1,1,29,
1019.87,,Spot,2,Image 1,1,30,
1177.82,,Spot,2,Image 1,1,31,
726.3,,Spot,2,Image 1,1,33,
1233.63,,Spot,2,Image 1,1,36,
776.52,,Spot,2,Image 1,1,38,
1077.05,,Spot,2,Image 1,1,40,
821.16,,Spot,2,Image 1,1,45,
798.208,,Spot,2,Image 1,1,61,
886.888,,Spot,2,Image 1,1,65,
1666.65,,Spot,2,Image 1,1,66,
1410.43,,Spot,2,Image 1,1,67,
1360.79,,Spot,2,Image 1,1,71,
1442.38,,Spot,2,Image 1,1,72,
1261.64,,Spot,2,Image 1,1,73,
1505.95,,Spot,2,Image 1,1,74,
1294.52,,Spot,2,Image 1,1,75,
1579.28,,Spot,2,Image 1,1,76,
1066.04,,Spot,2,Image 1,1,77,
1713.01,,Spot,2,Image 1,1,78,
1471.4,,Spot,2,Image 1,1,79,
1457.38,,Spot,2,Image 1,1,80,
1599.27,,Spot,2,Image 1,1,81,
1391,,Spot,2,Image 1,1,82,
971.872,,Spot,2,Image 1,1,83,
1421.05,,Spot,2,Image 1,1,84,
1338.37,,Spot,2,Image 1,1,85,
1358.79,,Spot,2,Image 1,1,86,
1333.07,,Spot,2,Image 1,1,87,
1092.08,,Spot,2,Image 1,1,88,
1007.72,,Spot,2,Image 1,1,89,
1374.42,,Spot,2,Image 1,1,90,
1218.5,,Spot,2,Image 1,1,91,
1281.94,,Spot,2,Image 1,1,92,
1247.46,,Spot,2,Image 1,1,93,
1221.44,,Spot,2,Image 1,1,94,
953.884,,Spot,2,Image 1,1,95,
1314.68,,Spot,2,Image 1,1,96,
991.94,,Spot,2,Image 1,1,97,
1522.79,,Spot,2,Image 1,1,98,
979.52,,Spot,2,Image 1,1,99,
966.992,,Spot,2,Image 1,1,100,
711.688,,Spot,2,Image 1,1,101,
845.168,,Spot,2,Image 1,1,102,
1331.5,,Spot,2,Image 1,1,103,
1515.13,,Spot,2,Image 1,1,104,
1334.7,,Spot,2,Image 1,1,105,
1408.23,,Spot,2,Image 1,1,106,
1493.89,,Spot,2,Image 1,1,107,
1027.16,,Spot,2,Image 1,1,108,
1213.75,,Spot,2,Image 1,1,117,
884.152,,Spot,2,Image 1,1,121,
1351.93,,Spot,2,Image 1,1,122,
1209.77,,Spot,2,Image 1,1,124,
1346.5,,Spot,2,Image 1,1,128,
1393.58,,Spot,2,Image 1,1,129,
1537.41,,Spot,2,Image 1,1,130,
1500.61,,Spot,2,Image 1,1,131,
691.584,,Spot,2,Image 1,1,132,
1545.6,,Spot,2,Image 1,1,133,
1118.71,,Spot,2,Image 1,1,134,
691.4,,Spot,2,Image 1,1,136,
1302.88,,Spot,2,Image 1,1,137,
1337.28,,Spot,2,Image 1,1,139,
1378.02,,Spot,2,Image 1,1,140,
1586.34,,Spot,2,Image 1,1,141,
1616.1,,Spot,2,Image 1,1,142,
1401.4,,Spot,2,Image 1,1,143,
1322.69,,Spot,2,Image 1,1,144,
1526.71,,Spot,2,Image 1,1,145,
1506.35,,Spot,2,Image 1,1,146,
1625.84,,Spot,2,Image 1,1,147,
1358.26,,Spot,2,Image 1,1,148,
1465.77,,Spot,2,Image 1,1,149,
1620.21,,Spot,2,Image 1,1,150,
1600.88,,Spot,2,Image 1,1,151,
1097.82,,Spot,2,Image 1,1,152,
885.864,,Spot,2,Image 1,1,153,
1793.62,,Spot,2,Image 1,1,154,
1408,,Spot,2,Image 1,1,155,
1060.42,,Spot,2,Image 1,1,156,
1574.58,,Spot,2,Image 1,1,157,
1537.6,,Spot,2,Image 1,1,159,
1266.24,,Spot,2,Image 1,1,160,
1470.14,,Spot,2,Image 1,1,162,
1492.78,,Spot,2,Image 1,1,163,
1081.41,,Spot,2,Image 1,1,164,
1234.46,,Spot,2,Image 1,1,165,
1197.08,,Spot,2,Image 1,1,166,
1867.54,,Spot,2,Image 1,1,171,
1596.26,,Spot,2,Image 1,1,173,
782.424,,Spot,2,Image 1,1,219,
1700.74,,Spot,2,Image 1,1,220,
