
Intensity Mean Ch=6 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
900.269,,Spot,6,Image 1,1,13,
1349.71,,Spot,6,Image 1,1,15,
1375.99,,Spot,6,Image 1,1,17,
1467.88,,Spot,6,Image 1,1,19,
665.91,,Spot,6,Image 1,1,26,
1021.83,,Spot,6,Image 1,1,27,
1636.42,,Spot,6,Image 1,1,28,
634.468,,Spot,6,Image 1,1,29,
1003.86,,Spot,6,Image 1,1,30,
1197.78,,Spot,6,Image 1,1,31,
664.806,,Spot,6,Image 1,1,33,
1245.62,,Spot,6,Image 1,1,36,
779.473,,Spot,6,Image 1,1,38,
1106.41,,Spot,6,Image 1,1,40,
821.286,,Spot,6,Image 1,1,45,
881.719,,Spot,6,Image 1,1,61,
782.267,,Spot,6,Image 1,1,65,
1618.4,,Spot,6,Image 1,1,66,
1424.53,,Spot,6,Image 1,1,67,
1353.31,,Spot,6,Image 1,1,71,
1443.84,,Spot,6,Image 1,1,72,
1263.59,,Spot,6,Image 1,1,73,
1547.83,,Spot,6,Image 1,1,74,
1274.17,,Spot,6,Image 1,1,75,
1557.56,,Spot,6,Image 1,1,76,
1042.64,,Spot,6,Image 1,1,77,
1680.39,,Spot,6,Image 1,1,78,
1483.02,,Spot,6,Image 1,1,79,
1440.58,,Spot,6,Image 1,1,80,
1571.53,,Spot,6,Image 1,1,81,
1325.34,,Spot,6,Image 1,1,82,
951.961,,Spot,6,Image 1,1,83,
1397.51,,Spot,6,Image 1,1,84,
1323.93,,Spot,6,Image 1,1,85,
1371.98,,Spot,6,Image 1,1,86,
1354.97,,Spot,6,Image 1,1,87,
1073.68,,Spot,6,Image 1,1,88,
985.895,,Spot,6,Image 1,1,89,
1416.74,,Spot,6,Image 1,1,90,
1184.66,,Spot,6,Image 1,1,91,
1303.15,,Spot,6,Image 1,1,92,
1243.08,,Spot,6,Image 1,1,93,
1177.18,,Spot,6,Image 1,1,94,
983.516,,Spot,6,Image 1,1,95,
1294.28,,Spot,6,Image 1,1,96,
945.881,,Spot,6,Image 1,1,97,
1547.36,,Spot,6,Image 1,1,98,
955.84,,Spot,6,Image 1,1,99,
811.146,,Spot,6,Image 1,1,100,
673.381,,Spot,6,Image 1,1,101,
838.976,,Spot,6,Image 1,1,102,
1360.12,,Spot,6,Image 1,1,103,
1567.43,,Spot,6,Image 1,1,104,
1313.44,,Spot,6,Image 1,1,105,
1372.84,,Spot,6,Image 1,1,106,
1460.53,,Spot,6,Image 1,1,107,
966.35,,Spot,6,Image 1,1,108,
1197,,Spot,6,Image 1,1,117,
780.436,,Spot,6,Image 1,1,121,
1341.96,,Spot,6,Image 1,1,122,
1165.74,,Spot,6,Image 1,1,124,
1288.73,,Spot,6,Image 1,1,128,
1343.24,,Spot,6,Image 1,1,129,
1524.53,,Spot,6,Image 1,1,130,
1477.64,,Spot,6,Image 1,1,131,
632.098,,Spot,6,Image 1,1,132,
1546.59,,Spot,6,Image 1,1,133,
1090.65,,Spot,6,Image 1,1,134,
556.014,,Spot,6,Image 1,1,136,
1313.37,,Spot,6,Image 1,1,137,
1312.36,,Spot,6,Image 1,1,139,
1311.22,,Spot,6,Image 1,1,140,
1635.92,,Spot,6,Image 1,1,141,
1645.38,,Spot,6,Image 1,1,142,
1360.9,,Spot,6,Image 1,1,143,
1343.09,,Spot,6,Image 1,1,144,
1562.33,,Spot,6,Image 1,1,145,
1511.34,,Spot,6,Image 1,1,146,
1660.89,,Spot,6,Image 1,1,147,
1372.44,,Spot,6,Image 1,1,148,
1443.46,,Spot,6,Image 1,1,149,
1651.08,,Spot,6,Image 1,1,150,
1622.49,,Spot,6,Image 1,1,151,
1090.12,,Spot,6,Image 1,1,152,
908.979,,Spot,6,Image 1,1,153,
1843.58,,Spot,6,Image 1,1,154,
1407.57,,Spot,6,Image 1,1,155,
1056.52,,Spot,6,Image 1,1,156,
1571.71,,Spot,6,Image 1,1,157,
1560.17,,Spot,6,Image 1,1,159,
1201.76,,Spot,6,Image 1,1,160,
1435.01,,Spot,6,Image 1,1,162,
1521.05,,Spot,6,Image 1,1,163,
1072.05,,Spot,6,Image 1,1,164,
1219.25,,Spot,6,Image 1,1,165,
1241.82,,Spot,6,Image 1,1,166,
1871.34,,Spot,6,Image 1,1,171,
1573.04,,Spot,6,Image 1,1,173,
792.624,,Spot,6,Image 1,1,219,
1693.24,,Spot,6,Image 1,1,220,
908.434,,Spot,6,Image 1,1,223,
1206.63,,Spot,6,Image 1,1,228,
1261.42,,Spot,6,Image 1,1,230,
