
Intensity Sum Ch=3 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
114160,,Spot,3,Image 1,1,13,
86377,,Spot,3,Image 1,1,15,
101988,,Spot,3,Image 1,1,17,
218516,,Spot,3,Image 1,1,19,
61011,,Spot,3,Image 1,1,26,
76522,,Spot,3,Image 1,1,27,
107238,,Spot,3,Image 1,1,28,
94932,,Spot,3,Image 1,1,29,
108587,,Spot,3,Image 1,1,30,
88029,,Spot,3,Image 1,1,31,
62101,,Spot,3,Image 1,1,33,
84756,,Spot,3,Image 1,1,36,
58272,,Spot,3,Image 1,1,38,
47573,,Spot,3,Image 1,1,40,
58824,,Spot,3,Image 1,1,45,
64450,,Spot,3,Image 1,1,61,
341644,,Spot,3,Image 1,1,65,
92894,,Spot,3,Image 1,1,66,
473141,,Spot,3,Image 1,1,67,
373575,,Spot,3,Image 1,1,71,
2.1231e+06,,Spot,3,Image 1,1,72,
953452,,Spot,3,Image 1,1,73,
1.24483e+06,,Spot,3,Image 1,1,74,
1.32491e+06,,Spot,3,Image 1,1,75,
1.30577e+06,,Spot,3,Image 1,1,76,
398741,,Spot,3,Image 1,1,77,
650764,,Spot,3,Image 1,1,78,
2.3027e+06,,Spot,3,Image 1,1,79,
149217,,Spot,3,Image 1,1,80,
596920,,Spot,3,Image 1,1,81,
314385,,Spot,3,Image 1,1,82,
105170,,Spot,3,Image 1,1,83,
138734,,Spot,3,Image 1,1,84,
139727,,Spot,3,Image 1,1,85,
191143,,Spot,3,Image 1,1,86,
798784,,Spot,3,Image 1,1,87,
486632,,Spot,3,Image 1,1,88,
548946,,Spot,3,Image 1,1,89,
1.09608e+06,,Spot,3,Image 1,1,90,
336550,,Spot,3,Image 1,1,91,
239118,,Spot,3,Image 1,1,92,
107584,,Spot,3,Image 1,1,93,
501923,,Spot,3,Image 1,1,94,
56123,,Spot,3,Image 1,1,95,
83467,,Spot,3,Image 1,1,96,
132175,,Spot,3,Image 1,1,97,
62746,,Spot,3,Image 1,1,98,
64980,,Spot,3,Image 1,1,99,
124621,,Spot,3,Image 1,1,100,
87720,,Spot,3,Image 1,1,101,
204926,,Spot,3,Image 1,1,102,
69946,,Spot,3,Image 1,1,103,
158636,,Spot,3,Image 1,1,104,
104235,,Spot,3,Image 1,1,105,
301329,,Spot,3,Image 1,1,106,
79814,,Spot,3,Image 1,1,107,
248979,,Spot,3,Image 1,1,108,
62391,,Spot,3,Image 1,1,117,
296830,,Spot,3,Image 1,1,121,
136603,,Spot,3,Image 1,1,122,
117650,,Spot,3,Image 1,1,124,
375621,,Spot,3,Image 1,1,128,
462792,,Spot,3,Image 1,1,129,
1.22355e+06,,Spot,3,Image 1,1,130,
2.17458e+06,,Spot,3,Image 1,1,131,
