
Number of Voxels Img=1
 ==================== 
Number of Voxels,Unit,Category,Image,Time,ID,
2747,,Spot,Image 1,1,437,
2768,,Spot,Image 1,1,438,
2746,,Spot,Image 1,1,440,
2751,,Spot,Image 1,1,442,
2737,,Spot,Image 1,1,443,
2740,,Spot,Image 1,1,444,
2741,,Spot,Image 1,1,445,
2752,,Spot,Image 1,1,446,
2745,,Spot,Image 1,1,447,
2762,,Spot,Image 1,1,448,
2762,,Spot,Image 1,1,449,
2744,,Spot,Image 1,1,450,
2751,,Spot,Image 1,1,451,
2747,,Spot,Image 1,1,453,
2737,,Spot,Image 1,1,454,
2756,,Spot,Image 1,1,455,
2749,,Spot,Image 1,1,456,
2745,,Spot,Image 1,1,462,
2741,,Spot,Image 1,1,469,
2744,,Spot,Image 1,1,470,
2745,,Spot,Image 1,1,471,
2735,,Spot,Image 1,1,472,
2748,,Spot,Image 1,1,473,
2750,,Spot,Image 1,1,474,
2740,,Spot,Image 1,1,475,
2758,,Spot,Image 1,1,476,
2743,,Spot,Image 1,1,477,
2737,,Spot,Image 1,1,478,
2744,,Spot,Image 1,1,479,
2743,,Spot,Image 1,1,480,
2739,,Spot,Image 1,1,481,
2746,,Spot,Image 1,1,482,
2747,,Spot,Image 1,1,483,
2776,,Spot,Image 1,1,484,
2737,,Spot,Image 1,1,485,
2749,,Spot,Image 1,1,486,
2745,,Spot,Image 1,1,487,
2746,,Spot,Image 1,1,488,
2743,,Spot,Image 1,1,489,
2748,,Spot,Image 1,1,490,
2754,,Spot,Image 1,1,498,
2755,,Spot,Image 1,1,548,
2746,,Spot,Image 1,1,549,
2749,,Spot,Image 1,1,550,
2742,,Spot,Image 1,1,552,
2744,,Spot,Image 1,1,554,
2742,,Spot,Image 1,1,555,
2744,,Spot,Image 1,1,556,
2747,,Spot,Image 1,1,557,
2751,,Spot,Image 1,1,558,
2739,,Spot,Image 1,1,559,
2737,,Spot,Image 1,1,560,
2757,,Spot,Image 1,1,561,
2747,,Spot,Image 1,1,562,
2752,,Spot,Image 1,1,563,
2746,,Spot,Image 1,1,564,
2746,,Spot,Image 1,1,565,
2740,,Spot,Image 1,1,566,
2751,,Spot,Image 1,1,567,
2752,,Spot,Image 1,1,568,
2748,,Spot,Image 1,1,569,
2753,,Spot,Image 1,1,570,
2747,,Spot,Image 1,1,571,
2752,,Spot,Image 1,1,572,
2738,,Spot,Image 1,1,573,
2743,,Spot,Image 1,1,575,
2751,,Spot,Image 1,1,580,
2746,,Spot,Image 1,1,581,
2745,,Spot,Image 1,1,583,
2739,,Spot,Image 1,1,584,
2751,,Spot,Image 1,1,585,
2733,,Spot,Image 1,1,586,
2749,,Spot,Image 1,1,587,
2753,,Spot,Image 1,1,588,
2748,,Spot,Image 1,1,589,
2750,,Spot,Image 1,1,590,
2746,,Spot,Image 1,1,592,
2747,,Spot,Image 1,1,593,
2753,,Spot,Image 1,1,594,
2751,,Spot,Image 1,1,595,
2754,,Spot,Image 1,1,596,
2756,,Spot,Image 1,1,597,
2753,,Spot,Image 1,1,598,
2739,,Spot,Image 1,1,599,
2755,,Spot,Image 1,1,600,
2742,,Spot,Image 1,1,601,
2743,,Spot,Image 1,1,602,
2747,,Spot,Image 1,1,603,
2745,,Spot,Image 1,1,604,
2748,,Spot,Image 1,1,605,
2729,,Spot,Image 1,1,607,
2741,,Spot,Image 1,1,610,
2739,,Spot,Image 1,1,624,
2744,,Spot,Image 1,1,625,
2742,,Spot,Image 1,1,630,
2751,,Spot,Image 1,1,640,
2747,,Spot,Image 1,1,645,
2740,,Spot,Image 1,1,55413,
2750,,Spot,Image 1,1,55414,
2758,,Spot,Image 1,1,55415,
2747,,Spot,Image 1,1,55416,
2741,,Spot,Image 1,1,55417,
2754,,Spot,Image 1,1,55418,
2742,,Spot,Image 1,1,55420,
2745,,Spot,Image 1,1,55421,
2741,,Spot,Image 1,1,55422,
2737,,Spot,Image 1,1,55423,
2750,,Spot,Image 1,1,55424,
2757,,Spot,Image 1,1,55425,
2740,,Spot,Image 1,1,55426,
2755,,Spot,Image 1,1,55427,
2747,,Spot,Image 1,1,55429,
2748,,Spot,Image 1,1,55430,
2751,,Spot,Image 1,1,55431,
2752,,Spot,Image 1,1,55432,
2751,,Spot,Image 1,1,55433,
2752,,Spot,Image 1,1,55434,
2737,,Spot,Image 1,1,55435,
2734,,Spot,Image 1,1,55436,
2745,,Spot,Image 1,1,55437,
2748,,Spot,Image 1,1,55438,
2757,,Spot,Image 1,1,55439,
2765,,Spot,Image 1,1,55440,
2741,,Spot,Image 1,1,55441,
2739,,Spot,Image 1,1,55442,
2735,,Spot,Image 1,1,55444,
2750,,Spot,Image 1,1,55445,
2767,,Spot,Image 1,1,55446,
2750,,Spot,Image 1,1,55447,
2302,,Spot,Image 1,1,55449,
2762,,Spot,Image 1,1,55450,
2752,,Spot,Image 1,1,55452,
2744,,Spot,Image 1,1,55453,
2754,,Spot,Image 1,1,55454,
2743,,Spot,Image 1,1,55455,
2743,,Spot,Image 1,1,55456,
2738,,Spot,Image 1,1,55458,
2757,,Spot,Image 1,1,55459,
2752,,Spot,Image 1,1,55460,
2742,,Spot,Image 1,1,55461,
2755,,Spot,Image 1,1,55462,
2750,,Spot,Image 1,1,55464,
2755,,Spot,Image 1,1,55465,
2755,,Spot,Image 1,1,55466,
2757,,Spot,Image 1,1,55468,
2745,,Spot,Image 1,1,55469,
2748,,Spot,Image 1,1,55470,
2743,,Spot,Image 1,1,55471,
