
Intensity Center Ch=3 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,ID,
57,,Spot,3,Image 1,1,13,
35,,Spot,3,Image 1,1,15,
4,,Spot,3,Image 1,1,17,
65,,Spot,3,Image 1,1,19,
0,,Spot,3,Image 1,1,26,
186,,Spot,3,Image 1,1,27,
0,,Spot,3,Image 1,1,28,
0,,Spot,3,Image 1,1,29,
7,,Spot,3,Image 1,1,30,
0,,Spot,3,Image 1,1,31,
0,,Spot,3,Image 1,1,33,
12,,Spot,3,Image 1,1,36,
223,,Spot,3,Image 1,1,38,
2,,Spot,3,Image 1,1,40,
72,,Spot,3,Image 1,1,45,
0,,Spot,3,Image 1,1,61,
115,,Spot,3,Image 1,1,65,
0,,Spot,3,Image 1,1,66,
8,,Spot,3,Image 1,1,67,
41,,Spot,3,Image 1,1,71,
1182,,Spot,3,Image 1,1,72,
519,,Spot,3,Image 1,1,73,
426,,Spot,3,Image 1,1,74,
302,,Spot,3,Image 1,1,75,
498,,Spot,3,Image 1,1,76,
340,,Spot,3,Image 1,1,77,
354,,Spot,3,Image 1,1,78,
2346,,Spot,3,Image 1,1,79,
28,,Spot,3,Image 1,1,80,
154,,Spot,3,Image 1,1,81,
81,,Spot,3,Image 1,1,82,
159,,Spot,3,Image 1,1,83,
116,,Spot,3,Image 1,1,84,
0,,Spot,3,Image 1,1,85,
355,,Spot,3,Image 1,1,86,
291,,Spot,3,Image 1,1,87,
11,,Spot,3,Image 1,1,88,
26,,Spot,3,Image 1,1,89,
377,,Spot,3,Image 1,1,90,
125,,Spot,3,Image 1,1,91,
115,,Spot,3,Image 1,1,92,
0,,Spot,3,Image 1,1,93,
99,,Spot,3,Image 1,1,94,
0,,Spot,3,Image 1,1,95,
0,,Spot,3,Image 1,1,96,
0,,Spot,3,Image 1,1,97,
0,,Spot,3,Image 1,1,98,
4,,Spot,3,Image 1,1,99,
165,,Spot,3,Image 1,1,100,
17,,Spot,3,Image 1,1,101,
67,,Spot,3,Image 1,1,102,
0,,Spot,3,Image 1,1,103,
234,,Spot,3,Image 1,1,104,
23,,Spot,3,Image 1,1,105,
161,,Spot,3,Image 1,1,106,
58,,Spot,3,Image 1,1,107,
22,,Spot,3,Image 1,1,108,
49,,Spot,3,Image 1,1,117,
91,,Spot,3,Image 1,1,121,
0,,Spot,3,Image 1,1,122,
19,,Spot,3,Image 1,1,124,
151,,Spot,3,Image 1,1,128,
0,,Spot,3,Image 1,1,129,
680,,Spot,3,Image 1,1,130,
1070,,Spot,3,Image 1,1,131,
7,,Spot,3,Image 1,1,132,
1358,,Spot,3,Image 1,1,133,
0,,Spot,3,Image 1,1,134,
0,,Spot,3,Image 1,1,136,
136,,Spot,3,Image 1,1,137,
621,,Spot,3,Image 1,1,139,
69,,Spot,3,Image 1,1,140,
584,,Spot,3,Image 1,1,141,
494,,Spot,3,Image 1,1,142,
0,,Spot,3,Image 1,1,143,
90,,Spot,3,Image 1,1,144,
168,,Spot,3,Image 1,1,145,
11,,Spot,3,Image 1,1,146,
173,,Spot,3,Image 1,1,147,
8,,Spot,3,Image 1,1,148,
283,,Spot,3,Image 1,1,149,
205,,Spot,3,Image 1,1,150,
390,,Spot,3,Image 1,1,151,
134,,Spot,3,Image 1,1,152,
138,,Spot,3,Image 1,1,153,
116,,Spot,3,Image 1,1,154,
62,,Spot,3,Image 1,1,155,
0,,Spot,3,Image 1,1,156,
0,,Spot,3,Image 1,1,157,
0,,Spot,3,Image 1,1,159,
44,,Spot,3,Image 1,1,160,
12,,Spot,3,Image 1,1,162,
77,,Spot,3,Image 1,1,163,
4,,Spot,3,Image 1,1,164,
71,,Spot,3,Image 1,1,165,
12,,Spot,3,Image 1,1,166,
8,,Spot,3,Image 1,1,171,
0,,Spot,3,Image 1,1,173,
17,,Spot,3,Image 1,1,219,
369,,Spot,3,Image 1,1,220,
12,,Spot,3,Image 1,1,223,
0,,Spot,3,Image 1,1,228,
21,,Spot,3,Image 1,1,230,
0,,Spot,3,Image 1,1,237,
7,,Spot,3,Image 1,1,242,
626,,Spot,3,Image 1,1,266,
1397,,Spot,3,Image 1,1,267,
