
Intensity Center Ch=6 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,ID,
1326,,Spot,6,Image 1,1,13,
844,,Spot,6,Image 1,1,15,
752,,Spot,6,Image 1,1,17,
1620,,Spot,6,Image 1,1,19,
2018,,Spot,6,Image 1,1,26,
1838,,Spot,6,Image 1,1,27,
1097,,Spot,6,Image 1,1,28,
2247,,Spot,6,Image 1,1,29,
1333,,Spot,6,Image 1,1,30,
1263,,Spot,6,Image 1,1,31,
1113,,Spot,6,Image 1,1,33,
849,,Spot,6,Image 1,1,36,
1668,,Spot,6,Image 1,1,38,
2349,,Spot,6,Image 1,1,40,
714,,Spot,6,Image 1,1,45,
2207,,Spot,6,Image 1,1,61,
1882,,Spot,6,Image 1,1,65,
1606,,Spot,6,Image 1,1,66,
1426,,Spot,6,Image 1,1,67,
1783,,Spot,6,Image 1,1,71,
1639,,Spot,6,Image 1,1,72,
895,,Spot,6,Image 1,1,73,
1252,,Spot,6,Image 1,1,74,
2088,,Spot,6,Image 1,1,75,
1289,,Spot,6,Image 1,1,76,
1134,,Spot,6,Image 1,1,77,
1335,,Spot,6,Image 1,1,78,
1807,,Spot,6,Image 1,1,79,
2310,,Spot,6,Image 1,1,80,
3205,,Spot,6,Image 1,1,81,
1501,,Spot,6,Image 1,1,82,
1978,,Spot,6,Image 1,1,83,
1522,,Spot,6,Image 1,1,84,
843,,Spot,6,Image 1,1,85,
1455,,Spot,6,Image 1,1,86,
1718,,Spot,6,Image 1,1,87,
1278,,Spot,6,Image 1,1,88,
708,,Spot,6,Image 1,1,89,
1549,,Spot,6,Image 1,1,90,
2004,,Spot,6,Image 1,1,91,
1275,,Spot,6,Image 1,1,92,
1124,,Spot,6,Image 1,1,93,
1638,,Spot,6,Image 1,1,94,
1254,,Spot,6,Image 1,1,95,
1442,,Spot,6,Image 1,1,96,
1476,,Spot,6,Image 1,1,97,
1945,,Spot,6,Image 1,1,98,
1758,,Spot,6,Image 1,1,99,
1634,,Spot,6,Image 1,1,100,
1328,,Spot,6,Image 1,1,101,
822,,Spot,6,Image 1,1,102,
762,,Spot,6,Image 1,1,103,
1807,,Spot,6,Image 1,1,104,
1538,,Spot,6,Image 1,1,105,
1988,,Spot,6,Image 1,1,106,
2474,,Spot,6,Image 1,1,107,
1884,,Spot,6,Image 1,1,108,
758,,Spot,6,Image 1,1,117,
1438,,Spot,6,Image 1,1,121,
1568,,Spot,6,Image 1,1,122,
1411,,Spot,6,Image 1,1,124,
1688,,Spot,6,Image 1,1,128,
1151,,Spot,6,Image 1,1,129,
1261,,Spot,6,Image 1,1,130,
1918,,Spot,6,Image 1,1,131,
1048,,Spot,6,Image 1,1,132,
2452,,Spot,6,Image 1,1,133,
1243,,Spot,6,Image 1,1,134,
899,,Spot,6,Image 1,1,136,
1155,,Spot,6,Image 1,1,137,
1780,,Spot,6,Image 1,1,139,
598,,Spot,6,Image 1,1,140,
1367,,Spot,6,Image 1,1,141,
504,,Spot,6,Image 1,1,142,
2107,,Spot,6,Image 1,1,143,
2329,,Spot,6,Image 1,1,144,
1729,,Spot,6,Image 1,1,145,
286,,Spot,6,Image 1,1,146,
2031,,Spot,6,Image 1,1,147,
1429,,Spot,6,Image 1,1,148,
1555,,Spot,6,Image 1,1,149,
1915,,Spot,6,Image 1,1,150,
3328,,Spot,6,Image 1,1,151,
1535,,Spot,6,Image 1,1,152,
1592,,Spot,6,Image 1,1,153,
1045,,Spot,6,Image 1,1,154,
2081,,Spot,6,Image 1,1,155,
904,,Spot,6,Image 1,1,156,
3386,,Spot,6,Image 1,1,157,
2490,,Spot,6,Image 1,1,159,
1442,,Spot,6,Image 1,1,160,
1181,,Spot,6,Image 1,1,162,
1512,,Spot,6,Image 1,1,163,
1443,,Spot,6,Image 1,1,164,
1874,,Spot,6,Image 1,1,165,
1009,,Spot,6,Image 1,1,166,
2143,,Spot,6,Image 1,1,171,
832,,Spot,6,Image 1,1,173,
1196,,Spot,6,Image 1,1,219,
1711,,Spot,6,Image 1,1,220,
835,,Spot,6,Image 1,1,223,
816,,Spot,6,Image 1,1,228,
3058,,Spot,6,Image 1,1,230,
914,,Spot,6,Image 1,1,237,
1726,,Spot,6,Image 1,1,242,
1285,,Spot,6,Image 1,1,266,
1363,,Spot,6,Image 1,1,267,
1535,,Spot,6,Image 1,1,270,
2308,,Spot,6,Image 1,1,271,
1532,,Spot,6,Image 1,1,272,
197,,Spot,6,Image 1,1,273,
3209,,Spot,6,Image 1,1,274,
1199,,Spot,6,Image 1,1,275,
2613,,Spot,6,Image 1,1,276,
530,,Spot,6,Image 1,1,277,
1851,,Spot,6,Image 1,1,278,
1357,,Spot,6,Image 1,1,279,
1330,,Spot,6,Image 1,1,280,
2478,,Spot,6,Image 1,1,281,
1331,,Spot,6,Image 1,1,282,
1843,,Spot,6,Image 1,1,283,
1177,,Spot,6,Image 1,1,284,
1143,,Spot,6,Image 1,1,285,
1161,,Spot,6,Image 1,1,286,
1109,,Spot,6,Image 1,1,287,
1336,,Spot,6,Image 1,1,288,
1602,,Spot,6,Image 1,1,289,
1269,,Spot,6,Image 1,1,290,
1169,,Spot,6,Image 1,1,291,
1451,,Spot,6,Image 1,1,292,
1613,,Spot,6,Image 1,1,293,
392,,Spot,6,Image 1,1,294,
2454,,Spot,6,Image 1,1,295,
2109,,Spot,6,Image 1,1,296,
1704,,Spot,6,Image 1,1,297,
1563,,Spot,6,Image 1,1,298,
2053,,Spot,6,Image 1,1,300,
700,,Spot,6,Image 1,1,303,
1949,,Spot,6,Image 1,1,311,
1324,,Spot,6,Image 1,1,312,
1532,,Spot,6,Image 1,1,318,
1544,,Spot,6,Image 1,1,319,
2987,,Spot,6,Image 1,1,320,
1688,,Spot,6,Image 1,1,321,
1593,,Spot,6,Image 1,1,322,
1396,,Spot,6,Image 1,1,323,
1432,,Spot,6,Image 1,1,324,
1395,,Spot,6,Image 1,1,325,
1687,,Spot,6,Image 1,1,326,
2045,,Spot,6,Image 1,1,328,
2510,,Spot,6,Image 1,1,329,
1969,,Spot,6,Image 1,1,330,
1976,,Spot,6,Image 1,1,331,
987,,Spot,6,Image 1,1,332,
1426,,Spot,6,Image 1,1,333,
878,,Spot,6,Image 1,1,334,
2217,,Spot,6,Image 1,1,336,
1488,,Spot,6,Image 1,1,337,
2517,,Spot,6,Image 1,1,338,
2188,,Spot,6,Image 1,1,339,
2823,,Spot,6,Image 1,1,340,
1866,,Spot,6,Image 1,1,342,
3133,,Spot,6,Image 1,1,343,
1555,,Spot,6,Image 1,1,344,
1328,,Spot,6,Image 1,1,345,
2278,,Spot,6,Image 1,1,347,
2774,,Spot,6,Image 1,1,348,
1983,,Spot,6,Image 1,1,349,
1497,,Spot,6,Image 1,1,350,
1769,,Spot,6,Image 1,1,351,
1644,,Spot,6,Image 1,1,352,
2448,,Spot,6,Image 1,1,353,
2012,,Spot,6,Image 1,1,397,
2266,,Spot,6,Image 1,1,398,
1308,,Spot,6,Image 1,1,436,
2537,,Spot,6,Image 1,1,437,
2157,,Spot,6,Image 1,1,438,
1293,,Spot,6,Image 1,1,440,
1253,,Spot,6,Image 1,1,442,
2896,,Spot,6,Image 1,1,443,
1920,,Spot,6,Image 1,1,444,
1258,,Spot,6,Image 1,1,445,
2625,,Spot,6,Image 1,1,446,
1347,,Spot,6,Image 1,1,447,
597,,Spot,6,Image 1,1,448,
1260,,Spot,6,Image 1,1,449,
2733,,Spot,6,Image 1,1,450,
816,,Spot,6,Image 1,1,451,
1115,,Spot,6,Image 1,1,453,
1136,,Spot,6,Image 1,1,454,
2786,,Spot,6,Image 1,1,455,
1813,,Spot,6,Image 1,1,456,
1007,,Spot,6,Image 1,1,462,
1715,,Spot,6,Image 1,1,469,
2306,,Spot,6,Image 1,1,470,
2146,,Spot,6,Image 1,1,471,
1144,,Spot,6,Image 1,1,472,
1560,,Spot,6,Image 1,1,473,
1284,,Spot,6,Image 1,1,474,
1102,,Spot,6,Image 1,1,475,
2212,,Spot,6,Image 1,1,476,
1415,,Spot,6,Image 1,1,477,
3408,,Spot,6,Image 1,1,478,
751,,Spot,6,Image 1,1,479,
1442,,Spot,6,Image 1,1,480,
1891,,Spot,6,Image 1,1,481,
1162,,Spot,6,Image 1,1,482,
1452,,Spot,6,Image 1,1,483,
1918,,Spot,6,Image 1,1,484,
1869,,Spot,6,Image 1,1,485,
3306,,Spot,6,Image 1,1,486,
1134,,Spot,6,Image 1,1,487,
2937,,Spot,6,Image 1,1,488,
1133,,Spot,6,Image 1,1,489,
2875,,Spot,6,Image 1,1,490,
