
Intensity Sum of Square Ch=1 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
3.05374e+09,,Spot,1,Image 1,1,13,
1.54582e+09,,Spot,1,Image 1,1,15,
1.95171e+09,,Spot,1,Image 1,1,17,
1.08175e+09,,Spot,1,Image 1,1,19,
3.03872e+09,,Spot,1,Image 1,1,26,
1.17966e+09,,Spot,1,Image 1,1,27,
2.13479e+09,,Spot,1,Image 1,1,28,
1.34806e+09,,Spot,1,Image 1,1,29,
1.77494e+09,,Spot,1,Image 1,1,30,
1.03585e+09,,Spot,1,Image 1,1,31,
1.29904e+09,,Spot,1,Image 1,1,33,
1.09424e+09,,Spot,1,Image 1,1,36,
8.53936e+08,,Spot,1,Image 1,1,38,
7.05874e+08,,Spot,1,Image 1,1,40,
8.62855e+08,,Spot,1,Image 1,1,45,
3.43244e+08,,Spot,1,Image 1,1,61,
3.60446e+09,,Spot,1,Image 1,1,65,
2.93916e+09,,Spot,1,Image 1,1,66,
1.77357e+09,,Spot,1,Image 1,1,67,
1.87174e+09,,Spot,1,Image 1,1,71,
1.50759e+09,,Spot,1,Image 1,1,72,
1.39346e+09,,Spot,1,Image 1,1,73,
1.04985e+09,,Spot,1,Image 1,1,74,
1.70517e+09,,Spot,1,Image 1,1,75,
1.98023e+09,,Spot,1,Image 1,1,76,
1.60513e+09,,Spot,1,Image 1,1,77,
2.41976e+09,,Spot,1,Image 1,1,78,
1.76175e+09,,Spot,1,Image 1,1,79,
3.59306e+08,,Spot,1,Image 1,1,80,
2.6789e+09,,Spot,1,Image 1,1,81,
2.86037e+09,,Spot,1,Image 1,1,82,
9.62224e+08,,Spot,1,Image 1,1,83,
1.79222e+09,,Spot,1,Image 1,1,84,
1.32483e+09,,Spot,1,Image 1,1,85,
6.30992e+08,,Spot,1,Image 1,1,86,
1.33093e+09,,Spot,1,Image 1,1,87,
1.40838e+09,,Spot,1,Image 1,1,88,
1.69904e+09,,Spot,1,Image 1,1,89,
1.0538e+09,,Spot,1,Image 1,1,90,
1.69874e+09,,Spot,1,Image 1,1,91,
1.51739e+09,,Spot,1,Image 1,1,92,
1.40271e+09,,Spot,1,Image 1,1,93,
2.10384e+09,,Spot,1,Image 1,1,94,
6.83559e+08,,Spot,1,Image 1,1,95,
1.42736e+09,,Spot,1,Image 1,1,96,
1.99582e+09,,Spot,1,Image 1,1,97,
1.84632e+09,,Spot,1,Image 1,1,98,
1.01976e+09,,Spot,1,Image 1,1,99,
5.11723e+09,,Spot,1,Image 1,1,100,
1.44951e+09,,Spot,1,Image 1,1,101,
7.7725e+08,,Spot,1,Image 1,1,102,
1.20559e+09,,Spot,1,Image 1,1,103,
5.05083e+08,,Spot,1,Image 1,1,104,
2.1641e+09,,Spot,1,Image 1,1,105,
2.23114e+09,,Spot,1,Image 1,1,106,
3.10187e+09,,Spot,1,Image 1,1,107,
2.1611e+09,,Spot,1,Image 1,1,108,
1.45096e+09,,Spot,1,Image 1,1,117,
2.44699e+09,,Spot,1,Image 1,1,121,
2.17959e+09,,Spot,1,Image 1,1,122,
2.39531e+09,,Spot,1,Image 1,1,124,
2.55022e+09,,Spot,1,Image 1,1,128,
2.12963e+09,,Spot,1,Image 1,1,129,
1.84797e+09,,Spot,1,Image 1,1,130,
2.53503e+09,,Spot,1,Image 1,1,131,
1.55358e+09,,Spot,1,Image 1,1,132,
2.00556e+09,,Spot,1,Image 1,1,133,
1.82441e+09,,Spot,1,Image 1,1,134,
2.31306e+09,,Spot,1,Image 1,1,136,
9.70003e+08,,Spot,1,Image 1,1,137,
1.8942e+09,,Spot,1,Image 1,1,139,
3.43162e+09,,Spot,1,Image 1,1,140,
1.33006e+09,,Spot,1,Image 1,1,141,
1.50785e+09,,Spot,1,Image 1,1,142,
2.57035e+09,,Spot,1,Image 1,1,143,
1.03945e+09,,Spot,1,Image 1,1,144,
4.72581e+08,,Spot,1,Image 1,1,145,
1.11568e+09,,Spot,1,Image 1,1,146,
1.10307e+09,,Spot,1,Image 1,1,147,
1.11097e+09,,Spot,1,Image 1,1,148,
1.96366e+09,,Spot,1,Image 1,1,149,
1.04522e+09,,Spot,1,Image 1,1,150,
1.55809e+09,,Spot,1,Image 1,1,151,
1.31401e+09,,Spot,1,Image 1,1,152,
8.14674e+08,,Spot,1,Image 1,1,153,
4.13696e+08,,Spot,1,Image 1,1,154,
2.14104e+09,,Spot,1,Image 1,1,155,
1.01131e+09,,Spot,1,Image 1,1,156,
1.52299e+09,,Spot,1,Image 1,1,157,
1.81611e+09,,Spot,1,Image 1,1,159,
2.68339e+09,,Spot,1,Image 1,1,160,
6.11857e+08,,Spot,1,Image 1,1,162,
9.1846e+08,,Spot,1,Image 1,1,163,
9.78391e+08,,Spot,1,Image 1,1,164,
1.87606e+09,,Spot,1,Image 1,1,165,
2.66956e+08,,Spot,1,Image 1,1,166,
2.06572e+09,,Spot,1,Image 1,1,171,
2.64322e+09,,Spot,1,Image 1,1,173,
8.30605e+08,,Spot,1,Image 1,1,219,
2.60062e+09,,Spot,1,Image 1,1,220,
8.23673e+08,,Spot,1,Image 1,1,223,
1.23162e+09,,Spot,1,Image 1,1,228,
1.56575e+09,,Spot,1,Image 1,1,230,
2.11339e+09,,Spot,1,Image 1,1,237,
1.19466e+09,,Spot,1,Image 1,1,242,
6.01976e+08,,Spot,1,Image 1,1,266,
1.22005e+09,,Spot,1,Image 1,1,267,
1.90145e+09,,Spot,1,Image 1,1,270,
1.60685e+09,,Spot,1,Image 1,1,271,
1.38734e+09,,Spot,1,Image 1,1,272,
5.64331e+08,,Spot,1,Image 1,1,273,
3.61268e+09,,Spot,1,Image 1,1,274,
6.44708e+08,,Spot,1,Image 1,1,275,
1.14894e+09,,Spot,1,Image 1,1,276,
1.52209e+09,,Spot,1,Image 1,1,277,
4.24016e+08,,Spot,1,Image 1,1,278,
1.12039e+09,,Spot,1,Image 1,1,279,
7.85003e+08,,Spot,1,Image 1,1,280,
1.63711e+09,,Spot,1,Image 1,1,281,
1.76095e+09,,Spot,1,Image 1,1,282,
1.39386e+09,,Spot,1,Image 1,1,283,
2.89262e+09,,Spot,1,Image 1,1,284,
2.63476e+09,,Spot,1,Image 1,1,285,
1.38478e+09,,Spot,1,Image 1,1,286,
1.15405e+09,,Spot,1,Image 1,1,287,
3.70698e+08,,Spot,1,Image 1,1,288,
1.15877e+09,,Spot,1,Image 1,1,289,
2.02979e+09,,Spot,1,Image 1,1,290,
4.62454e+08,,Spot,1,Image 1,1,291,
2.43953e+09,,Spot,1,Image 1,1,292,
9.45025e+08,,Spot,1,Image 1,1,293,
1.77337e+09,,Spot,1,Image 1,1,294,
1.18977e+09,,Spot,1,Image 1,1,295,
1.90292e+09,,Spot,1,Image 1,1,296,
1.74509e+09,,Spot,1,Image 1,1,297,
9.30613e+08,,Spot,1,Image 1,1,298,
3.55946e+09,,Spot,1,Image 1,1,300,
1.7802e+09,,Spot,1,Image 1,1,303,
1.84848e+09,,Spot,1,Image 1,1,311,
1.81228e+09,,Spot,1,Image 1,1,312,
1.76204e+09,,Spot,1,Image 1,1,318,
2.40183e+09,,Spot,1,Image 1,1,319,
3.07376e+09,,Spot,1,Image 1,1,320,
2.70113e+09,,Spot,1,Image 1,1,321,
1.10746e+09,,Spot,1,Image 1,1,322,
1.41574e+09,,Spot,1,Image 1,1,323,
1.77209e+09,,Spot,1,Image 1,1,324,
8.30429e+08,,Spot,1,Image 1,1,325,
2.07393e+09,,Spot,1,Image 1,1,326,
9.49189e+08,,Spot,1,Image 1,1,328,
9.48952e+08,,Spot,1,Image 1,1,329,
2.25282e+09,,Spot,1,Image 1,1,330,
3.01801e+09,,Spot,1,Image 1,1,331,
1.80785e+09,,Spot,1,Image 1,1,332,
1.02677e+09,,Spot,1,Image 1,1,333,
1.66554e+09,,Spot,1,Image 1,1,334,
1.27302e+09,,Spot,1,Image 1,1,336,
1.50176e+09,,Spot,1,Image 1,1,337,
3.17048e+09,,Spot,1,Image 1,1,338,
1.93336e+09,,Spot,1,Image 1,1,339,
8.42712e+08,,Spot,1,Image 1,1,340,
2.20813e+09,,Spot,1,Image 1,1,342,
1.3712e+09,,Spot,1,Image 1,1,343,
1.82659e+09,,Spot,1,Image 1,1,344,
2.62628e+09,,Spot,1,Image 1,1,345,
4.04749e+09,,Spot,1,Image 1,1,347,
2.41721e+09,,Spot,1,Image 1,1,348,
2.05246e+09,,Spot,1,Image 1,1,349,
9.75955e+08,,Spot,1,Image 1,1,350,
2.21055e+09,,Spot,1,Image 1,1,351,
2.0718e+09,,Spot,1,Image 1,1,352,
4.48657e+09,,Spot,1,Image 1,1,353,
1.11934e+09,,Spot,1,Image 1,1,397,
2.24448e+09,,Spot,1,Image 1,1,398,
1.70048e+09,,Spot,1,Image 1,1,436,
1.708e+09,,Spot,1,Image 1,1,437,
1.50166e+09,,Spot,1,Image 1,1,438,
1.09015e+09,,Spot,1,Image 1,1,440,
1.58297e+09,,Spot,1,Image 1,1,442,
1.91555e+09,,Spot,1,Image 1,1,443,
2.77826e+09,,Spot,1,Image 1,1,444,
2.90639e+09,,Spot,1,Image 1,1,445,
1.87184e+09,,Spot,1,Image 1,1,446,
1.76789e+09,,Spot,1,Image 1,1,447,
8.9044e+08,,Spot,1,Image 1,1,448,
1.83053e+09,,Spot,1,Image 1,1,449,
2.84622e+09,,Spot,1,Image 1,1,450,
1.49401e+09,,Spot,1,Image 1,1,451,
8.02649e+08,,Spot,1,Image 1,1,453,
7.59528e+08,,Spot,1,Image 1,1,454,
1.55307e+09,,Spot,1,Image 1,1,455,
1.83654e+09,,Spot,1,Image 1,1,456,
2.40818e+09,,Spot,1,Image 1,1,462,
3.201e+09,,Spot,1,Image 1,1,469,
1.14655e+09,,Spot,1,Image 1,1,470,
1.95623e+09,,Spot,1,Image 1,1,471,
6.78497e+08,,Spot,1,Image 1,1,472,
2.34176e+09,,Spot,1,Image 1,1,473,
1.66725e+09,,Spot,1,Image 1,1,474,
1.3111e+09,,Spot,1,Image 1,1,475,
8.80142e+08,,Spot,1,Image 1,1,476,
7.08877e+08,,Spot,1,Image 1,1,477,
3.63624e+09,,Spot,1,Image 1,1,478,
1.10494e+09,,Spot,1,Image 1,1,479,
1.57283e+09,,Spot,1,Image 1,1,480,
2.38148e+09,,Spot,1,Image 1,1,481,
2.20623e+09,,Spot,1,Image 1,1,482,
4.32796e+08,,Spot,1,Image 1,1,483,
3.80364e+09,,Spot,1,Image 1,1,484,
9.53923e+08,,Spot,1,Image 1,1,485,
1.15432e+09,,Spot,1,Image 1,1,486,
4.49191e+08,,Spot,1,Image 1,1,487,
1.60142e+09,,Spot,1,Image 1,1,488,
1.61491e+09,,Spot,1,Image 1,1,489,
1.32935e+09,,Spot,1,Image 1,1,490,
4.31829e+08,,Spot,1,Image 1,1,498,
2.7566e+09,,Spot,1,Image 1,1,548,
1.84954e+09,,Spot,1,Image 1,1,549,
2.80897e+09,,Spot,1,Image 1,1,550,
6.11384e+08,,Spot,1,Image 1,1,552,
2.05396e+09,,Spot,1,Image 1,1,554,
3.27921e+09,,Spot,1,Image 1,1,555,
2.30467e+09,,Spot,1,Image 1,1,556,
1.10207e+09,,Spot,1,Image 1,1,557,
2.44207e+09,,Spot,1,Image 1,1,558,
2.95241e+09,,Spot,1,Image 1,1,559,
1.68952e+09,,Spot,1,Image 1,1,560,
2.39172e+09,,Spot,1,Image 1,1,561,
7.16619e+08,,Spot,1,Image 1,1,562,
1.01599e+09,,Spot,1,Image 1,1,563,
2.59166e+09,,Spot,1,Image 1,1,564,
2.18426e+09,,Spot,1,Image 1,1,565,
2.93025e+09,,Spot,1,Image 1,1,566,
1.03352e+09,,Spot,1,Image 1,1,567,
1.69635e+09,,Spot,1,Image 1,1,568,
2.12639e+09,,Spot,1,Image 1,1,569,
1.20471e+09,,Spot,1,Image 1,1,570,
1.49586e+09,,Spot,1,Image 1,1,571,
2.84808e+09,,Spot,1,Image 1,1,572,
2.43086e+09,,Spot,1,Image 1,1,573,
8.52294e+08,,Spot,1,Image 1,1,575,
9.2957e+08,,Spot,1,Image 1,1,580,
3.13093e+09,,Spot,1,Image 1,1,581,
1.02143e+09,,Spot,1,Image 1,1,583,
4.05878e+08,,Spot,1,Image 1,1,584,
7.45582e+08,,Spot,1,Image 1,1,585,
1.36855e+09,,Spot,1,Image 1,1,586,
1.4271e+09,,Spot,1,Image 1,1,587,
1.4983e+09,,Spot,1,Image 1,1,588,
1.56866e+09,,Spot,1,Image 1,1,589,
1.36595e+09,,Spot,1,Image 1,1,590,
1.48259e+09,,Spot,1,Image 1,1,592,
6.90057e+08,,Spot,1,Image 1,1,593,
8.35852e+08,,Spot,1,Image 1,1,594,
9.85601e+08,,Spot,1,Image 1,1,595,
9.81253e+08,,Spot,1,Image 1,1,596,
1.23014e+09,,Spot,1,Image 1,1,597,
2.17016e+09,,Spot,1,Image 1,1,598,
1.69383e+09,,Spot,1,Image 1,1,599,
1.45008e+09,,Spot,1,Image 1,1,600,
2.31117e+09,,Spot,1,Image 1,1,601,
1.61199e+09,,Spot,1,Image 1,1,602,
1.94119e+08,,Spot,1,Image 1,1,603,
1.56016e+09,,Spot,1,Image 1,1,604,
6.40804e+08,,Spot,1,Image 1,1,605,
1.6023e+09,,Spot,1,Image 1,1,607,
2.59899e+09,,Spot,1,Image 1,1,610,
1.9546e+09,,Spot,1,Image 1,1,624,
2.74201e+09,,Spot,1,Image 1,1,625,
1.5079e+09,,Spot,1,Image 1,1,630,
2.34825e+09,,Spot,1,Image 1,1,640,
1.87798e+09,,Spot,1,Image 1,1,645,
2.13018e+09,,Spot,1,Image 1,1,55413,
2.62534e+09,,Spot,1,Image 1,1,55414,
2.28404e+09,,Spot,1,Image 1,1,55415,
1.57176e+09,,Spot,1,Image 1,1,55416,
2.2095e+09,,Spot,1,Image 1,1,55417,
1.77477e+09,,Spot,1,Image 1,1,55418,
1.89143e+09,,Spot,1,Image 1,1,55420,
1.85725e+09,,Spot,1,Image 1,1,55421,
