
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
32.1515,um,Spot,Image 1,1,329,
28.7259,um,Spot,Image 1,1,330,
36.4217,um,Spot,Image 1,1,331,
28.1232,um,Spot,Image 1,1,332,
17.9009,um,Spot,Image 1,1,333,
31.7337,um,Spot,Image 1,1,334,
30.5165,um,Spot,Image 1,1,336,
36.0799,um,Spot,Image 1,1,337,
35.3322,um,Spot,Image 1,1,338,
24.8753,um,Spot,Image 1,1,339,
37.6801,um,Spot,Image 1,1,340,
20.5982,um,Spot,Image 1,1,342,
35.7338,um,Spot,Image 1,1,343,
29.4377,um,Spot,Image 1,1,344,
23.2557,um,Spot,Image 1,1,345,
30.4369,um,Spot,Image 1,1,347,
21.1463,um,Spot,Image 1,1,348,
22.181,um,Spot,Image 1,1,349,
21.6566,um,Spot,Image 1,1,350,
20.1744,um,Spot,Image 1,1,351,
32.8731,um,Spot,Image 1,1,352,
17.8374,um,Spot,Image 1,1,353,
23.6979,um,Spot,Image 1,1,397,
23.9497,um,Spot,Image 1,1,398,
34.3918,um,Spot,Image 1,1,436,
28.6799,um,Spot,Image 1,1,437,
42.4686,um,Spot,Image 1,1,438,
27.7729,um,Spot,Image 1,1,440,
36.2916,um,Spot,Image 1,1,442,
38.6572,um,Spot,Image 1,1,443,
34.016,um,Spot,Image 1,1,444,
34.8332,um,Spot,Image 1,1,445,
44.378,um,Spot,Image 1,1,446,
49.7213,um,Spot,Image 1,1,447,
27.561,um,Spot,Image 1,1,448,
28.9251,um,Spot,Image 1,1,449,
38.5225,um,Spot,Image 1,1,450,
34.5495,um,Spot,Image 1,1,451,
23.1015,um,Spot,Image 1,1,453,
24.6721,um,Spot,Image 1,1,454,
35.8106,um,Spot,Image 1,1,455,
27.2307,um,Spot,Image 1,1,456,
18.5158,um,Spot,Image 1,1,462,
36.4721,um,Spot,Image 1,1,469,
43.5836,um,Spot,Image 1,1,470,
33.9917,um,Spot,Image 1,1,471,
39.0357,um,Spot,Image 1,1,472,
28.6441,um,Spot,Image 1,1,473,
25.8525,um,Spot,Image 1,1,474,
30.9588,um,Spot,Image 1,1,475,
24.0534,um,Spot,Image 1,1,476,
19.5409,um,Spot,Image 1,1,477,
31.9412,um,Spot,Image 1,1,478,
31.6624,um,Spot,Image 1,1,479,
29.0409,um,Spot,Image 1,1,480,
34.6642,um,Spot,Image 1,1,481,
24.8611,um,Spot,Image 1,1,482,
21.2687,um,Spot,Image 1,1,483,
18.4332,um,Spot,Image 1,1,484,
33.4714,um,Spot,Image 1,1,485,
18.9666,um,Spot,Image 1,1,486,
28.9796,um,Spot,Image 1,1,487,
26.2943,um,Spot,Image 1,1,488,
25.8325,um,Spot,Image 1,1,489,
24.8489,um,Spot,Image 1,1,490,
19.2791,um,Spot,Image 1,1,498,
36.6401,um,Spot,Image 1,1,548,
41.9013,um,Spot,Image 1,1,549,
47.0048,um,Spot,Image 1,1,550,
45.9198,um,Spot,Image 1,1,552,
47.5481,um,Spot,Image 1,1,554,
45.0606,um,Spot,Image 1,1,555,
30.8776,um,Spot,Image 1,1,556,
32.3565,um,Spot,Image 1,1,557,
38.2621,um,Spot,Image 1,1,558,
42.476,um,Spot,Image 1,1,559,
41.9534,um,Spot,Image 1,1,560,
46.4083,um,Spot,Image 1,1,561,
40.4306,um,Spot,Image 1,1,562,
48.6561,um,Spot,Image 1,1,563,
43.2986,um,Spot,Image 1,1,564,
43.7929,um,Spot,Image 1,1,565,
48.891,um,Spot,Image 1,1,566,
30.9581,um,Spot,Image 1,1,567,
38.5031,um,Spot,Image 1,1,568,
22.2882,um,Spot,Image 1,1,569,
44.0949,um,Spot,Image 1,1,570,
29.6248,um,Spot,Image 1,1,571,
48.069,um,Spot,Image 1,1,572,
40.8419,um,Spot,Image 1,1,573,
19.5248,um,Spot,Image 1,1,575,
27.0151,um,Spot,Image 1,1,580,
35.0186,um,Spot,Image 1,1,581,
43.0497,um,Spot,Image 1,1,583,
40.7097,um,Spot,Image 1,1,584,
26.6054,um,Spot,Image 1,1,585,
36.8202,um,Spot,Image 1,1,586,
34.3628,um,Spot,Image 1,1,587,
35.9212,um,Spot,Image 1,1,588,
38.3298,um,Spot,Image 1,1,589,
44.5614,um,Spot,Image 1,1,590,
27.9809,um,Spot,Image 1,1,592,
23.5511,um,Spot,Image 1,1,593,
39.2367,um,Spot,Image 1,1,594,
24.3167,um,Spot,Image 1,1,595,
27.0766,um,Spot,Image 1,1,596,
29.3561,um,Spot,Image 1,1,597,
22.3974,um,Spot,Image 1,1,598,
27.2809,um,Spot,Image 1,1,599,
31.9374,um,Spot,Image 1,1,600,
35.1411,um,Spot,Image 1,1,601,
41.9643,um,Spot,Image 1,1,602,
41.9021,um,Spot,Image 1,1,603,
30.4801,um,Spot,Image 1,1,604,
34.092,um,Spot,Image 1,1,605,
20.2811,um,Spot,Image 1,1,607,
19.3172,um,Spot,Image 1,1,610,
44.3948,um,Spot,Image 1,1,624,
47.3372,um,Spot,Image 1,1,625,
35.7528,um,Spot,Image 1,1,630,
35.2793,um,Spot,Image 1,1,640,
19.2643,um,Spot,Image 1,1,645,
18.6011,um,Spot,Image 1,1,55413,
15.6337,um,Spot,Image 1,1,55414,
11.8654,um,Spot,Image 1,1,55415,
17.2176,um,Spot,Image 1,1,55416,
10.4866,um,Spot,Image 1,1,55417,
12.7809,um,Spot,Image 1,1,55418,
11.5185,um,Spot,Image 1,1,55420,
12.2601,um,Spot,Image 1,1,55421,
17.1752,um,Spot,Image 1,1,55422,
9.28317,um,Spot,Image 1,1,55423,
7.68358,um,Spot,Image 1,1,55424,
6.50211,um,Spot,Image 1,1,55425,
6.95029,um,Spot,Image 1,1,55426,
11.645,um,Spot,Image 1,1,55427,
16.0574,um,Spot,Image 1,1,55429,
13.1523,um,Spot,Image 1,1,55430,
1.59824,um,Spot,Image 1,1,55431,
0.397461,um,Spot,Image 1,1,55432,
7.24838,um,Spot,Image 1,1,55433,
3.29439,um,Spot,Image 1,1,55434,
5.01469,um,Spot,Image 1,1,55435,
5.08725,um,Spot,Image 1,1,55436,
2.5611,um,Spot,Image 1,1,55437,
13.4694,um,Spot,Image 1,1,55438,
16.0895,um,Spot,Image 1,1,55439,
13.5468,um,Spot,Image 1,1,55440,
14.8327,um,Spot,Image 1,1,55441,
11.1161,um,Spot,Image 1,1,55442,
5.98105,um,Spot,Image 1,1,55444,
8.75089,um,Spot,Image 1,1,55445,
14.7684,um,Spot,Image 1,1,55446,
16.1583,um,Spot,Image 1,1,55447,
16.7608,um,Spot,Image 1,1,55449,
15.1906,um,Spot,Image 1,1,55450,
14.6893,um,Spot,Image 1,1,55452,
17.4866,um,Spot,Image 1,1,55453,
15.7371,um,Spot,Image 1,1,55454,
6.93323,um,Spot,Image 1,1,55455,
10.7236,um,Spot,Image 1,1,55456,
0.157959,um,Spot,Image 1,1,55458,
0.557922,um,Spot,Image 1,1,55459,
3.41154,um,Spot,Image 1,1,55460,
13.2887,um,Spot,Image 1,1,55461,
