
Area
 ==================== 
Area,Unit,Category,Time,ID,
78.5398,um^2,Spot,1,438,
78.5398,um^2,Spot,1,440,
78.5398,um^2,Spot,1,442,
78.5398,um^2,Spot,1,443,
78.5398,um^2,Spot,1,444,
78.5398,um^2,Spot,1,445,
78.5398,um^2,Spot,1,446,
78.5398,um^2,Spot,1,447,
78.5398,um^2,Spot,1,448,
78.5398,um^2,Spot,1,449,
78.5398,um^2,Spot,1,450,
78.5398,um^2,Spot,1,451,
78.5398,um^2,Spot,1,453,
78.5398,um^2,Spot,1,454,
78.5398,um^2,Spot,1,455,
78.5398,um^2,Spot,1,456,
78.5398,um^2,Spot,1,462,
78.5398,um^2,Spot,1,469,
78.5398,um^2,Spot,1,470,
78.5398,um^2,Spot,1,471,
78.5398,um^2,Spot,1,472,
78.5398,um^2,Spot,1,473,
78.5398,um^2,Spot,1,474,
78.5398,um^2,Spot,1,475,
78.5398,um^2,Spot,1,476,
78.5398,um^2,Spot,1,477,
78.5398,um^2,Spot,1,478,
78.5398,um^2,Spot,1,479,
78.5398,um^2,Spot,1,480,
78.5398,um^2,Spot,1,481,
78.5398,um^2,Spot,1,482,
78.5398,um^2,Spot,1,483,
78.5398,um^2,Spot,1,484,
78.5398,um^2,Spot,1,485,
78.5398,um^2,Spot,1,486,
78.5398,um^2,Spot,1,487,
78.5398,um^2,Spot,1,488,
78.5398,um^2,Spot,1,489,
78.5398,um^2,Spot,1,490,
78.5398,um^2,Spot,1,498,
78.5398,um^2,Spot,1,548,
78.5398,um^2,Spot,1,549,
78.5398,um^2,Spot,1,550,
78.5398,um^2,Spot,1,552,
78.5398,um^2,Spot,1,554,
78.5398,um^2,Spot,1,555,
78.5398,um^2,Spot,1,556,
78.5398,um^2,Spot,1,557,
78.5398,um^2,Spot,1,558,
78.5398,um^2,Spot,1,559,
78.5398,um^2,Spot,1,560,
78.5398,um^2,Spot,1,561,
78.5398,um^2,Spot,1,562,
78.5398,um^2,Spot,1,563,
78.5398,um^2,Spot,1,564,
78.5398,um^2,Spot,1,565,
78.5398,um^2,Spot,1,566,
78.5398,um^2,Spot,1,567,
78.5398,um^2,Spot,1,568,
78.5398,um^2,Spot,1,569,
78.5398,um^2,Spot,1,570,
78.5398,um^2,Spot,1,571,
78.5398,um^2,Spot,1,572,
78.5398,um^2,Spot,1,573,
78.5398,um^2,Spot,1,575,
78.5398,um^2,Spot,1,580,
78.5398,um^2,Spot,1,581,
78.5398,um^2,Spot,1,583,
78.5398,um^2,Spot,1,584,
78.5398,um^2,Spot,1,585,
78.5398,um^2,Spot,1,586,
78.5398,um^2,Spot,1,587,
78.5398,um^2,Spot,1,588,
78.5398,um^2,Spot,1,589,
78.5398,um^2,Spot,1,590,
78.5398,um^2,Spot,1,592,
78.5398,um^2,Spot,1,593,
78.5398,um^2,Spot,1,594,
78.5398,um^2,Spot,1,595,
78.5398,um^2,Spot,1,596,
78.5398,um^2,Spot,1,597,
78.5398,um^2,Spot,1,598,
78.5398,um^2,Spot,1,599,
78.5398,um^2,Spot,1,600,
78.5398,um^2,Spot,1,601,
78.5398,um^2,Spot,1,602,
78.5398,um^2,Spot,1,603,
78.5398,um^2,Spot,1,604,
78.5398,um^2,Spot,1,605,
78.5398,um^2,Spot,1,607,
78.5398,um^2,Spot,1,610,
78.5398,um^2,Spot,1,624,
78.5398,um^2,Spot,1,625,
78.5398,um^2,Spot,1,630,
78.5398,um^2,Spot,1,640,
78.5398,um^2,Spot,1,645,
78.5398,um^2,Spot,1,55413,
78.5398,um^2,Spot,1,55414,
78.5398,um^2,Spot,1,55415,
78.5398,um^2,Spot,1,55416,
78.5398,um^2,Spot,1,55417,
78.5398,um^2,Spot,1,55418,
78.5398,um^2,Spot,1,55420,
78.5398,um^2,Spot,1,55421,
78.5398,um^2,Spot,1,55422,
78.5398,um^2,Spot,1,55423,
78.5398,um^2,Spot,1,55424,
78.5398,um^2,Spot,1,55425,
78.5398,um^2,Spot,1,55426,
78.5398,um^2,Spot,1,55427,
78.5398,um^2,Spot,1,55429,
