
Intensity Sum of Square Ch=3 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
2.29932e+07,,Spot,3,Image 1,1,13,
1.57901e+07,,Spot,3,Image 1,1,15,
2.1835e+07,,Spot,3,Image 1,1,17,
5.21545e+07,,Spot,3,Image 1,1,19,
1.32768e+07,,Spot,3,Image 1,1,26,
1.46461e+07,,Spot,3,Image 1,1,27,
2.07237e+07,,Spot,3,Image 1,1,28,
1.92087e+07,,Spot,3,Image 1,1,29,
2.1825e+07,,Spot,3,Image 1,1,30,
1.76748e+07,,Spot,3,Image 1,1,31,
1.16476e+07,,Spot,3,Image 1,1,33,
1.28926e+07,,Spot,3,Image 1,1,36,
9.06198e+06,,Spot,3,Image 1,1,38,
5.14888e+06,,Spot,3,Image 1,1,40,
7.87011e+06,,Spot,3,Image 1,1,45,
1.16044e+07,,Spot,3,Image 1,1,61,
1.17802e+08,,Spot,3,Image 1,1,65,
1.89423e+07,,Spot,3,Image 1,1,66,
1.54631e+08,,Spot,3,Image 1,1,67,
1.31295e+08,,Spot,3,Image 1,1,71,
2.4412e+09,,Spot,3,Image 1,1,72,
5.59862e+08,,Spot,3,Image 1,1,73,
8.82335e+08,,Spot,3,Image 1,1,74,
1.01235e+09,,Spot,3,Image 1,1,75,
1.06604e+09,,Spot,3,Image 1,1,76,
1.18755e+08,,Spot,3,Image 1,1,77,
2.74311e+08,,Spot,3,Image 1,1,78,
2.42029e+09,,Spot,3,Image 1,1,79,
3.05688e+07,,Spot,3,Image 1,1,80,
2.34345e+08,,Spot,3,Image 1,1,81,
1.08883e+08,,Spot,3,Image 1,1,82,
2.47108e+07,,Spot,3,Image 1,1,83,
3.43148e+07,,Spot,3,Image 1,1,84,
3.10377e+07,,Spot,3,Image 1,1,85,
4.58878e+07,,Spot,3,Image 1,1,86,
3.61423e+08,,Spot,3,Image 1,1,87,
1.7803e+08,,Spot,3,Image 1,1,88,
2.26315e+08,,Spot,3,Image 1,1,89,
6.14001e+08,,Spot,3,Image 1,1,90,
9.93098e+07,,Spot,3,Image 1,1,91,
7.18907e+07,,Spot,3,Image 1,1,92,
2.04173e+07,,Spot,3,Image 1,1,93,
2.08582e+08,,Spot,3,Image 1,1,94,
7.57424e+06,,Spot,3,Image 1,1,95,
1.52345e+07,,Spot,3,Image 1,1,96,
