
Distance to Image Border XYZ Img=1
 ==================== 
Distance to Image Border XYZ,Unit,Category,Image,Time,ID,
9.76207,um,Spot,Image 1,1,338,
9.58383,um,Spot,Image 1,1,339,
11.1664,um,Spot,Image 1,1,340,
6.9996,um,Spot,Image 1,1,342,
7.41037,um,Spot,Image 1,1,343,
7.12403,um,Spot,Image 1,1,344,
7.56506,um,Spot,Image 1,1,345,
7.83745,um,Spot,Image 1,1,347,
8.25147,um,Spot,Image 1,1,348,
8.93461,um,Spot,Image 1,1,349,
11.2381,um,Spot,Image 1,1,350,
11.5449,um,Spot,Image 1,1,351,
12.2233,um,Spot,Image 1,1,352,
12.3532,um,Spot,Image 1,1,353,
15.6127,um,Spot,Image 1,1,397,
15.4648,um,Spot,Image 1,1,398,
13.1476,um,Spot,Image 1,1,436,
15.0861,um,Spot,Image 1,1,437,
16.1981,um,Spot,Image 1,1,438,
16.115,um,Spot,Image 1,1,440,
14.5196,um,Spot,Image 1,1,442,
13.1898,um,Spot,Image 1,1,443,
15.1227,um,Spot,Image 1,1,444,
15.4438,um,Spot,Image 1,1,445,
15.0788,um,Spot,Image 1,1,446,
15.0632,um,Spot,Image 1,1,447,
13.9062,um,Spot,Image 1,1,448,
14.2835,um,Spot,Image 1,1,449,
16.3018,um,Spot,Image 1,1,450,
15.9265,um,Spot,Image 1,1,451,
15.6267,um,Spot,Image 1,1,453,
14.6285,um,Spot,Image 1,1,454,
14.5543,um,Spot,Image 1,1,455,
14.3799,um,Spot,Image 1,1,456,
16.0675,um,Spot,Image 1,1,462,
16.4375,um,Spot,Image 1,1,469,
16.6077,um,Spot,Image 1,1,470,
15.0961,um,Spot,Image 1,1,471,
12.9537,um,Spot,Image 1,1,472,
12.917,um,Spot,Image 1,1,473,
13.6288,um,Spot,Image 1,1,474,
16.4331,um,Spot,Image 1,1,475,
16.1778,um,Spot,Image 1,1,476,
15.9253,um,Spot,Image 1,1,477,
13.4565,um,Spot,Image 1,1,478,
13.663,um,Spot,Image 1,1,479,
13.4731,um,Spot,Image 1,1,480,
15.9528,um,Spot,Image 1,1,481,
16.1363,um,Spot,Image 1,1,482,
16.0586,um,Spot,Image 1,1,483,
16.7652,um,Spot,Image 1,1,484,
16.3046,um,Spot,Image 1,1,485,
16.6024,um,Spot,Image 1,1,486,
15.618,um,Spot,Image 1,1,487,
14.6221,um,Spot,Image 1,1,488,
14.6525,um,Spot,Image 1,1,489,
14.392,um,Spot,Image 1,1,490,
16.7316,um,Spot,Image 1,1,498,
12.6369,um,Spot,Image 1,1,548,
11.9573,um,Spot,Image 1,1,549,
10.0548,um,Spot,Image 1,1,550,
9.8548,um,Spot,Image 1,1,552,
6.95005,um,Spot,Image 1,1,554,
13.0476,um,Spot,Image 1,1,555,
12.6539,um,Spot,Image 1,1,556,
12.2168,um,Spot,Image 1,1,557,
12.3157,um,Spot,Image 1,1,558,
12.0676,um,Spot,Image 1,1,559,
11.719,um,Spot,Image 1,1,560,
10.2256,um,Spot,Image 1,1,561,
8.67407,um,Spot,Image 1,1,562,
8.58674,um,Spot,Image 1,1,563,
6.96094,um,Spot,Image 1,1,564,
7.00934,um,Spot,Image 1,1,565,
6.15356,um,Spot,Image 1,1,566,
12.8045,um,Spot,Image 1,1,567,
11.9753,um,Spot,Image 1,1,568,
12.1749,um,Spot,Image 1,1,569,
7.03172,um,Spot,Image 1,1,570,
7.01275,um,Spot,Image 1,1,571,
6.25634,um,Spot,Image 1,1,572,
6.44952,um,Spot,Image 1,1,573,
11.2316,um,Spot,Image 1,1,575,
13.2616,um,Spot,Image 1,1,580,
12.0575,um,Spot,Image 1,1,581,
11.125,um,Spot,Image 1,1,583,
11.1698,um,Spot,Image 1,1,584,
10.749,um,Spot,Image 1,1,585,
10.3356,um,Spot,Image 1,1,586,
9.58905,um,Spot,Image 1,1,587,
9.37804,um,Spot,Image 1,1,588,
8.96301,um,Spot,Image 1,1,589,
7.62474,um,Spot,Image 1,1,590,
11.615,um,Spot,Image 1,1,592,
11.4304,um,Spot,Image 1,1,593,
10.9207,um,Spot,Image 1,1,594,
9.30066,um,Spot,Image 1,1,595,
9.49082,um,Spot,Image 1,1,596,
9.45539,um,Spot,Image 1,1,597,
9.0499,um,Spot,Image 1,1,598,
8.87014,um,Spot,Image 1,1,599,
8.98456,um,Spot,Image 1,1,600,
7.21855,um,Spot,Image 1,1,601,
6.15029,um,Spot,Image 1,1,602,
6.09716,um,Spot,Image 1,1,603,
5.96148,um,Spot,Image 1,1,604,
6.09948,um,Spot,Image 1,1,605,
13.2034,um,Spot,Image 1,1,607,
10.6822,um,Spot,Image 1,1,610,
5.55129,um,Spot,Image 1,1,624,
5.62159,um,Spot,Image 1,1,625,
5.5995,um,Spot,Image 1,1,630,
5.58294,um,Spot,Image 1,1,640,
4.53395,um,Spot,Image 1,1,645,
11.66,um,Spot,Image 1,1,55413,
12.14,um,Spot,Image 1,1,55414,
11.8654,um,Spot,Image 1,1,55415,
14.54,um,Spot,Image 1,1,55416,
10.22,um,Spot,Image 1,1,55417,
12.7809,um,Spot,Image 1,1,55418,
11.5185,um,Spot,Image 1,1,55420,
12.2601,um,Spot,Image 1,1,55421,
11.66,um,Spot,Image 1,1,55422,
9.28317,um,Spot,Image 1,1,55423,
7.68358,um,Spot,Image 1,1,55424,
6.50211,um,Spot,Image 1,1,55425,
6.95029,um,Spot,Image 1,1,55426,
11.645,um,Spot,Image 1,1,55427,
16.0574,um,Spot,Image 1,1,55429,
12.6547,um,Spot,Image 1,1,55430,
1.59824,um,Spot,Image 1,1,55431,
0.397461,um,Spot,Image 1,1,55432,
7.24838,um,Spot,Image 1,1,55433,
3.29439,um,Spot,Image 1,1,55434,
5.01469,um,Spot,Image 1,1,55435,
5.08725,um,Spot,Image 1,1,55436,
2.5611,um,Spot,Image 1,1,55437,
11.18,um,Spot,Image 1,1,55438,
15.98,um,Spot,Image 1,1,55439,
13.5468,um,Spot,Image 1,1,55440,
9.77271,um,Spot,Image 1,1,55441,
11.1161,um,Spot,Image 1,1,55442,
2.02,um,Spot,Image 1,1,55444,
5.9,um,Spot,Image 1,1,55445,
9.74,um,Spot,Image 1,1,55446,
0.14,um,Spot,Image 1,1,55447,
0,um,Spot,Image 1,1,55449,
9.74,um,Spot,Image 1,1,55450,
4.46,um,Spot,Image 1,1,55452,
12.14,um,Spot,Image 1,1,55453,
3.02,um,Spot,Image 1,1,55454,
6.38,um,Spot,Image 1,1,55455,
2.06,um,Spot,Image 1,1,55456,
0.157959,um,Spot,Image 1,1,55458,
0.557922,um,Spot,Image 1,1,55459,
3.41154,um,Spot,Image 1,1,55460,
8.78,um,Spot,Image 1,1,55461,
14.54,um,Spot,Image 1,1,55462,
5.42,um,Spot,Image 1,1,55464,
10.7572,um,Spot,Image 1,1,55465,
7.23827,um,Spot,Image 1,1,55466,
0.953339,um,Spot,Image 1,1,55468,
0,um,Spot,Image 1,1,55469,
12.1562,um,Spot,Image 1,1,55470,
10.5218,um,Spot,Image 1,1,55471,
6.04698,um,Spot,Image 1,1,55472,
9.83522,um,Spot,Image 1,1,55474,
13.4144,um,Spot,Image 1,1,55475,
12.3703,um,Spot,Image 1,1,55476,
15.02,um,Spot,Image 1,1,55477,
15.5,um,Spot,Image 1,1,55478,
7.93497,um,Spot,Image 1,1,55479,
0,um,Spot,Image 1,1,55480,
4.94,um,Spot,Image 1,1,55481,
1.58,um,Spot,Image 1,1,55482,
6.38,um,Spot,Image 1,1,55483,
0,um,Spot,Image 1,1,55484,
3.39294,um,Spot,Image 1,1,55485,
7.82,um,Spot,Image 1,1,55486,
14.06,um,Spot,Image 1,1,55487,
7.91151,um,Spot,Image 1,1,55488,
3.02,um,Spot,Image 1,1,55491,
8.05542,um,Spot,Image 1,1,55492,
7.40817,um,Spot,Image 1,1,55493,
13.3571,um,Spot,Image 1,1,55494,
11.66,um,Spot,Image 1,1,55495,
8.78,um,Spot,Image 1,1,55496,
15.4034,um,Spot,Image 1,1,55497,
5.9,um,Spot,Image 1,1,55498,
7.97101,um,Spot,Image 1,1,55499,
11.18,um,Spot,Image 1,1,55500,
16.8583,um,Spot,Image 1,1,55501,
13.58,um,Spot,Image 1,1,55502,
6.91585,um,Spot,Image 1,1,55503,
14.06,um,Spot,Image 1,1,55505,
2.07074,um,Spot,Image 1,1,55506,
7.06975,um,Spot,Image 1,1,55507,
0.62,um,Spot,Image 1,1,55508,
0,um,Spot,Image 1,1,55509,
12.3233,um,Spot,Image 1,1,55511,
15.4589,um,Spot,Image 1,1,55512,
7.73155,um,Spot,Image 1,1,55513,
2.54,um,Spot,Image 1,1,55514,
15.02,um,Spot,Image 1,1,55515,
0,um,Spot,Image 1,1,55517,
1.66966,um,Spot,Image 1,1,55519,
0.615402,um,Spot,Image 1,1,55520,
15.02,um,Spot,Image 1,1,55521,
1.03848,um,Spot,Image 1,1,55524,
7.50586,um,Spot,Image 1,1,55525,
0.198997,um,Spot,Image 1,1,55526,
0.62,um,Spot,Image 1,1,55528,
16.8751,um,Spot,Image 1,1,55529,
15.0674,um,Spot,Image 1,1,55532,
15.02,um,Spot,Image 1,1,55533,
11.66,um,Spot,Image 1,1,55534,
6.68874,um,Spot,Image 1,1,55535,
11.66,um,Spot,Image 1,1,55536,
6.45386,um,Spot,Image 1,1,55537,
3.80989,um,Spot,Image 1,1,55538,
2.86755,um,Spot,Image 1,1,55539,
6.42168,um,Spot,Image 1,1,55540,
5.90366,um,Spot,Image 1,1,55541,
16.5527,um,Spot,Image 1,1,55542,
11.549,um,Spot,Image 1,1,55543,
12.2711,um,Spot,Image 1,1,55544,
9.27071,um,Spot,Image 1,1,55545,
15.98,um,Spot,Image 1,1,55546,
11.8786,um,Spot,Image 1,1,55548,
5.79241,um,Spot,Image 1,1,55549,
7.82,um,Spot,Image 1,1,55550,
8.3,um,Spot,Image 1,1,55551,
5.60675,um,Spot,Image 1,1,55552,
16.4084,um,Spot,Image 1,1,55553,
14.06,um,Spot,Image 1,1,55554,
15.084,um,Spot,Image 1,1,55555,
12.9225,um,Spot,Image 1,1,55556,
7.34,um,Spot,Image 1,1,55557,
16.8843,um,Spot,Image 1,1,55558,
14.54,um,Spot,Image 1,1,55559,
2.84932,um,Spot,Image 1,1,55560,
5.2433,um,Spot,Image 1,1,55561,
9.00883,um,Spot,Image 1,1,55562,
10.613,um,Spot,Image 1,1,55563,
9.74,um,Spot,Image 1,1,55564,
9.57235,um,Spot,Image 1,1,55565,
10.9222,um,Spot,Image 1,1,55566,
7.34,um,Spot,Image 1,1,55568,
16,um,Spot,Image 1,1,55569,
6.90236,um,Spot,Image 1,1,55570,
11.18,um,Spot,Image 1,1,55571,
7.82,um,Spot,Image 1,1,55572,
15.98,um,Spot,Image 1,1,55573,
16.084,um,Spot,Image 1,1,55574,
15.3484,um,Spot,Image 1,1,55576,
13.0565,um,Spot,Image 1,1,55577,
11.4578,um,Spot,Image 1,1,55578,
14.6692,um,Spot,Image 1,1,55579,
12.766,um,Spot,Image 1,1,55580,
15.6983,um,Spot,Image 1,1,55581,
8.98683,um,Spot,Image 1,1,55582,
0,um,Spot,Image 1,2,55583,
0,um,Spot,Image 1,2,55584,
0,um,Spot,Image 1,2,55585,
2.18402,um,Spot,Image 1,2,55586,
0,um,Spot,Image 1,2,55587,
0,um,Spot,Image 1,2,55588,
1.18482,um,Spot,Image 1,2,55589,
2.038,um,Spot,Image 1,2,55590,
2.9518,um,Spot,Image 1,2,55591,
0,um,Spot,Image 1,2,55592,
