
Diameter
 ==================== 
Diameter X,Diameter Y,Diameter Z,Unit,Category,Collection,Time,ID,
5,5,5,um,Spot,Diameter,1,321,
5,5,5,um,Spot,Diameter,1,322,
5,5,5,um,Spot,Diameter,1,323,
5,5,5,um,Spot,Diameter,1,324,
5,5,5,um,Spot,Diameter,1,325,
5,5,5,um,Spot,Diameter,1,326,
5,5,5,um,Spot,Diameter,1,328,
5,5,5,um,Spot,Diameter,1,329,
5,5,5,um,Spot,Diameter,1,330,
5,5,5,um,Spot,Diameter,1,331,
5,5,5,um,Spot,Diameter,1,332,
5,5,5,um,Spot,Diameter,1,333,
5,5,5,um,Spot,Diameter,1,334,
5,5,5,um,Spot,Diameter,1,336,
5,5,5,um,Spot,Diameter,1,337,
5,5,5,um,Spot,Diameter,1,338,
5,5,5,um,Spot,Diameter,1,339,
5,5,5,um,Spot,Diameter,1,340,
5,5,5,um,Spot,Diameter,1,342,
5,5,5,um,Spot,Diameter,1,343,
5,5,5,um,Spot,Diameter,1,344,
5,5,5,um,Spot,Diameter,1,345,
5,5,5,um,Spot,Diameter,1,347,
5,5,5,um,Spot,Diameter,1,348,
5,5,5,um,Spot,Diameter,1,349,
5,5,5,um,Spot,Diameter,1,350,
5,5,5,um,Spot,Diameter,1,351,
5,5,5,um,Spot,Diameter,1,352,
5,5,5,um,Spot,Diameter,1,353,
5,5,5,um,Spot,Diameter,1,397,
5,5,5,um,Spot,Diameter,1,398,
5,5,5,um,Spot,Diameter,1,436,
5,5,5,um,Spot,Diameter,1,437,
5,5,5,um,Spot,Diameter,1,438,
5,5,5,um,Spot,Diameter,1,440,
5,5,5,um,Spot,Diameter,1,442,
5,5,5,um,Spot,Diameter,1,443,
5,5,5,um,Spot,Diameter,1,444,
5,5,5,um,Spot,Diameter,1,445,
5,5,5,um,Spot,Diameter,1,446,
5,5,5,um,Spot,Diameter,1,447,
5,5,5,um,Spot,Diameter,1,448,
5,5,5,um,Spot,Diameter,1,449,
5,5,5,um,Spot,Diameter,1,450,
5,5,5,um,Spot,Diameter,1,451,
5,5,5,um,Spot,Diameter,1,453,
5,5,5,um,Spot,Diameter,1,454,
5,5,5,um,Spot,Diameter,1,455,
5,5,5,um,Spot,Diameter,1,456,
5,5,5,um,Spot,Diameter,1,462,
5,5,5,um,Spot,Diameter,1,469,
5,5,5,um,Spot,Diameter,1,470,
5,5,5,um,Spot,Diameter,1,471,
5,5,5,um,Spot,Diameter,1,472,
5,5,5,um,Spot,Diameter,1,473,
5,5,5,um,Spot,Diameter,1,474,
5,5,5,um,Spot,Diameter,1,475,
5,5,5,um,Spot,Diameter,1,476,
5,5,5,um,Spot,Diameter,1,477,
5,5,5,um,Spot,Diameter,1,478,
5,5,5,um,Spot,Diameter,1,479,
5,5,5,um,Spot,Diameter,1,480,
5,5,5,um,Spot,Diameter,1,481,
5,5,5,um,Spot,Diameter,1,482,
5,5,5,um,Spot,Diameter,1,483,
5,5,5,um,Spot,Diameter,1,484,
5,5,5,um,Spot,Diameter,1,485,
5,5,5,um,Spot,Diameter,1,486,
5,5,5,um,Spot,Diameter,1,487,
5,5,5,um,Spot,Diameter,1,488,
5,5,5,um,Spot,Diameter,1,489,
5,5,5,um,Spot,Diameter,1,490,
5,5,5,um,Spot,Diameter,1,498,
5,5,5,um,Spot,Diameter,1,548,
5,5,5,um,Spot,Diameter,1,549,
5,5,5,um,Spot,Diameter,1,550,
5,5,5,um,Spot,Diameter,1,552,
5,5,5,um,Spot,Diameter,1,554,
5,5,5,um,Spot,Diameter,1,555,
5,5,5,um,Spot,Diameter,1,556,
5,5,5,um,Spot,Diameter,1,557,
5,5,5,um,Spot,Diameter,1,558,
5,5,5,um,Spot,Diameter,1,559,
5,5,5,um,Spot,Diameter,1,560,
5,5,5,um,Spot,Diameter,1,561,
5,5,5,um,Spot,Diameter,1,562,
5,5,5,um,Spot,Diameter,1,563,
5,5,5,um,Spot,Diameter,1,564,
5,5,5,um,Spot,Diameter,1,565,
5,5,5,um,Spot,Diameter,1,566,
5,5,5,um,Spot,Diameter,1,567,
5,5,5,um,Spot,Diameter,1,568,
5,5,5,um,Spot,Diameter,1,569,
5,5,5,um,Spot,Diameter,1,570,
5,5,5,um,Spot,Diameter,1,571,
5,5,5,um,Spot,Diameter,1,572,
5,5,5,um,Spot,Diameter,1,573,
5,5,5,um,Spot,Diameter,1,575,
5,5,5,um,Spot,Diameter,1,580,
5,5,5,um,Spot,Diameter,1,581,
5,5,5,um,Spot,Diameter,1,583,
5,5,5,um,Spot,Diameter,1,584,
5,5,5,um,Spot,Diameter,1,585,
5,5,5,um,Spot,Diameter,1,586,
5,5,5,um,Spot,Diameter,1,587,
5,5,5,um,Spot,Diameter,1,588,
5,5,5,um,Spot,Diameter,1,589,
5,5,5,um,Spot,Diameter,1,590,
5,5,5,um,Spot,Diameter,1,592,
5,5,5,um,Spot,Diameter,1,593,
5,5,5,um,Spot,Diameter,1,594,
5,5,5,um,Spot,Diameter,1,595,
5,5,5,um,Spot,Diameter,1,596,
5,5,5,um,Spot,Diameter,1,597,
5,5,5,um,Spot,Diameter,1,598,
5,5,5,um,Spot,Diameter,1,599,
5,5,5,um,Spot,Diameter,1,600,
5,5,5,um,Spot,Diameter,1,601,
5,5,5,um,Spot,Diameter,1,602,
5,5,5,um,Spot,Diameter,1,603,
5,5,5,um,Spot,Diameter,1,604,
5,5,5,um,Spot,Diameter,1,605,
5,5,5,um,Spot,Diameter,1,607,
5,5,5,um,Spot,Diameter,1,610,
5,5,5,um,Spot,Diameter,1,624,
5,5,5,um,Spot,Diameter,1,625,
5,5,5,um,Spot,Diameter,1,630,
5,5,5,um,Spot,Diameter,1,640,
5,5,5,um,Spot,Diameter,1,645,
5,5,5,um,Spot,Diameter,1,55413,
5,5,5,um,Spot,Diameter,1,55414,
5,5,5,um,Spot,Diameter,1,55415,
5,5,5,um,Spot,Diameter,1,55416,
5,5,5,um,Spot,Diameter,1,55417,
5,5,5,um,Spot,Diameter,1,55418,
5,5,5,um,Spot,Diameter,1,55420,
5,5,5,um,Spot,Diameter,1,55421,
5,5,5,um,Spot,Diameter,1,55422,
5,5,5,um,Spot,Diameter,1,55423,
5,5,5,um,Spot,Diameter,1,55424,
5,5,5,um,Spot,Diameter,1,55425,
5,5,5,um,Spot,Diameter,1,55426,
5,5,5,um,Spot,Diameter,1,55427,
5,5,5,um,Spot,Diameter,1,55429,
5,5,5,um,Spot,Diameter,1,55430,
5,5,5,um,Spot,Diameter,1,55431,
5,5,5,um,Spot,Diameter,1,55432,
5,5,5,um,Spot,Diameter,1,55433,
5,5,5,um,Spot,Diameter,1,55434,
5,5,5,um,Spot,Diameter,1,55435,
5,5,5,um,Spot,Diameter,1,55436,
5,5,5,um,Spot,Diameter,1,55437,
5,5,5,um,Spot,Diameter,1,55438,
5,5,5,um,Spot,Diameter,1,55439,
5,5,5,um,Spot,Diameter,1,55440,
5,5,5,um,Spot,Diameter,1,55441,
5,5,5,um,Spot,Diameter,1,55442,
5,5,5,um,Spot,Diameter,1,55444,
5,5,5,um,Spot,Diameter,1,55445,
5,5,5,um,Spot,Diameter,1,55446,
5,5,5,um,Spot,Diameter,1,55447,
5,5,5,um,Spot,Diameter,1,55449,
5,5,5,um,Spot,Diameter,1,55450,
5,5,5,um,Spot,Diameter,1,55452,
5,5,5,um,Spot,Diameter,1,55453,
5,5,5,um,Spot,Diameter,1,55454,
5,5,5,um,Spot,Diameter,1,55455,
5,5,5,um,Spot,Diameter,1,55456,
5,5,5,um,Spot,Diameter,1,55458,
5,5,5,um,Spot,Diameter,1,55459,
5,5,5,um,Spot,Diameter,1,55460,
5,5,5,um,Spot,Diameter,1,55461,
5,5,5,um,Spot,Diameter,1,55462,
5,5,5,um,Spot,Diameter,1,55464,
5,5,5,um,Spot,Diameter,1,55465,
5,5,5,um,Spot,Diameter,1,55466,
5,5,5,um,Spot,Diameter,1,55468,
5,5,5,um,Spot,Diameter,1,55469,
5,5,5,um,Spot,Diameter,1,55470,
5,5,5,um,Spot,Diameter,1,55471,
5,5,5,um,Spot,Diameter,1,55472,
5,5,5,um,Spot,Diameter,1,55474,
5,5,5,um,Spot,Diameter,1,55475,
5,5,5,um,Spot,Diameter,1,55476,
5,5,5,um,Spot,Diameter,1,55477,
5,5,5,um,Spot,Diameter,1,55478,
5,5,5,um,Spot,Diameter,1,55479,
5,5,5,um,Spot,Diameter,1,55480,
5,5,5,um,Spot,Diameter,1,55481,
5,5,5,um,Spot,Diameter,1,55482,
5,5,5,um,Spot,Diameter,1,55483,
5,5,5,um,Spot,Diameter,1,55484,
5,5,5,um,Spot,Diameter,1,55485,
5,5,5,um,Spot,Diameter,1,55486,
5,5,5,um,Spot,Diameter,1,55487,
5,5,5,um,Spot,Diameter,1,55488,
5,5,5,um,Spot,Diameter,1,55491,
5,5,5,um,Spot,Diameter,1,55492,
5,5,5,um,Spot,Diameter,1,55493,
5,5,5,um,Spot,Diameter,1,55494,
5,5,5,um,Spot,Diameter,1,55495,
5,5,5,um,Spot,Diameter,1,55496,
5,5,5,um,Spot,Diameter,1,55497,
5,5,5,um,Spot,Diameter,1,55498,
5,5,5,um,Spot,Diameter,1,55499,
5,5,5,um,Spot,Diameter,1,55500,
5,5,5,um,Spot,Diameter,1,55501,
5,5,5,um,Spot,Diameter,1,55502,
5,5,5,um,Spot,Diameter,1,55503,
