
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
111.019,um,Spot,Distance from Origin,1,297,
115.92,um,Spot,Distance from Origin,1,298,
132.688,um,Spot,Distance from Origin,1,300,
124.697,um,Spot,Distance from Origin,1,303,
126.679,um,Spot,Distance from Origin,1,311,
128.879,um,Spot,Distance from Origin,1,312,
75.4484,um,Spot,Distance from Origin,1,318,
87.8448,um,Spot,Distance from Origin,1,319,
91.6502,um,Spot,Distance from Origin,1,320,
81.2697,um,Spot,Distance from Origin,1,321,
88.5761,um,Spot,Distance from Origin,1,322,
82.6217,um,Spot,Distance from Origin,1,323,
93.7261,um,Spot,Distance from Origin,1,324,
80.3025,um,Spot,Distance from Origin,1,325,
96.8357,um,Spot,Distance from Origin,1,326,
103.88,um,Spot,Distance from Origin,1,328,
88.0436,um,Spot,Distance from Origin,1,329,
96.8069,um,Spot,Distance from Origin,1,330,
86.4269,um,Spot,Distance from Origin,1,331,
112.624,um,Spot,Distance from Origin,1,332,
114.436,um,Spot,Distance from Origin,1,333,
102.822,um,Spot,Distance from Origin,1,334,
116.039,um,Spot,Distance from Origin,1,336,
109.368,um,Spot,Distance from Origin,1,337,
102.56,um,Spot,Distance from Origin,1,338,
113.88,um,Spot,Distance from Origin,1,339,
113.362,um,Spot,Distance from Origin,1,340,
139.097,um,Spot,Distance from Origin,1,342,
118.106,um,Spot,Distance from Origin,1,343,
119.818,um,Spot,Distance from Origin,1,344,
139.622,um,Spot,Distance from Origin,1,345,
122.808,um,Spot,Distance from Origin,1,347,
126.465,um,Spot,Distance from Origin,1,348,
143.202,um,Spot,Distance from Origin,1,349,
139.918,um,Spot,Distance from Origin,1,350,
130.967,um,Spot,Distance from Origin,1,351,
120.998,um,Spot,Distance from Origin,1,352,
146.782,um,Spot,Distance from Origin,1,353,
79.1713,um,Spot,Distance from Origin,1,397,
85.2863,um,Spot,Distance from Origin,1,398,
65.0185,um,Spot,Distance from Origin,1,436,
63.5255,um,Spot,Distance from Origin,1,437,
73.6044,um,Spot,Distance from Origin,1,438,
71.1304,um,Spot,Distance from Origin,1,440,
73.5059,um,Spot,Distance from Origin,1,442,
78.8424,um,Spot,Distance from Origin,1,443,
93.7985,um,Spot,Distance from Origin,1,444,
80.7688,um,Spot,Distance from Origin,1,445,
95.0707,um,Spot,Distance from Origin,1,446,
106.075,um,Spot,Distance from Origin,1,447,
98.4253,um,Spot,Distance from Origin,1,448,
112.985,um,Spot,Distance from Origin,1,449,
103.753,um,Spot,Distance from Origin,1,450,
119.798,um,Spot,Distance from Origin,1,451,
130.861,um,Spot,Distance from Origin,1,453,
122.164,um,Spot,Distance from Origin,1,454,
106.493,um,Spot,Distance from Origin,1,455,
124.741,um,Spot,Distance from Origin,1,456,
130.732,um,Spot,Distance from Origin,1,462,
94.6832,um,Spot,Distance from Origin,1,469,
82.9131,um,Spot,Distance from Origin,1,470,
93.3616,um,Spot,Distance from Origin,1,471,
95.9983,um,Spot,Distance from Origin,1,472,
110.9,um,Spot,Distance from Origin,1,473,
108.328,um,Spot,Distance from Origin,1,474,
114.838,um,Spot,Distance from Origin,1,475,
108.049,um,Spot,Distance from Origin,1,476,
119.918,um,Spot,Distance from Origin,1,477,
102.572,um,Spot,Distance from Origin,1,478,
110.772,um,Spot,Distance from Origin,1,479,
120.22,um,Spot,Distance from Origin,1,480,
126.073,um,Spot,Distance from Origin,1,481,
137.801,um,Spot,Distance from Origin,1,482,
138.42,um,Spot,Distance from Origin,1,483,
147.723,um,Spot,Distance from Origin,1,484,
121.948,um,Spot,Distance from Origin,1,485,
130.957,um,Spot,Distance from Origin,1,486,
128.096,um,Spot,Distance from Origin,1,487,
123.964,um,Spot,Distance from Origin,1,488,
130.6,um,Spot,Distance from Origin,1,489,
138.867,um,Spot,Distance from Origin,1,490,
