
Intensity Median Ch=1 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
466.008,,Spot,1,Image 1,1,328,
438.856,,Spot,1,Image 1,1,329,
723.728,,Spot,1,Image 1,1,330,
654,,Spot,1,Image 1,1,331,
570.104,,Spot,1,Image 1,1,332,
499.3,,Spot,1,Image 1,1,333,
684.6,,Spot,1,Image 1,1,334,
531.28,,Spot,1,Image 1,1,336,
498.584,,Spot,1,Image 1,1,337,
756.088,,Spot,1,Image 1,1,338,
717.06,,Spot,1,Image 1,1,339,
483.468,,Spot,1,Image 1,1,340,
728.832,,Spot,1,Image 1,1,342,
514.096,,Spot,1,Image 1,1,343,
476.568,,Spot,1,Image 1,1,344,
775.312,,Spot,1,Image 1,1,345,
631.944,,Spot,1,Image 1,1,347,
624.12,,Spot,1,Image 1,1,348,
604.17,,Spot,1,Image 1,1,349,
429.024,,Spot,1,Image 1,1,350,
639.2,,Spot,1,Image 1,1,351,
703.704,,Spot,1,Image 1,1,352,
583,,Spot,1,Image 1,1,353,
443.288,,Spot,1,Image 1,1,397,
651.96,,Spot,1,Image 1,1,398,
574.712,,Spot,1,Image 1,1,436,
644.192,,Spot,1,Image 1,1,437,
658.24,,Spot,1,Image 1,1,438,
498.408,,Spot,1,Image 1,1,440,
545.008,,Spot,1,Image 1,1,442,
683.984,,Spot,1,Image 1,1,443,
732.928,,Spot,1,Image 1,1,444,
758.24,,Spot,1,Image 1,1,445,
710.84,,Spot,1,Image 1,1,446,
712.568,,Spot,1,Image 1,1,447,
485.488,,Spot,1,Image 1,1,448,
646.688,,Spot,1,Image 1,1,449,
798.208,,Spot,1,Image 1,1,450,
604.32,,Spot,1,Image 1,1,451,
337.28,,Spot,1,Image 1,1,453,
340.648,,Spot,1,Image 1,1,454,
611.184,,Spot,1,Image 1,1,455,
587.112,,Spot,1,Image 1,1,456,
669.168,,Spot,1,Image 1,1,462,
782.312,,Spot,1,Image 1,1,469,
458.75,,Spot,1,Image 1,1,470,
666.032,,Spot,1,Image 1,1,471,
392.684,,Spot,1,Image 1,1,472,
631.68,,Spot,1,Image 1,1,473,
514.288,,Spot,1,Image 1,1,474,
485.176,,Spot,1,Image 1,1,475,
453.848,,Spot,1,Image 1,1,476,
398.012,,Spot,1,Image 1,1,477,
732.95,,Spot,1,Image 1,1,478,
405.264,,Spot,1,Image 1,1,479,
459.176,,Spot,1,Image 1,1,480,
789.094,,Spot,1,Image 1,1,481,
542.524,,Spot,1,Image 1,1,482,
314.448,,Spot,1,Image 1,1,483,
573.88,,Spot,1,Image 1,1,484,
459.816,,Spot,1,Image 1,1,485,
481.88,,Spot,1,Image 1,1,486,
323.78,,Spot,1,Image 1,1,487,
540.112,,Spot,1,Image 1,1,488,
523.544,,Spot,1,Image 1,1,489,
557.168,,Spot,1,Image 1,1,490,
283.208,,Spot,1,Image 1,1,498,
577.336,,Spot,1,Image 1,1,548,
589.752,,Spot,1,Image 1,1,549,
442.24,,Spot,1,Image 1,1,550,
327.328,,Spot,1,Image 1,1,552,
652.904,,Spot,1,Image 1,1,554,
701.08,,Spot,1,Image 1,1,555,
385.816,,Spot,1,Image 1,1,556,
512.744,,Spot,1,Image 1,1,557,
674.712,,Spot,1,Image 1,1,558,
660.64,,Spot,1,Image 1,1,559,
447.872,,Spot,1,Image 1,1,560,
482.536,,Spot,1,Image 1,1,561,
383.32,,Spot,1,Image 1,1,562,
332.56,,Spot,1,Image 1,1,563,
465.776,,Spot,1,Image 1,1,564,
740.28,,Spot,1,Image 1,1,565,
602.256,,Spot,1,Image 1,1,566,
436.084,,Spot,1,Image 1,1,567,
622.952,,Spot,1,Image 1,1,568,
686.952,,Spot,1,Image 1,1,569,
534.504,,Spot,1,Image 1,1,570,
548.92,,Spot,1,Image 1,1,571,
632.16,,Spot,1,Image 1,1,572,
321.8,,Spot,1,Image 1,1,573,
422.56,,Spot,1,Image 1,1,575,
470.008,,Spot,1,Image 1,1,580,
772.584,,Spot,1,Image 1,1,581,
443,,Spot,1,Image 1,1,583,
263.36,,Spot,1,Image 1,1,584,
401.656,,Spot,1,Image 1,1,585,
317.16,,Spot,1,Image 1,1,586,
334.56,,Spot,1,Image 1,1,587,
