
Intensity Center Ch=1 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,ID,
242,,Spot,1,Image 1,1,347,
418,,Spot,1,Image 1,1,348,
384,,Spot,1,Image 1,1,349,
145,,Spot,1,Image 1,1,350,
436,,Spot,1,Image 1,1,351,
520,,Spot,1,Image 1,1,352,
393,,Spot,1,Image 1,1,353,
382,,Spot,1,Image 1,1,397,
202,,Spot,1,Image 1,1,398,
922,,Spot,1,Image 1,1,436,
328,,Spot,1,Image 1,1,437,
426,,Spot,1,Image 1,1,438,
427,,Spot,1,Image 1,1,440,
322,,Spot,1,Image 1,1,442,
444,,Spot,1,Image 1,1,443,
374,,Spot,1,Image 1,1,444,
544,,Spot,1,Image 1,1,445,
736,,Spot,1,Image 1,1,446,
242,,Spot,1,Image 1,1,447,
589,,Spot,1,Image 1,1,448,
839,,Spot,1,Image 1,1,449,
465,,Spot,1,Image 1,1,450,
517,,Spot,1,Image 1,1,451,
230,,Spot,1,Image 1,1,453,
214,,Spot,1,Image 1,1,454,
311,,Spot,1,Image 1,1,455,
401,,Spot,1,Image 1,1,456,
23,,Spot,1,Image 1,1,462,
558,,Spot,1,Image 1,1,469,
405,,Spot,1,Image 1,1,470,
1026,,Spot,1,Image 1,1,471,
824,,Spot,1,Image 1,1,472,
201,,Spot,1,Image 1,1,473,
113,,Spot,1,Image 1,1,474,
198,,Spot,1,Image 1,1,475,
353,,Spot,1,Image 1,1,476,
370,,Spot,1,Image 1,1,477,
441,,Spot,1,Image 1,1,478,
155,,Spot,1,Image 1,1,479,
0,,Spot,1,Image 1,1,480,
448,,Spot,1,Image 1,1,481,
305,,Spot,1,Image 1,1,482,
142,,Spot,1,Image 1,1,483,
84,,Spot,1,Image 1,1,484,
479,,Spot,1,Image 1,1,485,
0,,Spot,1,Image 1,1,486,
350,,Spot,1,Image 1,1,487,
96,,Spot,1,Image 1,1,488,
386,,Spot,1,Image 1,1,489,
873,,Spot,1,Image 1,1,490,
108,,Spot,1,Image 1,1,498,
276,,Spot,1,Image 1,1,548,
224,,Spot,1,Image 1,1,549,
183,,Spot,1,Image 1,1,550,
132,,Spot,1,Image 1,1,552,
952,,Spot,1,Image 1,1,554,
341,,Spot,1,Image 1,1,555,
328,,Spot,1,Image 1,1,556,
218,,Spot,1,Image 1,1,557,
601,,Spot,1,Image 1,1,558,
217,,Spot,1,Image 1,1,559,
147,,Spot,1,Image 1,1,560,
0,,Spot,1,Image 1,1,561,
70,,Spot,1,Image 1,1,562,
215,,Spot,1,Image 1,1,563,
203,,Spot,1,Image 1,1,564,
723,,Spot,1,Image 1,1,565,
446,,Spot,1,Image 1,1,566,
64,,Spot,1,Image 1,1,567,
405,,Spot,1,Image 1,1,568,
409,,Spot,1,Image 1,1,569,
499,,Spot,1,Image 1,1,570,
366,,Spot,1,Image 1,1,571,
