
Intensity Max Ch=1 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
3214,,Spot,1,Image 1,1,337,
3832,,Spot,1,Image 1,1,338,
2982,,Spot,1,Image 1,1,339,
1369,,Spot,1,Image 1,1,340,
2987,,Spot,1,Image 1,1,342,
2755,,Spot,1,Image 1,1,343,
3812,,Spot,1,Image 1,1,344,
2794,,Spot,1,Image 1,1,345,
4237,,Spot,1,Image 1,1,347,
4834,,Spot,1,Image 1,1,348,
3120,,Spot,1,Image 1,1,349,
2299,,Spot,1,Image 1,1,350,
3411,,Spot,1,Image 1,1,351,
2868,,Spot,1,Image 1,1,352,
4648,,Spot,1,Image 1,1,353,
2645,,Spot,1,Image 1,1,397,
3734,,Spot,1,Image 1,1,398,
2695,,Spot,1,Image 1,1,436,
2561,,Spot,1,Image 1,1,437,
1828,,Spot,1,Image 1,1,438,
2350,,Spot,1,Image 1,1,440,
3069,,Spot,1,Image 1,1,442,
2678,,Spot,1,Image 1,1,443,
3134,,Spot,1,Image 1,1,444,
3775,,Spot,1,Image 1,1,445,
2159,,Spot,1,Image 1,1,446,
2060,,Spot,1,Image 1,1,447,
1622,,Spot,1,Image 1,1,448,
2955,,Spot,1,Image 1,1,449,
3447,,Spot,1,Image 1,1,450,
2564,,Spot,1,Image 1,1,451,
3314,,Spot,1,Image 1,1,453,
2235,,Spot,1,Image 1,1,454,
2579,,Spot,1,Image 1,1,455,
2483,,Spot,1,Image 1,1,456,
3004,,Spot,1,Image 1,1,462,
3341,,Spot,1,Image 1,1,469,
2151,,Spot,1,Image 1,1,470,
3034,,Spot,1,Image 1,1,471,
1900,,Spot,1,Image 1,1,472,
3553,,Spot,1,Image 1,1,473,
3362,,Spot,1,Image 1,1,474,
3409,,Spot,1,Image 1,1,475,
1753,,Spot,1,Image 1,1,476,
1630,,Spot,1,Image 1,1,477,
3660,,Spot,1,Image 1,1,478,
2598,,Spot,1,Image 1,1,479,
3063,,Spot,1,Image 1,1,480,
2886,,Spot,1,Image 1,1,481,
3533,,Spot,1,Image 1,1,482,
1336,,Spot,1,Image 1,1,483,
4223,,Spot,1,Image 1,1,484,
3495,,Spot,1,Image 1,1,485,
2668,,Spot,1,Image 1,1,486,
1815,,Spot,1,Image 1,1,487,
3652,,Spot,1,Image 1,1,488,
2624,,Spot,1,Image 1,1,489,
2203,,Spot,1,Image 1,1,490,
1657,,Spot,1,Image 1,1,498,
4007,,Spot,1,Image 1,1,548,
2912,,Spot,1,Image 1,1,549,
4051,,Spot,1,Image 1,1,550,
2045,,Spot,1,Image 1,1,552,
3305,,Spot,1,Image 1,1,554,
4065,,Spot,1,Image 1,1,555,
4389,,Spot,1,Image 1,1,556,
2051,,Spot,1,Image 1,1,557,
3105,,Spot,1,Image 1,1,558,
3172,,Spot,1,Image 1,1,559,
3785,,Spot,1,Image 1,1,560,
3629,,Spot,1,Image 1,1,561,
2059,,Spot,1,Image 1,1,562,
3110,,Spot,1,Image 1,1,563,
4446,,Spot,1,Image 1,1,564,
2450,,Spot,1,Image 1,1,565,
3415,,Spot,1,Image 1,1,566,
2138,,Spot,1,Image 1,1,567,
2664,,Spot,1,Image 1,1,568,
3014,,Spot,1,Image 1,1,569,
2439,,Spot,1,Image 1,1,570,
2516,,Spot,1,Image 1,1,571,
3757,,Spot,1,Image 1,1,572,
4445,,Spot,1,Image 1,1,573,
2037,,Spot,1,Image 1,1,575,
2178,,Spot,1,Image 1,1,580,
3472,,Spot,1,Image 1,1,581,
3196,,Spot,1,Image 1,1,583,
2158,,Spot,1,Image 1,1,584,
1461,,Spot,1,Image 1,1,585,
3119,,Spot,1,Image 1,1,586,
