
Intensity Median Ch=4 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
0.748016,,Spot,4,Image 1,1,13,
0.302002,,Spot,4,Image 1,1,15,
1.012,,Spot,4,Image 1,1,17,
0.448,,Spot,4,Image 1,1,19,
30.096,,Spot,4,Image 1,1,26,
0.782,,Spot,4,Image 1,1,27,
0,,Spot,4,Image 1,1,28,
0.691895,,Spot,4,Image 1,1,29,
1.344,,Spot,4,Image 1,1,30,
0.36,,Spot,4,Image 1,1,31,
0.576,,Spot,4,Image 1,1,33,
0.616,,Spot,4,Image 1,1,36,
0.872,,Spot,4,Image 1,1,38,
0.296,,Spot,4,Image 1,1,40,
0.832,,Spot,4,Image 1,1,45,
0.612,,Spot,4,Image 1,1,61,
241.84,,Spot,4,Image 1,1,65,
0.340088,,Spot,4,Image 1,1,66,
0.49,,Spot,4,Image 1,1,67,
0.598,,Spot,4,Image 1,1,71,
1.096,,Spot,4,Image 1,1,72,
0.736,,Spot,4,Image 1,1,73,
0.316,,Spot,4,Image 1,1,74,
0.578,,Spot,4,Image 1,1,75,
0,,Spot,4,Image 1,1,76,
0.752,,Spot,4,Image 1,1,77,
0.912,,Spot,4,Image 1,1,78,
0,,Spot,4,Image 1,1,79,
0.288,,Spot,4,Image 1,1,80,
0.906,,Spot,4,Image 1,1,81,
0.7,,Spot,4,Image 1,1,82,
0.612,,Spot,4,Image 1,1,83,
0.908,,Spot,4,Image 1,1,84,
0.88,,Spot,4,Image 1,1,85,
0.522,,Spot,4,Image 1,1,86,
0,,Spot,4,Image 1,1,87,
0.676,,Spot,4,Image 1,1,88,
0.896,,Spot,4,Image 1,1,89,
0.51,,Spot,4,Image 1,1,90,
0.968,,Spot,4,Image 1,1,91,
0.628,,Spot,4,Image 1,1,92,
0.836,,Spot,4,Image 1,1,93,
0.816,,Spot,4,Image 1,1,94,
0.496,,Spot,4,Image 1,1,95,
0.684,,Spot,4,Image 1,1,96,
0.76,,Spot,4,Image 1,1,97,
0.716,,Spot,4,Image 1,1,98,
0.704,,Spot,4,Image 1,1,99,
286.76,,Spot,4,Image 1,1,100,
1.114,,Spot,4,Image 1,1,101,
0.502,,Spot,4,Image 1,1,102,
0.339,,Spot,4,Image 1,1,103,
0.24,,Spot,4,Image 1,1,104,
0,,Spot,4,Image 1,1,105,
0.982,,Spot,4,Image 1,1,106,
1.536,,Spot,4,Image 1,1,107,
