
Intensity Min Ch=6 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
0,,Spot,6,Image 1,1,347,
0,,Spot,6,Image 1,1,348,
0,,Spot,6,Image 1,1,349,
0,,Spot,6,Image 1,1,350,
0,,Spot,6,Image 1,1,351,
0,,Spot,6,Image 1,1,352,
0,,Spot,6,Image 1,1,353,
0,,Spot,6,Image 1,1,397,
0,,Spot,6,Image 1,1,398,
0,,Spot,6,Image 1,1,436,
0,,Spot,6,Image 1,1,437,
0,,Spot,6,Image 1,1,438,
0,,Spot,6,Image 1,1,440,
0,,Spot,6,Image 1,1,442,
0,,Spot,6,Image 1,1,443,
0,,Spot,6,Image 1,1,444,
0,,Spot,6,Image 1,1,445,
0,,Spot,6,Image 1,1,446,
0,,Spot,6,Image 1,1,447,
0,,Spot,6,Image 1,1,448,
0,,Spot,6,Image 1,1,449,
0,,Spot,6,Image 1,1,450,
0,,Spot,6,Image 1,1,451,
0,,Spot,6,Image 1,1,453,
0,,Spot,6,Image 1,1,454,
0,,Spot,6,Image 1,1,455,
0,,Spot,6,Image 1,1,456,
0,,Spot,6,Image 1,1,462,
0,,Spot,6,Image 1,1,469,
0,,Spot,6,Image 1,1,470,
0,,Spot,6,Image 1,1,471,
0,,Spot,6,Image 1,1,472,
0,,Spot,6,Image 1,1,473,
0,,Spot,6,Image 1,1,474,
0,,Spot,6,Image 1,1,475,
0,,Spot,6,Image 1,1,476,
0,,Spot,6,Image 1,1,477,
0,,Spot,6,Image 1,1,478,
0,,Spot,6,Image 1,1,479,
0,,Spot,6,Image 1,1,480,
0,,Spot,6,Image 1,1,481,
0,,Spot,6,Image 1,1,482,
0,,Spot,6,Image 1,1,483,
0,,Spot,6,Image 1,1,484,
0,,Spot,6,Image 1,1,485,
0,,Spot,6,Image 1,1,486,
0,,Spot,6,Image 1,1,487,
0,,Spot,6,Image 1,1,488,
0,,Spot,6,Image 1,1,489,
0,,Spot,6,Image 1,1,490,
0,,Spot,6,Image 1,1,498,
0,,Spot,6,Image 1,1,548,
0,,Spot,6,Image 1,1,549,
0,,Spot,6,Image 1,1,550,
161,,Spot,6,Image 1,1,552,
0,,Spot,6,Image 1,1,554,
0,,Spot,6,Image 1,1,555,
0,,Spot,6,Image 1,1,556,
0,,Spot,6,Image 1,1,557,
0,,Spot,6,Image 1,1,558,
0,,Spot,6,Image 1,1,559,
