
Time Index
 ==================== 
Time Index,Unit,Category,Time,ID,
1,,Spot,1,605,
1,,Spot,1,607,
1,,Spot,1,610,
1,,Spot,1,624,
1,,Spot,1,625,
1,,Spot,1,630,
1,,Spot,1,640,
1,,Spot,1,645,
1,,Spot,1,55413,
1,,Spot,1,55414,
1,,Spot,1,55415,
1,,Spot,1,55416,
1,,Spot,1,55417,
1,,Spot,1,55418,
1,,Spot,1,55420,
1,,Spot,1,55421,
1,,Spot,1,55422,
1,,Spot,1,55423,
1,,Spot,1,55424,
1,,Spot,1,55425,
1,,Spot,1,55426,
1,,Spot,1,55427,
1,,Spot,1,55429,
1,,Spot,1,55430,
1,,Spot,1,55431,
1,,Spot,1,55432,
1,,Spot,1,55433,
1,,Spot,1,55434,
1,,Spot,1,55435,
1,,Spot,1,55436,
1,,Spot,1,55437,
1,,Spot,1,55438,
1,,Spot,1,55439,
1,,Spot,1,55440,
1,,Spot,1,55441,
1,,Spot,1,55442,
1,,Spot,1,55444,
1,,Spot,1,55445,
1,,Spot,1,55446,
1,,Spot,1,55447,
1,,Spot,1,55449,
1,,Spot,1,55450,
1,,Spot,1,55452,
1,,Spot,1,55453,
1,,Spot,1,55454,
1,,Spot,1,55455,
1,,Spot,1,55456,
1,,Spot,1,55458,
1,,Spot,1,55459,
1,,Spot,1,55460,
1,,Spot,1,55461,
1,,Spot,1,55462,
1,,Spot,1,55464,
1,,Spot,1,55465,
1,,Spot,1,55466,
1,,Spot,1,55468,
1,,Spot,1,55469,
1,,Spot,1,55470,
1,,Spot,1,55471,
1,,Spot,1,55472,
1,,Spot,1,55474,
1,,Spot,1,55475,
1,,Spot,1,55476,
1,,Spot,1,55477,
1,,Spot,1,55478,
1,,Spot,1,55479,
1,,Spot,1,55480,
1,,Spot,1,55481,
1,,Spot,1,55482,
1,,Spot,1,55483,
1,,Spot,1,55484,
1,,Spot,1,55485,
1,,Spot,1,55486,
1,,Spot,1,55487,
1,,Spot,1,55488,
1,,Spot,1,55491,
1,,Spot,1,55492,
1,,Spot,1,55493,
1,,Spot,1,55494,
1,,Spot,1,55495,
1,,Spot,1,55496,
1,,Spot,1,55497,
1,,Spot,1,55498,
1,,Spot,1,55499,
1,,Spot,1,55500,
1,,Spot,1,55501,
1,,Spot,1,55502,
1,,Spot,1,55503,
1,,Spot,1,55505,
1,,Spot,1,55506,
1,,Spot,1,55507,
1,,Spot,1,55508,
1,,Spot,1,55509,
1,,Spot,1,55511,
1,,Spot,1,55512,
1,,Spot,1,55513,
1,,Spot,1,55514,
1,,Spot,1,55515,
1,,Spot,1,55517,
1,,Spot,1,55519,
1,,Spot,1,55520,
1,,Spot,1,55521,
1,,Spot,1,55524,
1,,Spot,1,55525,
1,,Spot,1,55526,
1,,Spot,1,55528,
1,,Spot,1,55529,
1,,Spot,1,55532,
1,,Spot,1,55533,
1,,Spot,1,55534,
1,,Spot,1,55535,
1,,Spot,1,55536,
1,,Spot,1,55537,
1,,Spot,1,55538,
1,,Spot,1,55539,
1,,Spot,1,55540,
1,,Spot,1,55541,
1,,Spot,1,55542,
1,,Spot,1,55543,
1,,Spot,1,55544,
1,,Spot,1,55545,
1,,Spot,1,55546,
1,,Spot,1,55548,
1,,Spot,1,55549,
1,,Spot,1,55550,
1,,Spot,1,55551,
1,,Spot,1,55552,
1,,Spot,1,55553,
1,,Spot,1,55554,
1,,Spot,1,55555,
1,,Spot,1,55556,
1,,Spot,1,55557,
1,,Spot,1,55558,
1,,Spot,1,55559,
1,,Spot,1,55560,
1,,Spot,1,55561,
1,,Spot,1,55562,
1,,Spot,1,55563,
1,,Spot,1,55564,
1,,Spot,1,55565,
1,,Spot,1,55566,
1,,Spot,1,55568,
1,,Spot,1,55569,
1,,Spot,1,55570,
1,,Spot,1,55571,
1,,Spot,1,55572,
1,,Spot,1,55573,
1,,Spot,1,55574,
1,,Spot,1,55576,
1,,Spot,1,55577,
1,,Spot,1,55578,
1,,Spot,1,55579,
1,,Spot,1,55580,
1,,Spot,1,55581,
1,,Spot,1,55582,
2,,Spot,2,55583,
2,,Spot,2,55584,
2,,Spot,2,55585,
2,,Spot,2,55586,
2,,Spot,2,55587,
2,,Spot,2,55588,
2,,Spot,2,55589,
2,,Spot,2,55590,
2,,Spot,2,55591,
2,,Spot,2,55592,
2,,Spot,2,55593,
2,,Spot,2,55594,
2,,Spot,2,55595,
2,,Spot,2,55596,
2,,Spot,2,55597,
2,,Spot,2,55598,
2,,Spot,2,55599,
2,,Spot,2,55600,
2,,Spot,2,55601,
2,,Spot,2,55602,
2,,Spot,2,55603,
2,,Spot,2,55604,
2,,Spot,2,55605,
2,,Spot,2,55606,
2,,Spot,2,55607,
2,,Spot,2,55608,
2,,Spot,2,55609,
2,,Spot,2,55610,
2,,Spot,2,55611,
2,,Spot,2,55612,
2,,Spot,2,55613,
2,,Spot,2,55614,
2,,Spot,2,55615,
2,,Spot,2,55616,
2,,Spot,2,55617,
2,,Spot,2,55618,
2,,Spot,2,55619,
2,,Spot,2,55620,
2,,Spot,2,55621,
2,,Spot,2,55622,
2,,Spot,2,55623,
2,,Spot,2,55624,
2,,Spot,2,55625,
2,,Spot,2,55626,
2,,Spot,2,55627,
2,,Spot,2,55628,
2,,Spot,2,55629,
2,,Spot,2,55630,
2,,Spot,2,55631,
2,,Spot,2,55632,
2,,Spot,2,55633,
2,,Spot,2,55634,
2,,Spot,2,55635,
2,,Spot,2,55636,
2,,Spot,2,55637,
2,,Spot,2,55638,
2,,Spot,2,55639,
2,,Spot,2,55640,
2,,Spot,2,55641,
2,,Spot,2,55642,
2,,Spot,2,55643,
2,,Spot,2,55644,
2,,Spot,2,55645,
2,,Spot,2,55646,
2,,Spot,2,55647,
2,,Spot,2,55648,
2,,Spot,2,55649,
2,,Spot,2,55650,
2,,Spot,2,55651,
2,,Spot,2,55652,
2,,Spot,2,55653,
2,,Spot,2,55654,
2,,Spot,2,55655,
2,,Spot,2,55656,
2,,Spot,2,55657,
2,,Spot,2,55658,
2,,Spot,2,55659,
2,,Spot,2,55660,
2,,Spot,2,55661,
2,,Spot,2,55662,
2,,Spot,2,55663,
2,,Spot,2,55664,
2,,Spot,2,55665,
2,,Spot,2,55666,
2,,Spot,2,55667,
2,,Spot,2,55668,
2,,Spot,2,55669,
2,,Spot,2,55670,
2,,Spot,2,55671,
2,,Spot,2,55672,
2,,Spot,2,55673,
2,,Spot,2,55674,
2,,Spot,2,55675,
2,,Spot,2,55676,
2,,Spot,2,55677,
2,,Spot,2,55678,
2,,Spot,2,55679,
2,,Spot,2,55680,
2,,Spot,2,55681,
2,,Spot,2,55682,
2,,Spot,2,55683,
2,,Spot,2,55684,
2,,Spot,2,55685,
2,,Spot,2,55686,
2,,Spot,2,55687,
2,,Spot,2,55688,
2,,Spot,2,55689,
2,,Spot,2,55690,
2,,Spot,2,55691,
2,,Spot,2,55692,
2,,Spot,2,55693,
2,,Spot,2,55694,
2,,Spot,2,55695,
2,,Spot,2,55696,
2,,Spot,2,55697,
2,,Spot,2,55698,
2,,Spot,2,55699,
2,,Spot,2,55700,
2,,Spot,2,55701,
2,,Spot,2,55702,
2,,Spot,2,55703,
2,,Spot,2,55704,
2,,Spot,2,55705,
2,,Spot,2,55706,
2,,Spot,2,55707,
2,,Spot,2,55708,
2,,Spot,2,55709,
2,,Spot,2,55710,
2,,Spot,2,55711,
2,,Spot,2,55712,
2,,Spot,2,55713,
2,,Spot,2,55714,
2,,Spot,2,55715,
2,,Spot,2,55716,
2,,Spot,2,55717,
2,,Spot,2,55718,
2,,Spot,2,55719,
2,,Spot,2,55720,
2,,Spot,2,55721,
2,,Spot,2,55722,
2,,Spot,2,55723,
2,,Spot,2,55724,
2,,Spot,2,55725,
2,,Spot,2,55726,
2,,Spot,2,55727,
2,,Spot,2,55728,
2,,Spot,2,55729,
2,,Spot,2,55730,
2,,Spot,2,55731,
2,,Spot,2,55732,
2,,Spot,2,55733,
2,,Spot,2,55734,
2,,Spot,2,55735,
2,,Spot,2,55736,
2,,Spot,2,55737,
2,,Spot,2,55738,
2,,Spot,2,55739,
2,,Spot,2,55740,
2,,Spot,2,55741,
2,,Spot,2,55742,
2,,Spot,2,55743,
2,,Spot,2,55744,
2,,Spot,2,55745,
2,,Spot,2,55746,
2,,Spot,2,55747,
2,,Spot,2,55748,
2,,Spot,2,55749,
2,,Spot,2,55750,
2,,Spot,2,55751,
2,,Spot,2,55752,
2,,Spot,2,55753,
2,,Spot,2,55754,
2,,Spot,2,55755,
2,,Spot,2,55756,
2,,Spot,2,55757,
2,,Spot,2,55758,
2,,Spot,2,55759,
2,,Spot,2,55760,
2,,Spot,2,55761,
2,,Spot,2,55762,
2,,Spot,2,55763,
2,,Spot,2,55764,
2,,Spot,2,55765,
2,,Spot,2,55766,
2,,Spot,2,55767,
2,,Spot,2,55768,
2,,Spot,2,55769,
2,,Spot,2,55770,
2,,Spot,2,55771,
2,,Spot,2,55772,
2,,Spot,2,55773,
2,,Spot,2,55774,
2,,Spot,2,55775,
2,,Spot,2,55776,
2,,Spot,2,55777,
2,,Spot,2,55778,
2,,Spot,2,55779,
2,,Spot,2,55780,
2,,Spot,2,55781,
2,,Spot,2,55782,
2,,Spot,2,55783,
2,,Spot,2,55784,
2,,Spot,2,55785,
2,,Spot,2,55786,
2,,Spot,2,55787,
2,,Spot,2,55788,
2,,Spot,2,55789,
2,,Spot,2,55790,
2,,Spot,2,55791,
2,,Spot,2,55792,
2,,Spot,2,55793,
2,,Spot,2,55794,
2,,Spot,2,55795,
2,,Spot,2,55796,
2,,Spot,2,55797,
2,,Spot,2,55798,
2,,Spot,2,55799,
2,,Spot,2,55800,
2,,Spot,2,55801,
2,,Spot,2,55802,
2,,Spot,2,55803,
2,,Spot,2,55804,
2,,Spot,2,55805,
2,,Spot,2,55806,
2,,Spot,2,55807,
2,,Spot,2,55808,
2,,Spot,2,55809,
2,,Spot,2,55810,
2,,Spot,2,55811,
2,,Spot,2,55812,
2,,Spot,2,55813,
2,,Spot,2,55814,
2,,Spot,2,55815,
2,,Spot,2,55816,
2,,Spot,2,55817,
2,,Spot,2,55818,
2,,Spot,2,55819,
2,,Spot,2,55820,
2,,Spot,2,55821,
2,,Spot,2,55822,
2,,Spot,2,55823,
2,,Spot,2,55824,
2,,Spot,2,55825,
2,,Spot,2,55826,
2,,Spot,2,55827,
2,,Spot,2,55828,
2,,Spot,2,55829,
2,,Spot,2,55830,
2,,Spot,2,55831,
2,,Spot,2,55832,
2,,Spot,2,55833,
2,,Spot,2,55834,
2,,Spot,2,55835,
2,,Spot,2,55836,
2,,Spot,2,55837,
2,,Spot,2,55838,
2,,Spot,2,55839,
2,,Spot,2,55840,
2,,Spot,2,55841,
2,,Spot,2,55842,
2,,Spot,2,55843,
2,,Spot,2,55844,
2,,Spot,2,55845,
2,,Spot,2,55846,
2,,Spot,2,55847,
2,,Spot,2,55848,
2,,Spot,2,55849,
2,,Spot,2,55850,
2,,Spot,2,55851,
2,,Spot,2,55852,
2,,Spot,2,55853,
2,,Spot,2,55854,
2,,Spot,2,55855,
2,,Spot,2,55856,
2,,Spot,2,55857,
2,,Spot,2,55858,
2,,Spot,2,55859,
2,,Spot,2,55860,
2,,Spot,2,55861,
2,,Spot,2,55862,
2,,Spot,2,55863,
2,,Spot,2,55864,
2,,Spot,2,55865,
2,,Spot,2,55866,
2,,Spot,2,55867,
2,,Spot,2,55868,
2,,Spot,2,55869,
2,,Spot,2,55870,
2,,Spot,2,55871,
2,,Spot,2,55872,
2,,Spot,2,55873,
2,,Spot,2,55874,
2,,Spot,2,55875,
2,,Spot,2,55876,
2,,Spot,2,55877,
2,,Spot,2,55878,
2,,Spot,2,55879,
2,,Spot,2,55880,
2,,Spot,2,55881,
2,,Spot,2,55882,
2,,Spot,2,55883,
2,,Spot,2,55884,
2,,Spot,2,55885,
2,,Spot,2,55886,
2,,Spot,2,55887,
2,,Spot,2,55888,
2,,Spot,2,55889,
2,,Spot,2,55890,
2,,Spot,2,55891,
2,,Spot,2,55892,
2,,Spot,2,55893,
2,,Spot,2,55894,
2,,Spot,2,55895,
2,,Spot,2,55896,
2,,Spot,2,55897,
2,,Spot,2,55898,
2,,Spot,2,55899,
2,,Spot,2,55900,
2,,Spot,2,55901,
2,,Spot,2,55902,
3,,Spot,3,55903,
3,,Spot,3,55904,
3,,Spot,3,55905,
3,,Spot,3,55906,
3,,Spot,3,55907,
3,,Spot,3,55908,
3,,Spot,3,55909,
3,,Spot,3,55910,
3,,Spot,3,55911,
3,,Spot,3,55912,
3,,Spot,3,55913,
3,,Spot,3,55914,
3,,Spot,3,55915,
3,,Spot,3,55916,
3,,Spot,3,55917,
3,,Spot,3,55918,
3,,Spot,3,55919,
3,,Spot,3,55920,
3,,Spot,3,55921,
3,,Spot,3,55922,
3,,Spot,3,55923,
3,,Spot,3,55924,
3,,Spot,3,55925,
3,,Spot,3,55926,
3,,Spot,3,55927,
3,,Spot,3,55928,
3,,Spot,3,55929,
3,,Spot,3,55930,
3,,Spot,3,55931,
