
Intensity Median Ch=3 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
9.984,,Spot,3,Image 1,1,13,
5.916,,Spot,3,Image 1,1,15,
3.584,,Spot,3,Image 1,1,17,
38.784,,Spot,3,Image 1,1,19,
0.32,,Spot,3,Image 1,1,26,
0.96,,Spot,3,Image 1,1,27,
7.2,,Spot,3,Image 1,1,28,
2.16,,Spot,3,Image 1,1,29,
5.264,,Spot,3,Image 1,1,30,
0.816,,Spot,3,Image 1,1,31,
1.2,,Spot,3,Image 1,1,33,
2.88,,Spot,3,Image 1,1,36,
0.236,,Spot,3,Image 1,1,38,
0.128,,Spot,3,Image 1,1,40,
0.896,,Spot,3,Image 1,1,45,
0.192,,Spot,3,Image 1,1,61,
92.672,,Spot,3,Image 1,1,65,
4.864,,Spot,3,Image 1,1,66,
132.826,,Spot,3,Image 1,1,67,
105.248,,Spot,3,Image 1,1,71,
878.616,,Spot,3,Image 1,1,72,
375.45,,Spot,3,Image 1,1,73,
507,,Spot,3,Image 1,1,74,
518.36,,Spot,3,Image 1,1,75,
545.712,,Spot,3,Image 1,1,76,
106,,Spot,3,Image 1,1,77,
179.28,,Spot,3,Image 1,1,78,
762.422,,Spot,3,Image 1,1,79,
15.104,,Spot,3,Image 1,1,80,
164.18,,Spot,3,Image 1,1,81,
74.304,,Spot,3,Image 1,1,82,
3.84,,Spot,3,Image 1,1,83,
7.776,,Spot,3,Image 1,1,84,
14.16,,Spot,3,Image 1,1,85,
41.108,,Spot,3,Image 1,1,86,
238.497,,Spot,3,Image 1,1,87,
122.8,,Spot,3,Image 1,1,88,
143.904,,Spot,3,Image 1,1,89,
357.84,,Spot,3,Image 1,1,90,
73.28,,Spot,3,Image 1,1,91,
23.76,,Spot,3,Image 1,1,92,
5.8,,Spot,3,Image 1,1,93,
114.72,,Spot,3,Image 1,1,94,
2.88,,Spot,3,Image 1,1,95,
8.392,,Spot,3,Image 1,1,96,
14.96,,Spot,3,Image 1,1,97,
1.872,,Spot,3,Image 1,1,98,
0.768,,Spot,3,Image 1,1,99,
10.24,,Spot,3,Image 1,1,100,
3.06403,,Spot,3,Image 1,1,101,
62.16,,Spot,3,Image 1,1,102,
0.744019,,Spot,3,Image 1,1,103,
20.224,,Spot,3,Image 1,1,104,
9.31999,,Spot,3,Image 1,1,105,
62.152,,Spot,3,Image 1,1,106,
4.2,,Spot,3,Image 1,1,107,
47.488,,Spot,3,Image 1,1,108,
0.128,,Spot,3,Image 1,1,117,
66.736,,Spot,3,Image 1,1,121,
20.208,,Spot,3,Image 1,1,122,
10.696,,Spot,3,Image 1,1,124,
66.352,,Spot,3,Image 1,1,128,
113.768,,Spot,3,Image 1,1,129,
481.3,,Spot,3,Image 1,1,130,
921.28,,Spot,3,Image 1,1,131,
113.159,,Spot,3,Image 1,1,132,
833.456,,Spot,3,Image 1,1,133,
9.75999,,Spot,3,Image 1,1,134,
15.184,,Spot,3,Image 1,1,136,
80.844,,Spot,3,Image 1,1,137,
172.228,,Spot,3,Image 1,1,139,
77.304,,Spot,3,Image 1,1,140,
1055.43,,Spot,3,Image 1,1,141,
34.288,,Spot,3,Image 1,1,142,
12.06,,Spot,3,Image 1,1,143,
59.84,,Spot,3,Image 1,1,144,
80.072,,Spot,3,Image 1,1,145,
12.032,,Spot,3,Image 1,1,146,
39.77,,Spot,3,Image 1,1,147,
10.86,,Spot,3,Image 1,1,148,
67.952,,Spot,3,Image 1,1,149,
87.08,,Spot,3,Image 1,1,150,
194.56,,Spot,3,Image 1,1,151,
8.88599,,Spot,3,Image 1,1,152,
50.84,,Spot,3,Image 1,1,153,
70.408,,Spot,3,Image 1,1,154,
33.21,,Spot,3,Image 1,1,155,
2.192,,Spot,3,Image 1,1,156,
20.928,,Spot,3,Image 1,1,157,
0.0500031,,Spot,3,Image 1,1,159,
26,,Spot,3,Image 1,1,160,
0.16,,Spot,3,Image 1,1,162,
398.535,,Spot,3,Image 1,1,163,
35.576,,Spot,3,Image 1,1,164,
63.45,,Spot,3,Image 1,1,165,
10.112,,Spot,3,Image 1,1,166,
8.984,,Spot,3,Image 1,1,171,
4.184,,Spot,3,Image 1,1,173,
2.816,,Spot,3,Image 1,1,219,
344.448,,Spot,3,Image 1,1,220,
1.152,,Spot,3,Image 1,1,223,
4.16,,Spot,3,Image 1,1,228,
19.864,,Spot,3,Image 1,1,230,
3.84,,Spot,3,Image 1,1,237,
0.128,,Spot,3,Image 1,1,242,
596.28,,Spot,3,Image 1,1,266,
771.22,,Spot,3,Image 1,1,267,
1003.65,,Spot,3,Image 1,1,270,
1093.2,,Spot,3,Image 1,1,271,
57.112,,Spot,3,Image 1,1,272,
336.142,,Spot,3,Image 1,1,273,
1017.89,,Spot,3,Image 1,1,274,
2519.38,,Spot,3,Image 1,1,275,
11.04,,Spot,3,Image 1,1,276,
946.624,,Spot,3,Image 1,1,277,
38.19,,Spot,3,Image 1,1,278,
2637.38,,Spot,3,Image 1,1,279,
5.376,,Spot,3,Image 1,1,280,
372.856,,Spot,3,Image 1,1,281,
66.06,,Spot,3,Image 1,1,282,
56.528,,Spot,3,Image 1,1,283,
496.368,,Spot,3,Image 1,1,284,
153.326,,Spot,3,Image 1,1,285,
1003.44,,Spot,3,Image 1,1,286,
434.94,,Spot,3,Image 1,1,287,
144.896,,Spot,3,Image 1,1,288,
2.016,,Spot,3,Image 1,1,289,
3.92,,Spot,3,Image 1,1,290,
4.14,,Spot,3,Image 1,1,291,
7.144,,Spot,3,Image 1,1,292,
6.958,,Spot,3,Image 1,1,293,
1.936,,Spot,3,Image 1,1,294,
3.262,,Spot,3,Image 1,1,295,
22.136,,Spot,3,Image 1,1,296,
2.104,,Spot,3,Image 1,1,297,
219.84,,Spot,3,Image 1,1,298,
3.968,,Spot,3,Image 1,1,300,
5.04,,Spot,3,Image 1,1,303,
0.968,,Spot,3,Image 1,1,311,
16.04,,Spot,3,Image 1,1,312,
589.048,,Spot,3,Image 1,1,318,
422,,Spot,3,Image 1,1,319,
43.086,,Spot,3,Image 1,1,320,
176.064,,Spot,3,Image 1,1,321,
8.116,,Spot,3,Image 1,1,322,
1644.28,,Spot,3,Image 1,1,323,
165.296,,Spot,3,Image 1,1,324,
39.42,,Spot,3,Image 1,1,325,
21.498,,Spot,3,Image 1,1,326,
12.852,,Spot,3,Image 1,1,328,
2651.22,,Spot,3,Image 1,1,329,
372.376,,Spot,3,Image 1,1,330,
1776.71,,Spot,3,Image 1,1,331,
14.868,,Spot,3,Image 1,1,332,
8.1,,Spot,3,Image 1,1,333,
32.928,,Spot,3,Image 1,1,334,
35.654,,Spot,3,Image 1,1,336,
830.4,,Spot,3,Image 1,1,337,
377.516,,Spot,3,Image 1,1,338,
64.96,,Spot,3,Image 1,1,339,
28.6,,Spot,3,Image 1,1,340,
7.936,,Spot,3,Image 1,1,342,
27.36,,Spot,3,Image 1,1,343,
34.176,,Spot,3,Image 1,1,344,
3.04,,Spot,3,Image 1,1,345,
21.08,,Spot,3,Image 1,1,347,
15.328,,Spot,3,Image 1,1,348,
1.89,,Spot,3,Image 1,1,349,
42.048,,Spot,3,Image 1,1,350,
8.928,,Spot,3,Image 1,1,351,
24.656,,Spot,3,Image 1,1,352,
13.064,,Spot,3,Image 1,1,353,
8.984,,Spot,3,Image 1,1,397,
0.94,,Spot,3,Image 1,1,398,
182.168,,Spot,3,Image 1,1,436,
31.328,,Spot,3,Image 1,1,437,
2157.94,,Spot,3,Image 1,1,438,
109.096,,Spot,3,Image 1,1,440,
1134.23,,Spot,3,Image 1,1,442,
748.192,,Spot,3,Image 1,1,443,
170.286,,Spot,3,Image 1,1,444,
165.244,,Spot,3,Image 1,1,445,
4578.57,,Spot,3,Image 1,1,446,
230.919,,Spot,3,Image 1,1,447,
6.075,,Spot,3,Image 1,1,448,
1.8,,Spot,3,Image 1,1,449,
143.424,,Spot,3,Image 1,1,450,
165.24,,Spot,3,Image 1,1,451,
10.012,,Spot,3,Image 1,1,453,
5.184,,Spot,3,Image 1,1,454,
97.9,,Spot,3,Image 1,1,455,
8.96,,Spot,3,Image 1,1,456,
14.112,,Spot,3,Image 1,1,462,
234.832,,Spot,3,Image 1,1,469,
