
Intensity Mean Ch=4 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
82.2336,,Spot,4,Image 1,1,322,
60.94,,Spot,4,Image 1,1,323,
73.5502,,Spot,4,Image 1,1,324,
12.8792,,Spot,4,Image 1,1,325,
101.535,,Spot,4,Image 1,1,326,
2.31403,,Spot,4,Image 1,1,328,
41.1801,,Spot,4,Image 1,1,329,
71.633,,Spot,4,Image 1,1,330,
119.436,,Spot,4,Image 1,1,331,
43.1855,,Spot,4,Image 1,1,332,
30.7629,,Spot,4,Image 1,1,333,
42.4608,,Spot,4,Image 1,1,334,
30.0219,,Spot,4,Image 1,1,336,
64.8736,,Spot,4,Image 1,1,337,
146.56,,Spot,4,Image 1,1,338,
68.5364,,Spot,4,Image 1,1,339,
65.3405,,Spot,4,Image 1,1,340,
109.458,,Spot,4,Image 1,1,342,
69.2623,,Spot,4,Image 1,1,343,
90.4076,,Spot,4,Image 1,1,344,
99.292,,Spot,4,Image 1,1,345,
254.008,,Spot,4,Image 1,1,347,
122.961,,Spot,4,Image 1,1,348,
83.2794,,Spot,4,Image 1,1,349,
40.3669,,Spot,4,Image 1,1,350,
118.911,,Spot,4,Image 1,1,351,
73.5428,,Spot,4,Image 1,1,352,
244.653,,Spot,4,Image 1,1,353,
21.7154,,Spot,4,Image 1,1,397,
34.3902,,Spot,4,Image 1,1,398,
54.3859,,Spot,4,Image 1,1,436,
98.4161,,Spot,4,Image 1,1,437,
7.03288,,Spot,4,Image 1,1,438,
32.5557,,Spot,4,Image 1,1,440,
62.9767,,Spot,4,Image 1,1,442,
30.1034,,Spot,4,Image 1,1,443,
99.385,,Spot,4,Image 1,1,444,
118.994,,Spot,4,Image 1,1,445,
18.7576,,Spot,4,Image 1,1,446,
27.1122,,Spot,4,Image 1,1,447,
51.45,,Spot,4,Image 1,1,448,
59.0496,,Spot,4,Image 1,1,449,
103.171,,Spot,4,Image 1,1,450,
39.9644,,Spot,4,Image 1,1,451,
45.0491,,Spot,4,Image 1,1,453,
26.3186,,Spot,4,Image 1,1,454,
34.2355,,Spot,4,Image 1,1,455,
99.4438,,Spot,4,Image 1,1,456,
107.947,,Spot,4,Image 1,1,462,
173.5,,Spot,4,Image 1,1,469,
20.8834,,Spot,4,Image 1,1,470,
36.9515,,Spot,4,Image 1,1,471,
31.9715,,Spot,4,Image 1,1,472,
88.6448,,Spot,4,Image 1,1,473,
42.1644,,Spot,4,Image 1,1,474,
31.5931,,Spot,4,Image 1,1,475,
2.7277,,Spot,4,Image 1,1,476,
26.2224,,Spot,4,Image 1,1,477,
201.203,,Spot,4,Image 1,1,478,
70.8539,,Spot,4,Image 1,1,479,
101.792,,Spot,4,Image 1,1,480,
57.2585,,Spot,4,Image 1,1,481,
101.573,,Spot,4,Image 1,1,482,
1.34074,,Spot,4,Image 1,1,483,
222.382,,Spot,4,Image 1,1,484,
43.312,,Spot,4,Image 1,1,485,
28.422,,Spot,4,Image 1,1,486,
8.9541,,Spot,4,Image 1,1,487,
108.514,,Spot,4,Image 1,1,488,
46.0496,,Spot,4,Image 1,1,489,
31.4152,,Spot,4,Image 1,1,490,
9.59041,,Spot,4,Image 1,1,498,
142.811,,Spot,4,Image 1,1,548,
77.6377,,Spot,4,Image 1,1,549,
115.921,,Spot,4,Image 1,1,550,
1.54449,,Spot,4,Image 1,1,552,
103.313,,Spot,4,Image 1,1,554,
131.72,,Spot,4,Image 1,1,555,
100.671,,Spot,4,Image 1,1,556,
10.8336,,Spot,4,Image 1,1,557,
