
Intensity Sum of Square Ch=2 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
3.16738e+09,,Spot,2,Image 1,1,13,
5.21135e+09,,Spot,2,Image 1,1,15,
6.61895e+09,,Spot,2,Image 1,1,17,
6.85558e+09,,Spot,2,Image 1,1,19,
2.12975e+09,,Spot,2,Image 1,1,26,
3.49986e+09,,Spot,2,Image 1,1,27,
8.68382e+09,,Spot,2,Image 1,1,28,
1.86329e+09,,Spot,2,Image 1,1,29,
3.62008e+09,,Spot,2,Image 1,1,30,
4.70552e+09,,Spot,2,Image 1,1,31,
1.71818e+09,,Spot,2,Image 1,1,33,
5.23249e+09,,Spot,2,Image 1,1,36,
2.32248e+09,,Spot,2,Image 1,1,38,
4.07424e+09,,Spot,2,Image 1,1,40,
2.20089e+09,,Spot,2,Image 1,1,45,
2.67009e+09,,Spot,2,Image 1,1,61,
3.35433e+09,,Spot,2,Image 1,1,65,
8.95813e+09,,Spot,2,Image 1,1,66,
6.91975e+09,,Spot,2,Image 1,1,67,
5.43144e+09,,Spot,2,Image 1,1,71,
5.82961e+09,,Spot,2,Image 1,1,72,
4.85975e+09,,Spot,2,Image 1,1,73,
6.36789e+09,,Spot,2,Image 1,1,74,
4.78719e+09,,Spot,2,Image 1,1,75,
6.4519e+09,,Spot,2,Image 1,1,76,
3.94229e+09,,Spot,2,Image 1,1,77,
9.95267e+09,,Spot,2,Image 1,1,78,
7.14335e+09,,Spot,2,Image 1,1,79,
7.99332e+09,,Spot,2,Image 1,1,80,
8.87529e+09,,Spot,2,Image 1,1,81,
5.55441e+09,,Spot,2,Image 1,1,82,
2.74721e+09,,Spot,2,Image 1,1,83,
5.6115e+09,,Spot,2,Image 1,1,84,
5.10759e+09,,Spot,2,Image 1,1,85,
4.9655e+09,,Spot,2,Image 1,1,86,
6.11528e+09,,Spot,2,Image 1,1,87,
4.14208e+09,,Spot,2,Image 1,1,88,
3.7693e+09,,Spot,2,Image 1,1,89,
6.51189e+09,,Spot,2,Image 1,1,90,
4.94881e+09,,Spot,2,Image 1,1,91,
5.6556e+09,,Spot,2,Image 1,1,92,
5.10915e+09,,Spot,2,Image 1,1,93,
5.02788e+09,,Spot,2,Image 1,1,94,
2.83531e+09,,Spot,2,Image 1,1,95,
4.78523e+09,,Spot,2,Image 1,1,96,
3.04867e+09,,Spot,2,Image 1,1,97,
6.51979e+09,,Spot,2,Image 1,1,98,
2.82205e+09,,Spot,2,Image 1,1,99,
3.78938e+09,,Spot,2,Image 1,1,100,
1.82627e+09,,Spot,2,Image 1,1,101,
2.01521e+09,,Spot,2,Image 1,1,102,
5.68537e+09,,Spot,2,Image 1,1,103,
6.66976e+09,,Spot,2,Image 1,1,104,
5.8724e+09,,Spot,2,Image 1,1,105,
6.6044e+09,,Spot,2,Image 1,1,106,
7.4597e+09,,Spot,2,Image 1,1,107,
3.62223e+09,,Spot,2,Image 1,1,108,
4.78228e+09,,Spot,2,Image 1,1,117,
2.7347e+09,,Spot,2,Image 1,1,121,
5.71884e+09,,Spot,2,Image 1,1,122,
4.45511e+09,,Spot,2,Image 1,1,124,
6.04328e+09,,Spot,2,Image 1,1,128,
6.58973e+09,,Spot,2,Image 1,1,129,
6.43626e+09,,Spot,2,Image 1,1,130,
6.19865e+09,,Spot,2,Image 1,1,131,
1.77594e+09,,Spot,2,Image 1,1,132,
