
Intensity Max Ch=3 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
658,,Spot,3,Image 1,1,13,
749,,Spot,3,Image 1,1,15,
1092,,Spot,3,Image 1,1,17,
940,,Spot,3,Image 1,1,19,
851,,Spot,3,Image 1,1,26,
866,,Spot,3,Image 1,1,27,
873,,Spot,3,Image 1,1,28,
675,,Spot,3,Image 1,1,29,
739,,Spot,3,Image 1,1,30,
735,,Spot,3,Image 1,1,31,
627,,Spot,3,Image 1,1,33,
503,,Spot,3,Image 1,1,36,
692,,Spot,3,Image 1,1,38,
372,,Spot,3,Image 1,1,40,
403,,Spot,3,Image 1,1,45,
659,,Spot,3,Image 1,1,61,
1226,,Spot,3,Image 1,1,65,
896,,Spot,3,Image 1,1,66,
1124,,Spot,3,Image 1,1,67,
1346,,Spot,3,Image 1,1,71,
3037,,Spot,3,Image 1,1,72,
1803,,Spot,3,Image 1,1,73,
2223,,Spot,3,Image 1,1,74,
2344,,Spot,3,Image 1,1,75,
2294,,Spot,3,Image 1,1,76,
1137,,Spot,3,Image 1,1,77,
1523,,Spot,3,Image 1,1,78,
2663,,Spot,3,Image 1,1,79,
822,,Spot,3,Image 1,1,80,
1440,,Spot,3,Image 1,1,81,
1246,,Spot,3,Image 1,1,82,
811,,Spot,3,Image 1,1,83,
861,,Spot,3,Image 1,1,84,
675,,Spot,3,Image 1,1,85,
894,,Spot,3,Image 1,1,86,
1359,,Spot,3,Image 1,1,87,
1203,,Spot,3,Image 1,1,88,
1328,,Spot,3,Image 1,1,89,
1658,,Spot,3,Image 1,1,90,
1079,,Spot,3,Image 1,1,91,
1154,,Spot,3,Image 1,1,92,
974,,Spot,3,Image 1,1,93,
1478,,Spot,3,Image 1,1,94,
644,,Spot,3,Image 1,1,95,
841,,Spot,3,Image 1,1,96,
826,,Spot,3,Image 1,1,97,
538,,Spot,3,Image 1,1,98,
647,,Spot,3,Image 1,1,99,
854,,Spot,3,Image 1,1,100,
553,,Spot,3,Image 1,1,101,
870,,Spot,3,Image 1,1,102,
516,,Spot,3,Image 1,1,103,
835,,Spot,3,Image 1,1,104,
734,,Spot,3,Image 1,1,105,
972,,Spot,3,Image 1,1,106,
568,,Spot,3,Image 1,1,107,
955,,Spot,3,Image 1,1,108,
487,,Spot,3,Image 1,1,117,
1026,,Spot,3,Image 1,1,121,
865,,Spot,3,Image 1,1,122,
1633,,Spot,3,Image 1,1,124,
1489,,Spot,3,Image 1,1,128,
1237,,Spot,3,Image 1,1,129,
1893,,Spot,3,Image 1,1,130,
3030,,Spot,3,Image 1,1,131,
1081,,Spot,3,Image 1,1,132,
2555,,Spot,3,Image 1,1,133,
754,,Spot,3,Image 1,1,134,
735,,Spot,3,Image 1,1,136,
1040,,Spot,3,Image 1,1,137,
1220,,Spot,3,Image 1,1,139,
1058,,Spot,3,Image 1,1,140,
3868,,Spot,3,Image 1,1,141,
1018,,Spot,3,Image 1,1,142,
633,,Spot,3,Image 1,1,143,
1223,,Spot,3,Image 1,1,144,
1067,,Spot,3,Image 1,1,145,
626,,Spot,3,Image 1,1,146,
1170,,Spot,3,Image 1,1,147,
897,,Spot,3,Image 1,1,148,
1111,,Spot,3,Image 1,1,149,
904,,Spot,3,Image 1,1,150,
1457,,Spot,3,Image 1,1,151,
588,,Spot,3,Image 1,1,152,
1129,,Spot,3,Image 1,1,153,
880,,Spot,3,Image 1,1,154,
790,,Spot,3,Image 1,1,155,
630,,Spot,3,Image 1,1,156,
957,,Spot,3,Image 1,1,157,
394,,Spot,3,Image 1,1,159,
838,,Spot,3,Image 1,1,160,
628,,Spot,3,Image 1,1,162,
1715,,Spot,3,Image 1,1,163,
949,,Spot,3,Image 1,1,164,
1065,,Spot,3,Image 1,1,165,
505,,Spot,3,Image 1,1,166,
746,,Spot,3,Image 1,1,171,
