
Intensity StdDev Ch=5 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
67.1406,,Spot,5,Image 1,1,13,
69.9346,,Spot,5,Image 1,1,15,
75.5665,,Spot,5,Image 1,1,17,
110.065,,Spot,5,Image 1,1,19,
57.7009,,Spot,5,Image 1,1,26,
65.4268,,Spot,5,Image 1,1,27,
74.3757,,Spot,5,Image 1,1,28,
66.7405,,Spot,5,Image 1,1,29,
73.3169,,Spot,5,Image 1,1,30,
69.9973,,Spot,5,Image 1,1,31,
54.7283,,Spot,5,Image 1,1,33,
57.15,,Spot,5,Image 1,1,36,
51.4297,,Spot,5,Image 1,1,38,
37.1107,,Spot,5,Image 1,1,40,
45.6334,,Spot,5,Image 1,1,45,
63.8902,,Spot,5,Image 1,1,61,
123.113,,Spot,5,Image 1,1,65,
64.2855,,Spot,5,Image 1,1,66,
162.763,,Spot,5,Image 1,1,67,
170.246,,Spot,5,Image 1,1,71,
486.788,,Spot,5,Image 1,1,72,
286.445,,Spot,5,Image 1,1,73,
305.961,,Spot,5,Image 1,1,74,
360.064,,Spot,5,Image 1,1,75,
382.051,,Spot,5,Image 1,1,76,
147.421,,Spot,5,Image 1,1,77,
201.999,,Spot,5,Image 1,1,78,
448.683,,Spot,5,Image 1,1,79,
86.0065,,Spot,5,Image 1,1,80,
198.703,,Spot,5,Image 1,1,81,
167.552,,Spot,5,Image 1,1,82,
85.6305,,Spot,5,Image 1,1,83,
102.555,,Spot,5,Image 1,1,84,
94.8074,,Spot,5,Image 1,1,85,
113.957,,Spot,5,Image 1,1,86,
220.241,,Spot,5,Image 1,1,87,
182.4,,Spot,5,Image 1,1,88,
208.42,,Spot,5,Image 1,1,89,
258.52,,Spot,5,Image 1,1,90,
143.157,,Spot,5,Image 1,1,91,
128.32,,Spot,5,Image 1,1,92,
73.1647,,Spot,5,Image 1,1,93,
196.929,,Spot,5,Image 1,1,94,
50.1749,,Spot,5,Image 1,1,95,
65.4508,,Spot,5,Image 1,1,96,
84.3972,,Spot,5,Image 1,1,97,
56.3835,,Spot,5,Image 1,1,98,
55.0629,,Spot,5,Image 1,1,99,
65.9609,,Spot,5,Image 1,1,100,
54.1537,,Spot,5,Image 1,1,101,
106.183,,Spot,5,Image 1,1,102,
55.6697,,Spot,5,Image 1,1,103,
101.32,,Spot,5,Image 1,1,104,
59.7725,,Spot,5,Image 1,1,105,
130.646,,Spot,5,Image 1,1,106,
52.5866,,Spot,5,Image 1,1,107,
108.284,,Spot,5,Image 1,1,108,
48.6001,,Spot,5,Image 1,1,117,
141.268,,Spot,5,Image 1,1,121,
89.862,,Spot,5,Image 1,1,122,
89.7185,,Spot,5,Image 1,1,124,
167.282,,Spot,5,Image 1,1,128,
169.951,,Spot,5,Image 1,1,129,
329.736,,Spot,5,Image 1,1,130,
450.431,,Spot,5,Image 1,1,131,
153.487,,Spot,5,Image 1,1,132,
422.465,,Spot,5,Image 1,1,133,
