
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
28.0414,um,Spot,Image 1,1,392,
30.685,um,Spot,Image 1,1,393,
33.6522,um,Spot,Image 1,1,394,
35.2809,um,Spot,Image 1,1,395,
41.9822,um,Spot,Image 1,1,396,
41.9333,um,Spot,Image 1,1,398,
44.8831,um,Spot,Image 1,1,399,
42.9425,um,Spot,Image 1,1,400,
29.2269,um,Spot,Image 1,1,401,
31.7992,um,Spot,Image 1,1,402,
39.6751,um,Spot,Image 1,1,403,
40.2731,um,Spot,Image 1,1,404,
27.5364,um,Spot,Image 1,1,405,
44.194,um,Spot,Image 1,1,406,
41.0783,um,Spot,Image 1,1,407,
30.7529,um,Spot,Image 1,1,408,
30.0127,um,Spot,Image 1,1,409,
30.3792,um,Spot,Image 1,1,410,
17.3789,um,Spot,Image 1,1,411,
24.6565,um,Spot,Image 1,1,412,
24.6161,um,Spot,Image 1,1,413,
34.3927,um,Spot,Image 1,1,414,
17.0539,um,Spot,Image 1,1,416,
16.9717,um,Spot,Image 1,1,421,
22.5669,um,Spot,Image 1,1,423,
16.5616,um,Spot,Image 1,1,425,
28.0248,um,Spot,Image 1,1,426,
25.244,um,Spot,Image 1,1,427,
30.944,um,Spot,Image 1,1,428,
36.2649,um,Spot,Image 1,1,429,
35.359,um,Spot,Image 1,1,431,
25.4086,um,Spot,Image 1,1,432,
37.3285,um,Spot,Image 1,1,434,
17.559,um,Spot,Image 1,1,435,
18.8399,um,Spot,Image 1,1,436,
31.904,um,Spot,Image 1,1,437,
23.2322,um,Spot,Image 1,1,438,
23.8909,um,Spot,Image 1,1,439,
31.7236,um,Spot,Image 1,1,440,
28.2505,um,Spot,Image 1,1,441,
21.5025,um,Spot,Image 1,1,442,
36.7136,um,Spot,Image 1,1,443,
26.9303,um,Spot,Image 1,1,444,
28.0669,um,Spot,Image 1,1,445,
33.2789,um,Spot,Image 1,1,446,
39.9267,um,Spot,Image 1,1,512,
43.7693,um,Spot,Image 1,1,514,
45.4802,um,Spot,Image 1,1,517,
46.4416,um,Spot,Image 1,1,518,
43.9333,um,Spot,Image 1,1,519,
30.6835,um,Spot,Image 1,1,520,
37.5965,um,Spot,Image 1,1,521,
42.7924,um,Spot,Image 1,1,522,
42.6639,um,Spot,Image 1,1,523,
40.5943,um,Spot,Image 1,1,524,
26.2744,um,Spot,Image 1,1,525,
18.2999,um,Spot,Image 1,1,526,
36.4226,um,Spot,Image 1,1,527,
37.7288,um,Spot,Image 1,1,528,
31.2163,um,Spot,Image 1,1,529,
41.5763,um,Spot,Image 1,1,530,
37.7541,um,Spot,Image 1,1,531,
37.772,um,Spot,Image 1,1,547,
35.4499,um,Spot,Image 1,1,550,
33.7075,um,Spot,Image 1,1,551,
22.7005,um,Spot,Image 1,1,552,
39.2881,um,Spot,Image 1,1,554,
38.5968,um,Spot,Image 1,1,557,
30.0491,um,Spot,Image 1,1,558,
