
Distance to Image Border XYZ Img=1
 ==================== 
Distance to Image Border XYZ,Unit,Category,Image,Time,ID,
16.8579,um,Spot,Image 1,1,399,
15.0261,um,Spot,Image 1,1,400,
14.6057,um,Spot,Image 1,1,401,
13.5461,um,Spot,Image 1,1,402,
13.6457,um,Spot,Image 1,1,403,
14.1385,um,Spot,Image 1,1,404,
16.4115,um,Spot,Image 1,1,405,
16.1097,um,Spot,Image 1,1,406,
15.1761,um,Spot,Image 1,1,407,
14.2319,um,Spot,Image 1,1,408,
13.4291,um,Spot,Image 1,1,409,
15.8681,um,Spot,Image 1,1,410,
16.6087,um,Spot,Image 1,1,411,
16.668,um,Spot,Image 1,1,412,
16.3044,um,Spot,Image 1,1,413,
15.1387,um,Spot,Image 1,1,414,
14.2165,um,Spot,Image 1,1,416,
14.4364,um,Spot,Image 1,1,421,
16.4647,um,Spot,Image 1,1,423,
14.1542,um,Spot,Image 1,1,425,
14.5456,um,Spot,Image 1,1,426,
16.444,um,Spot,Image 1,1,427,
15.6006,um,Spot,Image 1,1,428,
15.046,um,Spot,Image 1,1,429,
13.1839,um,Spot,Image 1,1,431,
16.2272,um,Spot,Image 1,1,432,
15.5721,um,Spot,Image 1,1,434,
15.4976,um,Spot,Image 1,1,435,
14.9685,um,Spot,Image 1,1,436,
13.7573,um,Spot,Image 1,1,437,
13.228,um,Spot,Image 1,1,438,
13.5131,um,Spot,Image 1,1,439,
14.202,um,Spot,Image 1,1,440,
15.0021,um,Spot,Image 1,1,441,
15.3272,um,Spot,Image 1,1,442,
16.4625,um,Spot,Image 1,1,443,
15.1205,um,Spot,Image 1,1,444,
14.4448,um,Spot,Image 1,1,445,
13.735,um,Spot,Image 1,1,446,
10.8759,um,Spot,Image 1,1,512,
9.11095,um,Spot,Image 1,1,514,
12.4841,um,Spot,Image 1,1,517,
11.6148,um,Spot,Image 1,1,518,
11.7239,um,Spot,Image 1,1,519,
9.98399,um,Spot,Image 1,1,520,
8.8053,um,Spot,Image 1,1,521,
8.05674,um,Spot,Image 1,1,522,
5.71139,um,Spot,Image 1,1,523,
5.83882,um,Spot,Image 1,1,524,
10.9878,um,Spot,Image 1,1,525,
11.3604,um,Spot,Image 1,1,526,
10.8213,um,Spot,Image 1,1,527,
9.4612,um,Spot,Image 1,1,528,
9.27645,um,Spot,Image 1,1,529,
7.27562,um,Spot,Image 1,1,530,
6.87936,um,Spot,Image 1,1,531,
11.9704,um,Spot,Image 1,1,547,
11.9465,um,Spot,Image 1,1,550,
12.2559,um,Spot,Image 1,1,551,
11.4779,um,Spot,Image 1,1,552,
9.39287,um,Spot,Image 1,1,554,
13.239,um,Spot,Image 1,1,557,
13.3086,um,Spot,Image 1,1,558,
12.7556,um,Spot,Image 1,1,559,
12.2514,um,Spot,Image 1,1,560,
4.4859,um,Spot,Image 1,1,603,
1.92949,um,Spot,Image 1,1,53019,
5.98715,um,Spot,Image 1,1,53020,
0,um,Spot,Image 1,1,53022,
6.86,um,Spot,Image 1,1,53023,
0.14,um,Spot,Image 1,1,53024,
8.3,um,Spot,Image 1,1,53025,
9.74,um,Spot,Image 1,1,53027,
14.06,um,Spot,Image 1,1,53028,
11.8639,um,Spot,Image 1,1,53029,
6.90811,um,Spot,Image 1,1,53030,
15.5,um,Spot,Image 1,1,53031,
12.8103,um,Spot,Image 1,1,53032,
