
Intensity Center Ch=2 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,ID,
2032,,Spot,2,Image 1,1,400,
1721,,Spot,2,Image 1,1,401,
4926,,Spot,2,Image 1,1,402,
5206,,Spot,2,Image 1,1,403,
3599,,Spot,2,Image 1,1,404,
3166,,Spot,2,Image 1,1,405,
2611,,Spot,2,Image 1,1,406,
2951,,Spot,2,Image 1,1,407,
3084,,Spot,2,Image 1,1,408,
1800,,Spot,2,Image 1,1,409,
3557,,Spot,2,Image 1,1,410,
3472,,Spot,2,Image 1,1,411,
4827,,Spot,2,Image 1,1,412,
2926,,Spot,2,Image 1,1,413,
4011,,Spot,2,Image 1,1,414,
1548,,Spot,2,Image 1,1,416,
3935,,Spot,2,Image 1,1,421,
1409,,Spot,2,Image 1,1,423,
2570,,Spot,2,Image 1,1,425,
5543,,Spot,2,Image 1,1,426,
3385,,Spot,2,Image 1,1,427,
2175,,Spot,2,Image 1,1,428,
3879,,Spot,2,Image 1,1,429,
2576,,Spot,2,Image 1,1,431,
5533,,Spot,2,Image 1,1,432,
2169,,Spot,2,Image 1,1,434,
1821,,Spot,2,Image 1,1,435,
3439,,Spot,2,Image 1,1,436,
3120,,Spot,2,Image 1,1,437,
1506,,Spot,2,Image 1,1,438,
2597,,Spot,2,Image 1,1,439,
2951,,Spot,2,Image 1,1,440,
3491,,Spot,2,Image 1,1,441,
2976,,Spot,2,Image 1,1,442,
3252,,Spot,2,Image 1,1,443,
2227,,Spot,2,Image 1,1,444,
2099,,Spot,2,Image 1,1,445,
3872,,Spot,2,Image 1,1,446,
4056,,Spot,2,Image 1,1,512,
1758,,Spot,2,Image 1,1,514,
2265,,Spot,2,Image 1,1,517,
3199,,Spot,2,Image 1,1,518,
3290,,Spot,2,Image 1,1,519,
3845,,Spot,2,Image 1,1,520,
2753,,Spot,2,Image 1,1,521,
3462,,Spot,2,Image 1,1,522,
4653,,Spot,2,Image 1,1,523,
1809,,Spot,2,Image 1,1,524,
4179,,Spot,2,Image 1,1,525,
4647,,Spot,2,Image 1,1,526,
4567,,Spot,2,Image 1,1,527,
1709,,Spot,2,Image 1,1,528,
1930,,Spot,2,Image 1,1,529,
5558,,Spot,2,Image 1,1,530,
1741,,Spot,2,Image 1,1,531,
3514,,Spot,2,Image 1,1,547,
4919,,Spot,2,Image 1,1,550,
3559,,Spot,2,Image 1,1,551,
1448,,Spot,2,Image 1,1,552,
1441,,Spot,2,Image 1,1,554,
4799,,Spot,2,Image 1,1,557,
2637,,Spot,2,Image 1,1,558,
4836,,Spot,2,Image 1,1,559,
4721,,Spot,2,Image 1,1,560,
3466,,Spot,2,Image 1,1,603,
4131,,Spot,2,Image 1,1,53019,
4764,,Spot,2,Image 1,1,53020,
2957,,Spot,2,Image 1,1,53022,
2495,,Spot,2,Image 1,1,53023,
2922,,Spot,2,Image 1,1,53024,
2451,,Spot,2,Image 1,1,53025,
3691,,Spot,2,Image 1,1,53027,
2849,,Spot,2,Image 1,1,53028,
3919,,Spot,2,Image 1,1,53029,
4451,,Spot,2,Image 1,1,53030,
3570,,Spot,2,Image 1,1,53031,
3185,,Spot,2,Image 1,1,53032,
3927,,Spot,2,Image 1,1,53033,
1379,,Spot,2,Image 1,1,53034,
2206,,Spot,2,Image 1,1,53035,
5314,,Spot,2,Image 1,1,53036,
3449,,Spot,2,Image 1,1,53037,
4519,,Spot,2,Image 1,1,53038,
4183,,Spot,2,Image 1,1,53039,
3846,,Spot,2,Image 1,1,53040,
3433,,Spot,2,Image 1,1,53041,
2162,,Spot,2,Image 1,1,53042,
3483,,Spot,2,Image 1,1,53043,
2355,,Spot,2,Image 1,1,53044,
1677,,Spot,2,Image 1,1,53045,
3227,,Spot,2,Image 1,1,53046,
2889,,Spot,2,Image 1,1,53048,
3060,,Spot,2,Image 1,1,53049,
2296,,Spot,2,Image 1,1,53050,
1711,,Spot,2,Image 1,1,53052,
2044,,Spot,2,Image 1,1,53053,
1394,,Spot,2,Image 1,1,53055,
2569,,Spot,2,Image 1,1,53056,
2673,,Spot,2,Image 1,1,53057,
2414,,Spot,2,Image 1,1,53058,
3173,,Spot,2,Image 1,1,53059,
1123,,Spot,2,Image 1,1,53060,
2105,,Spot,2,Image 1,1,53061,
2681,,Spot,2,Image 1,1,53062,
4107,,Spot,2,Image 1,1,53063,
2873,,Spot,2,Image 1,1,53065,
1673,,Spot,2,Image 1,1,53066,
1912,,Spot,2,Image 1,1,53067,
2294,,Spot,2,Image 1,1,53068,
1152,,Spot,2,Image 1,1,53069,
1485,,Spot,2,Image 1,1,53071,
1859,,Spot,2,Image 1,1,53072,
2654,,Spot,2,Image 1,1,53073,
5996,,Spot,2,Image 1,1,53075,
2918,,Spot,2,Image 1,1,53078,
3508,,Spot,2,Image 1,1,53079,
2567,,Spot,2,Image 1,1,53080,
3312,,Spot,2,Image 1,1,53081,
2892,,Spot,2,Image 1,1,53082,
4389,,Spot,2,Image 1,1,53083,
3929,,Spot,2,Image 1,1,53084,
4773,,Spot,2,Image 1,1,53085,
3946,,Spot,2,Image 1,1,53086,
3648,,Spot,2,Image 1,1,53087,
2674,,Spot,2,Image 1,1,53088,
2550,,Spot,2,Image 1,1,53090,
2758,,Spot,2,Image 1,1,53091,
3748,,Spot,2,Image 1,1,53092,
2924,,Spot,2,Image 1,1,53094,
2187,,Spot,2,Image 1,1,53095,
2088,,Spot,2,Image 1,1,53096,
2631,,Spot,2,Image 1,1,53097,
3626,,Spot,2,Image 1,1,53098,
2702,,Spot,2,Image 1,1,53099,
3324,,Spot,2,Image 1,1,53100,
2484,,Spot,2,Image 1,1,53101,
2328,,Spot,2,Image 1,1,53102,
2334,,Spot,2,Image 1,1,53103,
2399,,Spot,2,Image 1,1,53104,
2935,,Spot,2,Image 1,1,53105,
3112,,Spot,2,Image 1,1,53106,
2179,,Spot,2,Image 1,1,53107,
2493,,Spot,2,Image 1,1,53108,
3060,,Spot,2,Image 1,1,53109,
3346,,Spot,2,Image 1,1,53110,
3288,,Spot,2,Image 1,1,53111,
3029,,Spot,2,Image 1,1,53112,
3503,,Spot,2,Image 1,1,53113,
3428,,Spot,2,Image 1,1,53115,
1931,,Spot,2,Image 1,1,53116,
2264,,Spot,2,Image 1,1,53118,
2946,,Spot,2,Image 1,1,53119,
1891,,Spot,2,Image 1,1,53120,
2755,,Spot,2,Image 1,1,53121,
1290,,Spot,2,Image 1,1,53122,
1980,,Spot,2,Image 1,1,53123,
825,,Spot,2,Image 1,1,53124,
2039,,Spot,2,Image 1,1,53125,
1880,,Spot,2,Image 1,1,53126,
2732,,Spot,2,Image 1,1,53127,
1991,,Spot,2,Image 1,1,53128,
1446,,Spot,2,Image 1,1,53129,
3546,,Spot,2,Image 1,1,53130,
4875,,Spot,2,Image 1,1,53131,
3735,,Spot,2,Image 1,1,53132,
2585,,Spot,2,Image 1,1,53133,
3773,,Spot,2,Image 1,1,53134,
1801,,Spot,2,Image 1,1,53135,
1977,,Spot,2,Image 1,1,53136,
2478,,Spot,2,Image 1,1,53137,
2097,,Spot,2,Image 1,1,53138,
3823,,Spot,2,Image 1,1,53140,
4094,,Spot,2,Image 1,1,53141,
4425,,Spot,2,Image 1,1,53142,
1888,,Spot,2,Image 1,1,53143,
3017,,Spot,2,Image 1,1,53144,
2459,,Spot,2,Image 1,1,53145,
2914,,Spot,2,Image 1,1,53146,
2429,,Spot,2,Image 1,1,53147,
3558,,Spot,2,Image 1,1,53148,
2579,,Spot,2,Image 1,1,53149,
4096,,Spot,2,Image 1,1,53150,
3272,,Spot,2,Image 1,1,53152,
1952,,Spot,2,Image 1,1,53154,
2039,,Spot,2,Image 1,1,53155,
3446,,Spot,2,Image 1,1,53157,
2959,,Spot,2,Image 1,1,53159,
3626,,Spot,2,Image 1,1,53160,
571,,Spot,2,Image 1,1,53163,
531,,Spot,2,Image 1,1,53164,
2570,,Spot,2,Image 1,1,53165,
162,,Spot,2,Image 1,1,53166,
39,,Spot,2,Image 1,1,53167,
1498,,Spot,2,Image 1,1,53168,
3209,,Spot,2,Image 1,1,53169,
1282,,Spot,2,Image 1,1,53170,
1722,,Spot,2,Image 1,1,53171,
23,,Spot,2,Image 1,1,53172,
409,,Spot,2,Image 1,1,53173,
0,,Spot,2,Image 1,1,53174,
60,,Spot,2,Image 1,1,53175,
2002,,Spot,2,Image 1,1,53176,
1595,,Spot,2,Image 1,1,53177,
1808,,Spot,2,Image 1,1,53179,
2598,,Spot,2,Image 1,1,53180,
3189,,Spot,2,Image 1,1,53181,
2032,,Spot,2,Image 1,1,53182,
1557,,Spot,2,Image 1,1,53183,
2195,,Spot,2,Image 1,1,53184,
1364,,Spot,2,Image 1,1,53185,
1849,,Spot,2,Image 1,1,53186,
2305,,Spot,2,Image 1,1,53187,
1554,,Spot,2,Image 1,1,53188,
164,,Spot,2,Image 1,1,53189,
2985,,Spot,2,Image 1,1,53190,
392,,Spot,2,Image 1,1,53191,
3315,,Spot,2,Image 1,1,53192,
1831,,Spot,2,Image 1,1,53193,
4070,,Spot,2,Image 1,1,53194,
73,,Spot,2,Image 1,1,53195,
227,,Spot,2,Image 1,1,53196,
124,,Spot,2,Image 1,1,53197,
2393,,Spot,2,Image 1,1,53198,
2096,,Spot,2,Image 1,1,53199,
2466,,Spot,2,Image 1,1,53200,
1341,,Spot,2,Image 1,1,53201,
151,,Spot,2,Image 1,1,53203,
249,,Spot,2,Image 1,1,53204,
2317,,Spot,2,Image 1,1,53205,
2643,,Spot,2,Image 1,1,53206,
1753,,Spot,2,Image 1,1,53207,
4074,,Spot,2,Image 1,1,53208,
2271,,Spot,2,Image 1,1,53209,
3933,,Spot,2,Image 1,1,53210,
707,,Spot,2,Image 1,1,53211,
0,,Spot,2,Image 1,1,53212,
102,,Spot,2,Image 1,1,53213,
76,,Spot,2,Image 1,1,53214,
296,,Spot,2,Image 1,1,53215,
55,,Spot,2,Image 1,1,53216,
1247,,Spot,2,Image 1,1,53217,
1444,,Spot,2,Image 1,1,53218,
2540,,Spot,2,Image 1,1,53219,
1925,,Spot,2,Image 1,1,53220,
2208,,Spot,2,Image 1,1,53221,
2669,,Spot,2,Image 1,1,53222,
959,,Spot,2,Image 1,1,53225,
76,,Spot,2,Image 1,1,53226,
2531,,Spot,2,Image 1,1,53227,
2156,,Spot,2,Image 1,1,53228,
1879,,Spot,2,Image 1,1,53229,
2653,,Spot,2,Image 1,1,53230,
2657,,Spot,2,Image 1,1,53231,
1144,,Spot,2,Image 1,1,53232,
