
Intensity Max Ch=6 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
7268,,Spot,6,Image 1,1,400,
5553,,Spot,6,Image 1,1,401,
5951,,Spot,6,Image 1,1,402,
7508,,Spot,6,Image 1,1,403,
7083,,Spot,6,Image 1,1,404,
6789,,Spot,6,Image 1,1,405,
5812,,Spot,6,Image 1,1,406,
5315,,Spot,6,Image 1,1,407,
6851,,Spot,6,Image 1,1,408,
4767,,Spot,6,Image 1,1,409,
7875,,Spot,6,Image 1,1,410,
6081,,Spot,6,Image 1,1,411,
7376,,Spot,6,Image 1,1,412,
4802,,Spot,6,Image 1,1,413,
9338,,Spot,6,Image 1,1,414,
5508,,Spot,6,Image 1,1,416,
5904,,Spot,6,Image 1,1,421,
5810,,Spot,6,Image 1,1,423,
5507,,Spot,6,Image 1,1,425,
9445,,Spot,6,Image 1,1,426,
6036,,Spot,6,Image 1,1,427,
4388,,Spot,6,Image 1,1,428,
7478,,Spot,6,Image 1,1,429,
6305,,Spot,6,Image 1,1,431,
7641,,Spot,6,Image 1,1,432,
6398,,Spot,6,Image 1,1,434,
4199,,Spot,6,Image 1,1,435,
5925,,Spot,6,Image 1,1,436,
6497,,Spot,6,Image 1,1,437,
4542,,Spot,6,Image 1,1,438,
6146,,Spot,6,Image 1,1,439,
5045,,Spot,6,Image 1,1,440,
5789,,Spot,6,Image 1,1,441,
5757,,Spot,6,Image 1,1,442,
6046,,Spot,6,Image 1,1,443,
3979,,Spot,6,Image 1,1,444,
4667,,Spot,6,Image 1,1,445,
6076,,Spot,6,Image 1,1,446,
6197,,Spot,6,Image 1,1,512,
6093,,Spot,6,Image 1,1,514,
7676,,Spot,6,Image 1,1,517,
8136,,Spot,6,Image 1,1,518,
5490,,Spot,6,Image 1,1,519,
6419,,Spot,6,Image 1,1,520,
5989,,Spot,6,Image 1,1,521,
6042,,Spot,6,Image 1,1,522,
5807,,Spot,6,Image 1,1,523,
5772,,Spot,6,Image 1,1,524,
7317,,Spot,6,Image 1,1,525,
7424,,Spot,6,Image 1,1,526,
7018,,Spot,6,Image 1,1,527,
5129,,Spot,6,Image 1,1,528,
4067,,Spot,6,Image 1,1,529,
7557,,Spot,6,Image 1,1,530,
6013,,Spot,6,Image 1,1,531,
6958,,Spot,6,Image 1,1,547,
6950,,Spot,6,Image 1,1,550,
6664,,Spot,6,Image 1,1,551,
4086,,Spot,6,Image 1,1,552,
4649,,Spot,6,Image 1,1,554,
7431,,Spot,6,Image 1,1,557,
4795,,Spot,6,Image 1,1,558,
7066,,Spot,6,Image 1,1,559,
6450,,Spot,6,Image 1,1,560,
5593,,Spot,6,Image 1,1,603,
6500,,Spot,6,Image 1,1,53019,
5747,,Spot,6,Image 1,1,53020,
5790,,Spot,6,Image 1,1,53022,
5809,,Spot,6,Image 1,1,53023,
