
Intensity Min Ch=4 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
0,,Spot,4,Image 1,1,408,
0,,Spot,4,Image 1,1,409,
0,,Spot,4,Image 1,1,410,
0,,Spot,4,Image 1,1,411,
0,,Spot,4,Image 1,1,412,
0,,Spot,4,Image 1,1,413,
0,,Spot,4,Image 1,1,414,
0,,Spot,4,Image 1,1,416,
0,,Spot,4,Image 1,1,421,
0,,Spot,4,Image 1,1,423,
0,,Spot,4,Image 1,1,425,
0,,Spot,4,Image 1,1,426,
0,,Spot,4,Image 1,1,427,
0,,Spot,4,Image 1,1,428,
0,,Spot,4,Image 1,1,429,
0,,Spot,4,Image 1,1,431,
0,,Spot,4,Image 1,1,432,
0,,Spot,4,Image 1,1,434,
0,,Spot,4,Image 1,1,435,
0,,Spot,4,Image 1,1,436,
0,,Spot,4,Image 1,1,437,
0,,Spot,4,Image 1,1,438,
0,,Spot,4,Image 1,1,439,
0,,Spot,4,Image 1,1,440,
0,,Spot,4,Image 1,1,441,
0,,Spot,4,Image 1,1,442,
0,,Spot,4,Image 1,1,443,
0,,Spot,4,Image 1,1,444,
0,,Spot,4,Image 1,1,445,
0,,Spot,4,Image 1,1,446,
0,,Spot,4,Image 1,1,512,
0,,Spot,4,Image 1,1,514,
0,,Spot,4,Image 1,1,517,
0,,Spot,4,Image 1,1,518,
0,,Spot,4,Image 1,1,519,
0,,Spot,4,Image 1,1,520,
0,,Spot,4,Image 1,1,521,
0,,Spot,4,Image 1,1,522,
0,,Spot,4,Image 1,1,523,
0,,Spot,4,Image 1,1,524,
0,,Spot,4,Image 1,1,525,
0,,Spot,4,Image 1,1,526,
0,,Spot,4,Image 1,1,527,
0,,Spot,4,Image 1,1,528,
0,,Spot,4,Image 1,1,529,
0,,Spot,4,Image 1,1,530,
0,,Spot,4,Image 1,1,531,
0,,Spot,4,Image 1,1,547,
0,,Spot,4,Image 1,1,550,
0,,Spot,4,Image 1,1,551,
0,,Spot,4,Image 1,1,552,
0,,Spot,4,Image 1,1,554,
0,,Spot,4,Image 1,1,557,
0,,Spot,4,Image 1,1,558,
0,,Spot,4,Image 1,1,559,
0,,Spot,4,Image 1,1,560,
0,,Spot,4,Image 1,1,603,
0,,Spot,4,Image 1,1,53019,
0,,Spot,4,Image 1,1,53020,
0,,Spot,4,Image 1,1,53022,
0,,Spot,4,Image 1,1,53023,
0,,Spot,4,Image 1,1,53024,
0,,Spot,4,Image 1,1,53025,
0,,Spot,4,Image 1,1,53027,
0,,Spot,4,Image 1,1,53028,
0,,Spot,4,Image 1,1,53029,
0,,Spot,4,Image 1,1,53030,
0,,Spot,4,Image 1,1,53031,
0,,Spot,4,Image 1,1,53032,
0,,Spot,4,Image 1,1,53033,
0,,Spot,4,Image 1,1,53034,
0,,Spot,4,Image 1,1,53035,
0,,Spot,4,Image 1,1,53036,
0,,Spot,4,Image 1,1,53037,
0,,Spot,4,Image 1,1,53038,
0,,Spot,4,Image 1,1,53039,
0,,Spot,4,Image 1,1,53040,
0,,Spot,4,Image 1,1,53041,
0,,Spot,4,Image 1,1,53042,
0,,Spot,4,Image 1,1,53043,
0,,Spot,4,Image 1,1,53044,
0,,Spot,4,Image 1,1,53045,
0,,Spot,4,Image 1,1,53046,
0,,Spot,4,Image 1,1,53048,
0,,Spot,4,Image 1,1,53049,
0,,Spot,4,Image 1,1,53050,
0,,Spot,4,Image 1,1,53052,
0,,Spot,4,Image 1,1,53053,
0,,Spot,4,Image 1,1,53055,
0,,Spot,4,Image 1,1,53056,
0,,Spot,4,Image 1,1,53057,
0,,Spot,4,Image 1,1,53058,
0,,Spot,4,Image 1,1,53059,
0,,Spot,4,Image 1,1,53060,
0,,Spot,4,Image 1,1,53061,
0,,Spot,4,Image 1,1,53062,
0,,Spot,4,Image 1,1,53063,
0,,Spot,4,Image 1,1,53065,
0,,Spot,4,Image 1,1,53066,
0,,Spot,4,Image 1,1,53067,
0,,Spot,4,Image 1,1,53068,
0,,Spot,4,Image 1,1,53069,
0,,Spot,4,Image 1,1,53071,
0,,Spot,4,Image 1,1,53072,
0,,Spot,4,Image 1,1,53073,
0,,Spot,4,Image 1,1,53075,
0,,Spot,4,Image 1,1,53078,
0,,Spot,4,Image 1,1,53079,
0,,Spot,4,Image 1,1,53080,
0,,Spot,4,Image 1,1,53081,
0,,Spot,4,Image 1,1,53082,
0,,Spot,4,Image 1,1,53083,
0,,Spot,4,Image 1,1,53084,
0,,Spot,4,Image 1,1,53085,
0,,Spot,4,Image 1,1,53086,
0,,Spot,4,Image 1,1,53087,
0,,Spot,4,Image 1,1,53088,
0,,Spot,4,Image 1,1,53090,
0,,Spot,4,Image 1,1,53091,
0,,Spot,4,Image 1,1,53092,
0,,Spot,4,Image 1,1,53094,
0,,Spot,4,Image 1,1,53095,
0,,Spot,4,Image 1,1,53096,
0,,Spot,4,Image 1,1,53097,
0,,Spot,4,Image 1,1,53098,
0,,Spot,4,Image 1,1,53099,
0,,Spot,4,Image 1,1,53100,
0,,Spot,4,Image 1,1,53101,
0,,Spot,4,Image 1,1,53102,
0,,Spot,4,Image 1,1,53103,
0,,Spot,4,Image 1,1,53104,
0,,Spot,4,Image 1,1,53105,
0,,Spot,4,Image 1,1,53106,
0,,Spot,4,Image 1,1,53107,
0,,Spot,4,Image 1,1,53108,
0,,Spot,4,Image 1,1,53109,
0,,Spot,4,Image 1,1,53110,
0,,Spot,4,Image 1,1,53111,
0,,Spot,4,Image 1,1,53112,
0,,Spot,4,Image 1,1,53113,
0,,Spot,4,Image 1,1,53115,
0,,Spot,4,Image 1,1,53116,
0,,Spot,4,Image 1,1,53118,
0,,Spot,4,Image 1,1,53119,
0,,Spot,4,Image 1,1,53120,
0,,Spot,4,Image 1,1,53121,
0,,Spot,4,Image 1,1,53122,
0,,Spot,4,Image 1,1,53123,
0,,Spot,4,Image 1,1,53124,
0,,Spot,4,Image 1,1,53125,
0,,Spot,4,Image 1,1,53126,
0,,Spot,4,Image 1,1,53127,
0,,Spot,4,Image 1,1,53128,
0,,Spot,4,Image 1,1,53129,
0,,Spot,4,Image 1,1,53130,
0,,Spot,4,Image 1,1,53131,
0,,Spot,4,Image 1,1,53132,
0,,Spot,4,Image 1,1,53133,
0,,Spot,4,Image 1,1,53134,
0,,Spot,4,Image 1,1,53135,
0,,Spot,4,Image 1,1,53136,
0,,Spot,4,Image 1,1,53137,
0,,Spot,4,Image 1,1,53138,
0,,Spot,4,Image 1,1,53140,
0,,Spot,4,Image 1,1,53141,
0,,Spot,4,Image 1,1,53142,
0,,Spot,4,Image 1,1,53143,
0,,Spot,4,Image 1,1,53144,
0,,Spot,4,Image 1,1,53145,
0,,Spot,4,Image 1,1,53146,
0,,Spot,4,Image 1,1,53147,
0,,Spot,4,Image 1,1,53148,
0,,Spot,4,Image 1,1,53149,
0,,Spot,4,Image 1,1,53150,
0,,Spot,4,Image 1,1,53152,
0,,Spot,4,Image 1,1,53154,
0,,Spot,4,Image 1,1,53155,
0,,Spot,4,Image 1,1,53157,
0,,Spot,4,Image 1,1,53159,
0,,Spot,4,Image 1,1,53160,
0,,Spot,4,Image 1,1,53163,
0,,Spot,4,Image 1,1,53164,
0,,Spot,4,Image 1,1,53165,
0,,Spot,4,Image 1,1,53166,
0,,Spot,4,Image 1,1,53167,
0,,Spot,4,Image 1,1,53168,
0,,Spot,4,Image 1,1,53169,
0,,Spot,4,Image 1,1,53170,
0,,Spot,4,Image 1,1,53171,
0,,Spot,4,Image 1,1,53172,
0,,Spot,4,Image 1,1,53173,
0,,Spot,4,Image 1,1,53174,
0,,Spot,4,Image 1,1,53175,
0,,Spot,4,Image 1,1,53176,
0,,Spot,4,Image 1,1,53177,
0,,Spot,4,Image 1,1,53179,
0,,Spot,4,Image 1,1,53180,
0,,Spot,4,Image 1,1,53181,
0,,Spot,4,Image 1,1,53182,
0,,Spot,4,Image 1,1,53183,
0,,Spot,4,Image 1,1,53184,
0,,Spot,4,Image 1,1,53185,
0,,Spot,4,Image 1,1,53186,
0,,Spot,4,Image 1,1,53187,
0,,Spot,4,Image 1,1,53188,
0,,Spot,4,Image 1,1,53189,
0,,Spot,4,Image 1,1,53190,
0,,Spot,4,Image 1,1,53191,
0,,Spot,4,Image 1,1,53192,
0,,Spot,4,Image 1,1,53193,
0,,Spot,4,Image 1,1,53194,
0,,Spot,4,Image 1,1,53195,
0,,Spot,4,Image 1,1,53196,
0,,Spot,4,Image 1,1,53197,
0,,Spot,4,Image 1,1,53198,
0,,Spot,4,Image 1,1,53199,
0,,Spot,4,Image 1,1,53200,
0,,Spot,4,Image 1,1,53201,
0,,Spot,4,Image 1,1,53203,
0,,Spot,4,Image 1,1,53204,
0,,Spot,4,Image 1,1,53205,
0,,Spot,4,Image 1,1,53206,
0,,Spot,4,Image 1,1,53207,
0,,Spot,4,Image 1,1,53208,
0,,Spot,4,Image 1,1,53209,
0,,Spot,4,Image 1,1,53210,
0,,Spot,4,Image 1,1,53211,
