
Number of Voxels Img=1
 ==================== 
Number of Voxels,Unit,Category,Image,Time,ID,
2745,,Spot,Image 1,1,425,
2745,,Spot,Image 1,1,426,
2758,,Spot,Image 1,1,427,
2740,,Spot,Image 1,1,428,
2729,,Spot,Image 1,1,429,
2743,,Spot,Image 1,1,431,
2748,,Spot,Image 1,1,432,
2744,,Spot,Image 1,1,434,
2750,,Spot,Image 1,1,435,
2750,,Spot,Image 1,1,436,
2755,,Spot,Image 1,1,437,
2752,,Spot,Image 1,1,438,
2742,,Spot,Image 1,1,439,
2735,,Spot,Image 1,1,440,
2754,,Spot,Image 1,1,441,
2743,,Spot,Image 1,1,442,
2741,,Spot,Image 1,1,443,
2737,,Spot,Image 1,1,444,
2737,,Spot,Image 1,1,445,
2740,,Spot,Image 1,1,446,
2753,,Spot,Image 1,1,512,
2750,,Spot,Image 1,1,514,
2739,,Spot,Image 1,1,517,
2746,,Spot,Image 1,1,518,
2735,,Spot,Image 1,1,519,
2765,,Spot,Image 1,1,520,
2746,,Spot,Image 1,1,521,
2745,,Spot,Image 1,1,522,
2743,,Spot,Image 1,1,523,
2747,,Spot,Image 1,1,524,
2757,,Spot,Image 1,1,525,
2753,,Spot,Image 1,1,526,
2739,,Spot,Image 1,1,527,
2749,,Spot,Image 1,1,528,
2747,,Spot,Image 1,1,529,
2747,,Spot,Image 1,1,530,
2754,,Spot,Image 1,1,531,
2748,,Spot,Image 1,1,547,
2749,,Spot,Image 1,1,550,
2752,,Spot,Image 1,1,551,
2753,,Spot,Image 1,1,552,
2749,,Spot,Image 1,1,554,
2748,,Spot,Image 1,1,557,
2760,,Spot,Image 1,1,558,
2743,,Spot,Image 1,1,559,
2743,,Spot,Image 1,1,560,
2744,,Spot,Image 1,1,603,
2739,,Spot,Image 1,1,53019,
2745,,Spot,Image 1,1,53020,
2156,,Spot,Image 1,1,53022,
2742,,Spot,Image 1,1,53023,
2743,,Spot,Image 1,1,53024,
2745,,Spot,Image 1,1,53025,
2755,,Spot,Image 1,1,53027,
2755,,Spot,Image 1,1,53028,
2750,,Spot,Image 1,1,53029,
2739,,Spot,Image 1,1,53030,
2759,,Spot,Image 1,1,53031,
2739,,Spot,Image 1,1,53032,
2744,,Spot,Image 1,1,53033,
2294,,Spot,Image 1,1,53034,
2293,,Spot,Image 1,1,53035,
2744,,Spot,Image 1,1,53036,
2749,,Spot,Image 1,1,53037,
2740,,Spot,Image 1,1,53038,
2742,,Spot,Image 1,1,53039,
2757,,Spot,Image 1,1,53040,
2740,,Spot,Image 1,1,53041,
2753,,Spot,Image 1,1,53042,
2743,,Spot,Image 1,1,53043,
2746,,Spot,Image 1,1,53044,
2746,,Spot,Image 1,1,53045,
2747,,Spot,Image 1,1,53046,
2761,,Spot,Image 1,1,53048,
2751,,Spot,Image 1,1,53049,
2761,,Spot,Image 1,1,53050,
2753,,Spot,Image 1,1,53052,
2750,,Spot,Image 1,1,53053,
2744,,Spot,Image 1,1,53055,
2749,,Spot,Image 1,1,53056,
2749,,Spot,Image 1,1,53057,
2749,,Spot,Image 1,1,53058,
2738,,Spot,Image 1,1,53059,
2741,,Spot,Image 1,1,53060,
2744,,Spot,Image 1,1,53061,
2753,,Spot,Image 1,1,53062,
2756,,Spot,Image 1,1,53063,
2739,,Spot,Image 1,1,53065,
2744,,Spot,Image 1,1,53066,
2760,,Spot,Image 1,1,53067,
2580,,Spot,Image 1,1,53068,
2743,,Spot,Image 1,1,53069,
2772,,Spot,Image 1,1,53071,
2762,,Spot,Image 1,1,53072,
2744,,Spot,Image 1,1,53073,
2753,,Spot,Image 1,1,53075,
2744,,Spot,Image 1,1,53078,
2738,,Spot,Image 1,1,53079,
2764,,Spot,Image 1,1,53080,
2752,,Spot,Image 1,1,53081,
2752,,Spot,Image 1,1,53082,
2734,,Spot,Image 1,1,53083,
2753,,Spot,Image 1,1,53084,
2745,,Spot,Image 1,1,53085,
2749,,Spot,Image 1,1,53086,
2745,,Spot,Image 1,1,53087,
2748,,Spot,Image 1,1,53088,
2762,,Spot,Image 1,1,53090,
2736,,Spot,Image 1,1,53091,
2758,,Spot,Image 1,1,53092,
2749,,Spot,Image 1,1,53094,
2766,,Spot,Image 1,1,53095,
2299,,Spot,Image 1,1,53096,
2766,,Spot,Image 1,1,53097,
2306,,Spot,Image 1,1,53098,
2734,,Spot,Image 1,1,53099,
2745,,Spot,Image 1,1,53100,
2749,,Spot,Image 1,1,53101,
2765,,Spot,Image 1,1,53102,
2762,,Spot,Image 1,1,53103,
2587,,Spot,Image 1,1,53104,
2622,,Spot,Image 1,1,53105,
2751,,Spot,Image 1,1,53106,
2291,,Spot,Image 1,1,53107,
2752,,Spot,Image 1,1,53108,
2284,,Spot,Image 1,1,53109,
2747,,Spot,Image 1,1,53110,
2745,,Spot,Image 1,1,53111,
2748,,Spot,Image 1,1,53112,
2758,,Spot,Image 1,1,53113,
2743,,Spot,Image 1,1,53115,
2752,,Spot,Image 1,1,53116,
2745,,Spot,Image 1,1,53118,
2739,,Spot,Image 1,1,53119,
2736,,Spot,Image 1,1,53120,
2752,,Spot,Image 1,1,53121,
2719,,Spot,Image 1,1,53122,
2351,,Spot,Image 1,1,53123,
2473,,Spot,Image 1,1,53124,
2738,,Spot,Image 1,1,53125,
2757,,Spot,Image 1,1,53126,
2756,,Spot,Image 1,1,53127,
2741,,Spot,Image 1,1,53128,
2744,,Spot,Image 1,1,53129,
2741,,Spot,Image 1,1,53130,
2741,,Spot,Image 1,1,53131,
2743,,Spot,Image 1,1,53132,
2746,,Spot,Image 1,1,53133,
2747,,Spot,Image 1,1,53134,
2726,,Spot,Image 1,1,53135,
2754,,Spot,Image 1,1,53136,
2743,,Spot,Image 1,1,53137,
2750,,Spot,Image 1,1,53138,
2739,,Spot,Image 1,1,53140,
2741,,Spot,Image 1,1,53141,
2745,,Spot,Image 1,1,53142,
2744,,Spot,Image 1,1,53143,
2764,,Spot,Image 1,1,53144,
2748,,Spot,Image 1,1,53145,
2746,,Spot,Image 1,1,53146,
2751,,Spot,Image 1,1,53147,
2747,,Spot,Image 1,1,53148,
2720,,Spot,Image 1,1,53149,
2741,,Spot,Image 1,1,53150,
2739,,Spot,Image 1,1,53152,
2734,,Spot,Image 1,1,53154,
2742,,Spot,Image 1,1,53155,
2764,,Spot,Image 1,1,53157,
