
Intensity Center Ch=1 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,ID,
3666,,Spot,1,Image 1,1,3,
1078,,Spot,1,Image 1,1,15,
492,,Spot,1,Image 1,1,18,
247,,Spot,1,Image 1,1,40,
521,,Spot,1,Image 1,1,41,
99,,Spot,1,Image 1,1,44,
3770,,Spot,1,Image 1,1,63,
173,,Spot,1,Image 1,1,64,
1964,,Spot,1,Image 1,1,66,
723,,Spot,1,Image 1,1,70,
859,,Spot,1,Image 1,1,73,
735,,Spot,1,Image 1,1,74,
232,,Spot,1,Image 1,1,76,
695,,Spot,1,Image 1,1,80,
151,,Spot,1,Image 1,1,81,
656,,Spot,1,Image 1,1,82,
1372,,Spot,1,Image 1,1,83,
792,,Spot,1,Image 1,1,84,
674,,Spot,1,Image 1,1,85,
1169,,Spot,1,Image 1,1,86,
969,,Spot,1,Image 1,1,87,
804,,Spot,1,Image 1,1,88,
654,,Spot,1,Image 1,1,90,
1595,,Spot,1,Image 1,1,91,
1670,,Spot,1,Image 1,1,92,
413,,Spot,1,Image 1,1,93,
652,,Spot,1,Image 1,1,94,
935,,Spot,1,Image 1,1,95,
464,,Spot,1,Image 1,1,96,
423,,Spot,1,Image 1,1,97,
1260,,Spot,1,Image 1,1,98,
422,,Spot,1,Image 1,1,99,
1921,,Spot,1,Image 1,1,100,
445,,Spot,1,Image 1,1,101,
294,,Spot,1,Image 1,1,102,
738,,Spot,1,Image 1,1,103,
1146,,Spot,1,Image 1,1,104,
450,,Spot,1,Image 1,1,105,
65,,Spot,1,Image 1,1,106,
218,,Spot,1,Image 1,1,107,
1035,,Spot,1,Image 1,1,108,
172,,Spot,1,Image 1,1,109,
538,,Spot,1,Image 1,1,110,
377,,Spot,1,Image 1,1,111,
880,,Spot,1,Image 1,1,122,
635,,Spot,1,Image 1,1,125,
322,,Spot,1,Image 1,1,128,
3252,,Spot,1,Image 1,1,130,
355,,Spot,1,Image 1,1,131,
542,,Spot,1,Image 1,1,132,
1524,,Spot,1,Image 1,1,133,
537,,Spot,1,Image 1,1,134,
670,,Spot,1,Image 1,1,135,
1296,,Spot,1,Image 1,1,136,
677,,Spot,1,Image 1,1,137,
494,,Spot,1,Image 1,1,138,
782,,Spot,1,Image 1,1,139,
688,,Spot,1,Image 1,1,140,
730,,Spot,1,Image 1,1,141,
373,,Spot,1,Image 1,1,142,
3925,,Spot,1,Image 1,1,143,
324,,Spot,1,Image 1,1,144,
193,,Spot,1,Image 1,1,145,
456,,Spot,1,Image 1,1,146,
345,,Spot,1,Image 1,1,147,
90,,Spot,1,Image 1,1,150,
750,,Spot,1,Image 1,1,151,
964,,Spot,1,Image 1,1,152,
281,,Spot,1,Image 1,1,154,
457,,Spot,1,Image 1,1,155,
623,,Spot,1,Image 1,1,156,
675,,Spot,1,Image 1,1,157,
518,,Spot,1,Image 1,1,158,
221,,Spot,1,Image 1,1,159,
456,,Spot,1,Image 1,1,160,
277,,Spot,1,Image 1,1,161,
472,,Spot,1,Image 1,1,162,
211,,Spot,1,Image 1,1,163,
1005,,Spot,1,Image 1,1,164,
520,,Spot,1,Image 1,1,167,
744,,Spot,1,Image 1,1,168,
462,,Spot,1,Image 1,1,169,
387,,Spot,1,Image 1,1,170,
81,,Spot,1,Image 1,1,171,
324,,Spot,1,Image 1,1,172,
571,,Spot,1,Image 1,1,173,
102,,Spot,1,Image 1,1,174,
279,,Spot,1,Image 1,1,175,
605,,Spot,1,Image 1,1,233,
1060,,Spot,1,Image 1,1,234,
699,,Spot,1,Image 1,1,238,
157,,Spot,1,Image 1,1,240,
422,,Spot,1,Image 1,1,246,
573,,Spot,1,Image 1,1,247,
278,,Spot,1,Image 1,1,248,
151,,Spot,1,Image 1,1,253,
468,,Spot,1,Image 1,1,262,
1398,,Spot,1,Image 1,1,263,
982,,Spot,1,Image 1,1,264,
925,,Spot,1,Image 1,1,267,
480,,Spot,1,Image 1,1,269,
1015,,Spot,1,Image 1,1,270,
1031,,Spot,1,Image 1,1,271,
1177,,Spot,1,Image 1,1,273,
683,,Spot,1,Image 1,1,274,
269,,Spot,1,Image 1,1,275,
599,,Spot,1,Image 1,1,276,
509,,Spot,1,Image 1,1,277,
1319,,Spot,1,Image 1,1,278,
1281,,Spot,1,Image 1,1,279,
683,,Spot,1,Image 1,1,280,
345,,Spot,1,Image 1,1,281,
1026,,Spot,1,Image 1,1,282,
322,,Spot,1,Image 1,1,283,
424,,Spot,1,Image 1,1,284,
312,,Spot,1,Image 1,1,285,
392,,Spot,1,Image 1,1,286,
55,,Spot,1,Image 1,1,288,
359,,Spot,1,Image 1,1,292,
151,,Spot,1,Image 1,1,294,
489,,Spot,1,Image 1,1,296,
296,,Spot,1,Image 1,1,297,
828,,Spot,1,Image 1,1,298,
107,,Spot,1,Image 1,1,299,
219,,Spot,1,Image 1,1,300,
526,,Spot,1,Image 1,1,301,
722,,Spot,1,Image 1,1,302,
350,,Spot,1,Image 1,1,303,
373,,Spot,1,Image 1,1,304,
489,,Spot,1,Image 1,1,306,
275,,Spot,1,Image 1,1,308,
398,,Spot,1,Image 1,1,309,
887,,Spot,1,Image 1,1,310,
892,,Spot,1,Image 1,1,311,
206,,Spot,1,Image 1,1,312,
98,,Spot,1,Image 1,1,313,
566,,Spot,1,Image 1,1,314,
404,,Spot,1,Image 1,1,315,
467,,Spot,1,Image 1,1,316,
303,,Spot,1,Image 1,1,317,
0,,Spot,1,Image 1,1,318,
0,,Spot,1,Image 1,1,320,
273,,Spot,1,Image 1,1,321,
213,,Spot,1,Image 1,1,322,
1215,,Spot,1,Image 1,1,366,
208,,Spot,1,Image 1,1,374,
536,,Spot,1,Image 1,1,376,
393,,Spot,1,Image 1,1,389,
684,,Spot,1,Image 1,1,390,
298,,Spot,1,Image 1,1,391,
510,,Spot,1,Image 1,1,392,
217,,Spot,1,Image 1,1,393,
548,,Spot,1,Image 1,1,394,
450,,Spot,1,Image 1,1,395,
578,,Spot,1,Image 1,1,396,
40,,Spot,1,Image 1,1,398,
1069,,Spot,1,Image 1,1,399,
806,,Spot,1,Image 1,1,400,
1694,,Spot,1,Image 1,1,401,
309,,Spot,1,Image 1,1,402,
757,,Spot,1,Image 1,1,403,
596,,Spot,1,Image 1,1,404,
250,,Spot,1,Image 1,1,405,
653,,Spot,1,Image 1,1,406,
376,,Spot,1,Image 1,1,407,
972,,Spot,1,Image 1,1,408,
654,,Spot,1,Image 1,1,409,
95,,Spot,1,Image 1,1,410,
56,,Spot,1,Image 1,1,411,
1517,,Spot,1,Image 1,1,412,
370,,Spot,1,Image 1,1,413,
496,,Spot,1,Image 1,1,414,
604,,Spot,1,Image 1,1,416,
677,,Spot,1,Image 1,1,421,
676,,Spot,1,Image 1,1,423,
326,,Spot,1,Image 1,1,425,
1189,,Spot,1,Image 1,1,426,
199,,Spot,1,Image 1,1,427,
635,,Spot,1,Image 1,1,428,
724,,Spot,1,Image 1,1,429,
726,,Spot,1,Image 1,1,431,
138,,Spot,1,Image 1,1,432,
232,,Spot,1,Image 1,1,434,
20,,Spot,1,Image 1,1,435,
601,,Spot,1,Image 1,1,436,
161,,Spot,1,Image 1,1,437,
0,,Spot,1,Image 1,1,438,
