
Intensity Median Ch=5 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
33.28,,Spot,5,Image 1,1,3,
124.38,,Spot,5,Image 1,1,15,
573.58,,Spot,5,Image 1,1,18,
270.392,,Spot,5,Image 1,1,40,
298.116,,Spot,5,Image 1,1,41,
37.92,,Spot,5,Image 1,1,44,
2.176,,Spot,5,Image 1,1,63,
418.656,,Spot,5,Image 1,1,64,
1389.93,,Spot,5,Image 1,1,66,
2317.46,,Spot,5,Image 1,1,70,
713.958,,Spot,5,Image 1,1,73,
2204.47,,Spot,5,Image 1,1,74,
2511.22,,Spot,5,Image 1,1,76,
1169.58,,Spot,5,Image 1,1,80,
860.204,,Spot,5,Image 1,1,81,
1566.88,,Spot,5,Image 1,1,82,
2592.35,,Spot,5,Image 1,1,83,
3059.35,,Spot,5,Image 1,1,84,
3951.66,,Spot,5,Image 1,1,85,
2086.66,,Spot,5,Image 1,1,86,
1200.64,,Spot,5,Image 1,1,87,
2924.1,,Spot,5,Image 1,1,88,
2002.16,,Spot,5,Image 1,1,90,
909.288,,Spot,5,Image 1,1,91,
1210.88,,Spot,5,Image 1,1,92,
536.484,,Spot,5,Image 1,1,93,
2086.91,,Spot,5,Image 1,1,94,
1404.14,,Spot,5,Image 1,1,95,
1354.36,,Spot,5,Image 1,1,96,
703.208,,Spot,5,Image 1,1,97,
1393.37,,Spot,5,Image 1,1,98,
1072.18,,Spot,5,Image 1,1,99,
1967.1,,Spot,5,Image 1,1,100,
1732.97,,Spot,5,Image 1,1,101,
1229.58,,Spot,5,Image 1,1,102,
1279.71,,Spot,5,Image 1,1,103,
242.7,,Spot,5,Image 1,1,104,
913.76,,Spot,5,Image 1,1,105,
222.496,,Spot,5,Image 1,1,106,
159.48,,Spot,5,Image 1,1,107,
60.32,,Spot,5,Image 1,1,108,
1047.57,,Spot,5,Image 1,1,109,
675.481,,Spot,5,Image 1,1,110,
1653.3,,Spot,5,Image 1,1,111,
489.61,,Spot,5,Image 1,1,122,
39.461,,Spot,5,Image 1,1,125,
949.608,,Spot,5,Image 1,1,128,
573.6,,Spot,5,Image 1,1,130,
2121.56,,Spot,5,Image 1,1,131,
2301.24,,Spot,5,Image 1,1,132,
1885.39,,Spot,5,Image 1,1,133,
1586.6,,Spot,5,Image 1,1,134,
1982.77,,Spot,5,Image 1,1,135,
424.36,,Spot,5,Image 1,1,136,
1355,,Spot,5,Image 1,1,137,
841.02,,Spot,5,Image 1,1,138,
2759.7,,Spot,5,Image 1,1,139,
1463.82,,Spot,5,Image 1,1,140,
2678.04,,Spot,5,Image 1,1,141,
4574.02,,Spot,5,Image 1,1,142,
1114.13,,Spot,5,Image 1,1,143,
1482.05,,Spot,5,Image 1,1,144,
1655.22,,Spot,5,Image 1,1,145,
1371.62,,Spot,5,Image 1,1,146,
655.22,,Spot,5,Image 1,1,147,
1763.78,,Spot,5,Image 1,1,150,
2402.7,,Spot,5,Image 1,1,151,
2051.3,,Spot,5,Image 1,1,152,
1451.13,,Spot,5,Image 1,1,154,
895.6,,Spot,5,Image 1,1,155,
391.64,,Spot,5,Image 1,1,156,
2725.51,,Spot,5,Image 1,1,157,
3013.18,,Spot,5,Image 1,1,158,
4158.46,,Spot,5,Image 1,1,159,
1370.58,,Spot,5,Image 1,1,160,
1477.95,,Spot,5,Image 1,1,161,
1005.19,,Spot,5,Image 1,1,162,
712.184,,Spot,5,Image 1,1,163,
94.608,,Spot,5,Image 1,1,164,
1073.15,,Spot,5,Image 1,1,167,
894.976,,Spot,5,Image 1,1,168,
817.464,,Spot,5,Image 1,1,169,
977.84,,Spot,5,Image 1,1,170,
803.5,,Spot,5,Image 1,1,171,
575.408,,Spot,5,Image 1,1,172,
1038.77,,Spot,5,Image 1,1,173,
1133.5,,Spot,5,Image 1,1,174,
724.942,,Spot,5,Image 1,1,175,
196.64,,Spot,5,Image 1,1,233,
3779.68,,Spot,5,Image 1,1,234,
2552.14,,Spot,5,Image 1,1,238,
144.088,,Spot,5,Image 1,1,240,
280.536,,Spot,5,Image 1,1,246,
41.172,,Spot,5,Image 1,1,247,
385.954,,Spot,5,Image 1,1,248,
117.068,,Spot,5,Image 1,1,253,
961.248,,Spot,5,Image 1,1,262,
2008.78,,Spot,5,Image 1,1,263,
263.74,,Spot,5,Image 1,1,264,
3129.47,,Spot,5,Image 1,1,267,
1446.55,,Spot,5,Image 1,1,269,
4674.73,,Spot,5,Image 1,1,270,
3383.06,,Spot,5,Image 1,1,271,
4182.54,,Spot,5,Image 1,1,273,
205.55,,Spot,5,Image 1,1,274,
2978.12,,Spot,5,Image 1,1,275,
1823.36,,Spot,5,Image 1,1,276,
2504.34,,Spot,5,Image 1,1,277,
1136.76,,Spot,5,Image 1,1,278,
2870.84,,Spot,5,Image 1,1,279,
1521.83,,Spot,5,Image 1,1,280,
1492.54,,Spot,5,Image 1,1,281,
992.68,,Spot,5,Image 1,1,282,
550.912,,Spot,5,Image 1,1,283,
1928.51,,Spot,5,Image 1,1,284,
534.616,,Spot,5,Image 1,1,285,
2183.08,,Spot,5,Image 1,1,286,
442.352,,Spot,5,Image 1,1,288,
278.248,,Spot,5,Image 1,1,292,
2810.4,,Spot,5,Image 1,1,294,
1650.71,,Spot,5,Image 1,1,296,
4432.78,,Spot,5,Image 1,1,297,
2934.22,,Spot,5,Image 1,1,298,
2445.84,,Spot,5,Image 1,1,299,
4014.48,,Spot,5,Image 1,1,300,
3817.8,,Spot,5,Image 1,1,301,
2443.08,,Spot,5,Image 1,1,302,
3673.93,,Spot,5,Image 1,1,303,
168.64,,Spot,5,Image 1,1,304,
1813.9,,Spot,5,Image 1,1,306,
2145.71,,Spot,5,Image 1,1,308,
1943.8,,Spot,5,Image 1,1,309,
2791.05,,Spot,5,Image 1,1,310,
501.8,,Spot,5,Image 1,1,311,
252.1,,Spot,5,Image 1,1,312,
996.832,,Spot,5,Image 1,1,313,
717.756,,Spot,5,Image 1,1,314,
1148.08,,Spot,5,Image 1,1,315,
2320.4,,Spot,5,Image 1,1,316,
236.916,,Spot,5,Image 1,1,317,
231.15,,Spot,5,Image 1,1,318,
337.076,,Spot,5,Image 1,1,320,
202.56,,Spot,5,Image 1,1,321,
1451.84,,Spot,5,Image 1,1,322,
1645.01,,Spot,5,Image 1,1,366,
125.36,,Spot,5,Image 1,1,374,
85.408,,Spot,5,Image 1,1,376,
564.7,,Spot,5,Image 1,1,389,
292.712,,Spot,5,Image 1,1,390,
3161.04,,Spot,5,Image 1,1,391,
4426.74,,Spot,5,Image 1,1,392,
3689.29,,Spot,5,Image 1,1,393,
2457.2,,Spot,5,Image 1,1,394,
2114.64,,Spot,5,Image 1,1,395,
2908.41,,Spot,5,Image 1,1,396,
3048.62,,Spot,5,Image 1,1,398,
2798.71,,Spot,5,Image 1,1,399,
842.704,,Spot,5,Image 1,1,400,
1118,,Spot,5,Image 1,1,401,
3155.29,,Spot,5,Image 1,1,402,
526.532,,Spot,5,Image 1,1,403,
2370.05,,Spot,5,Image 1,1,404,
2472.45,,Spot,5,Image 1,1,405,
1095.65,,Spot,5,Image 1,1,406,
1517.08,,Spot,5,Image 1,1,407,
2281.33,,Spot,5,Image 1,1,408,
479.88,,Spot,5,Image 1,1,409,
325.712,,Spot,5,Image 1,1,410,
362.568,,Spot,5,Image 1,1,411,
1183.59,,Spot,5,Image 1,1,412,
440.6,,Spot,5,Image 1,1,413,
1399.54,,Spot,5,Image 1,1,414,
533.448,,Spot,5,Image 1,1,416,
616.472,,Spot,5,Image 1,1,421,
997.384,,Spot,5,Image 1,1,423,
78.48,,Spot,5,Image 1,1,425,
2439.45,,Spot,5,Image 1,1,426,
141.6,,Spot,5,Image 1,1,427,
3285.11,,Spot,5,Image 1,1,428,
2581.54,,Spot,5,Image 1,1,429,
1517.97,,Spot,5,Image 1,1,431,
2462.96,,Spot,5,Image 1,1,432,
1575.1,,Spot,5,Image 1,1,434,
1141.5,,Spot,5,Image 1,1,435,
413.624,,Spot,5,Image 1,1,436,
2444.17,,Spot,5,Image 1,1,437,
1665.78,,Spot,5,Image 1,1,438,
324.44,,Spot,5,Image 1,1,439,
1648.71,,Spot,5,Image 1,1,440,
516.384,,Spot,5,Image 1,1,441,
447.174,,Spot,5,Image 1,1,442,
1914.16,,Spot,5,Image 1,1,443,
1583.24,,Spot,5,Image 1,1,444,
2174.47,,Spot,5,Image 1,1,445,
2092.79,,Spot,5,Image 1,1,446,
3620.5,,Spot,5,Image 1,1,512,
3612.33,,Spot,5,Image 1,1,514,
1300.21,,Spot,5,Image 1,1,517,
2244.2,,Spot,5,Image 1,1,518,
3052.55,,Spot,5,Image 1,1,519,
2645.58,,Spot,5,Image 1,1,520,
3376.61,,Spot,5,Image 1,1,521,
329.408,,Spot,5,Image 1,1,522,
1563.81,,Spot,5,Image 1,1,523,
2091.34,,Spot,5,Image 1,1,524,
691,,Spot,5,Image 1,1,525,
724.086,,Spot,5,Image 1,1,526,
1281.11,,Spot,5,Image 1,1,527,
1476.8,,Spot,5,Image 1,1,528,
2638.07,,Spot,5,Image 1,1,529,
423.502,,Spot,5,Image 1,1,530,
857.888,,Spot,5,Image 1,1,531,
2474.83,,Spot,5,Image 1,1,547,
2319.06,,Spot,5,Image 1,1,550,
3165.29,,Spot,5,Image 1,1,551,
1168.91,,Spot,5,Image 1,1,552,
3058.35,,Spot,5,Image 1,1,554,
1392.63,,Spot,5,Image 1,1,557,
1806.31,,Spot,5,Image 1,1,558,
540.976,,Spot,5,Image 1,1,559,
1397.4,,Spot,5,Image 1,1,560,
2002.82,,Spot,5,Image 1,1,603,
3871.05,,Spot,5,Image 1,1,53019,
3383.69,,Spot,5,Image 1,1,53020,
3349.5,,Spot,5,Image 1,1,53022,
463.952,,Spot,5,Image 1,1,53023,
61.824,,Spot,5,Image 1,1,53024,
877.36,,Spot,5,Image 1,1,53025,
1703.39,,Spot,5,Image 1,1,53027,
2210.02,,Spot,5,Image 1,1,53028,
32.256,,Spot,5,Image 1,1,53029,
32.256,,Spot,5,Image 1,1,53030,
24.938,,Spot,5,Image 1,1,53031,
49.202,,Spot,5,Image 1,1,53032,
200.592,,Spot,5,Image 1,1,53033,
64.24,,Spot,5,Image 1,1,53034,
3.28,,Spot,5,Image 1,1,53035,
1163.74,,Spot,5,Image 1,1,53036,
1765.5,,Spot,5,Image 1,1,53037,
1454.82,,Spot,5,Image 1,1,53038,
1582.62,,Spot,5,Image 1,1,53039,
1112.15,,Spot,5,Image 1,1,53040,
1114.2,,Spot,5,Image 1,1,53041,
943.21,,Spot,5,Image 1,1,53042,
830.936,,Spot,5,Image 1,1,53043,
341.28,,Spot,5,Image 1,1,53044,
2514.9,,Spot,5,Image 1,1,53045,
386.488,,Spot,5,Image 1,1,53046,
110.4,,Spot,5,Image 1,1,53048,
98.712,,Spot,5,Image 1,1,53049,
1170.56,,Spot,5,Image 1,1,53050,
115.304,,Spot,5,Image 1,1,53052,
933.12,,Spot,5,Image 1,1,53053,
1186.39,,Spot,5,Image 1,1,53055,
2022.92,,Spot,5,Image 1,1,53056,
1873.13,,Spot,5,Image 1,1,53057,
1516.5,,Spot,5,Image 1,1,53058,
1805.9,,Spot,5,Image 1,1,53059,
1865.04,,Spot,5,Image 1,1,53060,
1553.66,,Spot,5,Image 1,1,53061,
1956.71,,Spot,5,Image 1,1,53062,
1487.9,,Spot,5,Image 1,1,53063,
1542.91,,Spot,5,Image 1,1,53065,
4199.86,,Spot,5,Image 1,1,53066,
3542.3,,Spot,5,Image 1,1,53067,
301.516,,Spot,5,Image 1,1,53068,
737.704,,Spot,5,Image 1,1,53069,
536.081,,Spot,5,Image 1,1,53071,
442.808,,Spot,5,Image 1,1,53072,
2562.31,,Spot,5,Image 1,1,53073,
2395.28,,Spot,5,Image 1,1,53075,
