
Time
 ==================== 
Time,Unit,Category,Time,ID,
0,s,Spot,1,53041,
0,s,Spot,1,53042,
0,s,Spot,1,53043,
0,s,Spot,1,53044,
0,s,Spot,1,53045,
0,s,Spot,1,53046,
0,s,Spot,1,53048,
0,s,Spot,1,53049,
0,s,Spot,1,53050,
0,s,Spot,1,53052,
0,s,Spot,1,53053,
0,s,Spot,1,53055,
0,s,Spot,1,53056,
0,s,Spot,1,53057,
0,s,Spot,1,53058,
0,s,Spot,1,53059,
0,s,Spot,1,53060,
0,s,Spot,1,53061,
0,s,Spot,1,53062,
0,s,Spot,1,53063,
0,s,Spot,1,53065,
0,s,Spot,1,53066,
0,s,Spot,1,53067,
0,s,Spot,1,53068,
0,s,Spot,1,53069,
0,s,Spot,1,53071,
0,s,Spot,1,53072,
0,s,Spot,1,53073,
0,s,Spot,1,53075,
0,s,Spot,1,53078,
0,s,Spot,1,53079,
0,s,Spot,1,53080,
0,s,Spot,1,53081,
0,s,Spot,1,53082,
0,s,Spot,1,53083,
0,s,Spot,1,53084,
0,s,Spot,1,53085,
0,s,Spot,1,53086,
0,s,Spot,1,53087,
0,s,Spot,1,53088,
0,s,Spot,1,53090,
0,s,Spot,1,53091,
0,s,Spot,1,53092,
0,s,Spot,1,53094,
0,s,Spot,1,53095,
0,s,Spot,1,53096,
0,s,Spot,1,53097,
0,s,Spot,1,53098,
0,s,Spot,1,53099,
0,s,Spot,1,53100,
0,s,Spot,1,53101,
0,s,Spot,1,53102,
0,s,Spot,1,53103,
0,s,Spot,1,53104,
0,s,Spot,1,53105,
0,s,Spot,1,53106,
0,s,Spot,1,53107,
0,s,Spot,1,53108,
0,s,Spot,1,53109,
0,s,Spot,1,53110,
0,s,Spot,1,53111,
0,s,Spot,1,53112,
0,s,Spot,1,53113,
0,s,Spot,1,53115,
0,s,Spot,1,53116,
0,s,Spot,1,53118,
0,s,Spot,1,53119,
0,s,Spot,1,53120,
0,s,Spot,1,53121,
0,s,Spot,1,53122,
0,s,Spot,1,53123,
0,s,Spot,1,53124,
0,s,Spot,1,53125,
0,s,Spot,1,53126,
0,s,Spot,1,53127,
0,s,Spot,1,53128,
0,s,Spot,1,53129,
0,s,Spot,1,53130,
0,s,Spot,1,53131,
0,s,Spot,1,53132,
0,s,Spot,1,53133,
0,s,Spot,1,53134,
0,s,Spot,1,53135,
0,s,Spot,1,53136,
0,s,Spot,1,53137,
0,s,Spot,1,53138,
0,s,Spot,1,53140,
0,s,Spot,1,53141,
0,s,Spot,1,53142,
0,s,Spot,1,53143,
0,s,Spot,1,53144,
0,s,Spot,1,53145,
0,s,Spot,1,53146,
0,s,Spot,1,53147,
0,s,Spot,1,53148,
0,s,Spot,1,53149,
0,s,Spot,1,53150,
0,s,Spot,1,53152,
0,s,Spot,1,53154,
0,s,Spot,1,53155,
0,s,Spot,1,53157,
0,s,Spot,1,53159,
0,s,Spot,1,53160,
0,s,Spot,1,53163,
0,s,Spot,1,53164,
0,s,Spot,1,53165,
0,s,Spot,1,53166,
0,s,Spot,1,53167,
0,s,Spot,1,53168,
0,s,Spot,1,53169,
0,s,Spot,1,53170,
0,s,Spot,1,53171,
0,s,Spot,1,53172,
0,s,Spot,1,53173,
0,s,Spot,1,53174,
0,s,Spot,1,53175,
0,s,Spot,1,53176,
0,s,Spot,1,53177,
0,s,Spot,1,53179,
0,s,Spot,1,53180,
0,s,Spot,1,53181,
0,s,Spot,1,53182,
0,s,Spot,1,53183,
0,s,Spot,1,53184,
0,s,Spot,1,53185,
0,s,Spot,1,53186,
0,s,Spot,1,53187,
0,s,Spot,1,53188,
0,s,Spot,1,53189,
0,s,Spot,1,53190,
0,s,Spot,1,53191,
0,s,Spot,1,53192,
0,s,Spot,1,53193,
0,s,Spot,1,53194,
0,s,Spot,1,53195,
0,s,Spot,1,53196,
0,s,Spot,1,53197,
0,s,Spot,1,53198,
0,s,Spot,1,53199,
0,s,Spot,1,53200,
0,s,Spot,1,53201,
0,s,Spot,1,53203,
0,s,Spot,1,53204,
0,s,Spot,1,53205,
0,s,Spot,1,53206,
0,s,Spot,1,53207,
0,s,Spot,1,53208,
0,s,Spot,1,53209,
0,s,Spot,1,53210,
0,s,Spot,1,53211,
0,s,Spot,1,53212,
0,s,Spot,1,53213,
0,s,Spot,1,53214,
0,s,Spot,1,53215,
0,s,Spot,1,53216,
0,s,Spot,1,53217,
0,s,Spot,1,53218,
0,s,Spot,1,53219,
0,s,Spot,1,53220,
0,s,Spot,1,53221,
0,s,Spot,1,53222,
0,s,Spot,1,53225,
0,s,Spot,1,53226,
0,s,Spot,1,53227,
0,s,Spot,1,53228,
0,s,Spot,1,53229,
0,s,Spot,1,53230,
0,s,Spot,1,53231,
0,s,Spot,1,53232,
0,s,Spot,1,53233,
0,s,Spot,1,53234,
0,s,Spot,1,53235,
358.653,s,Spot,2,53236,
358.653,s,Spot,2,53237,
358.653,s,Spot,2,53238,
358.653,s,Spot,2,53239,
358.653,s,Spot,2,53240,
358.653,s,Spot,2,53241,
358.653,s,Spot,2,53242,
358.653,s,Spot,2,53243,
358.653,s,Spot,2,53244,
358.653,s,Spot,2,53245,
358.653,s,Spot,2,53246,
358.653,s,Spot,2,53247,
358.653,s,Spot,2,53248,
358.653,s,Spot,2,53249,
358.653,s,Spot,2,53250,
358.653,s,Spot,2,53251,
358.653,s,Spot,2,53252,
358.653,s,Spot,2,53253,
358.653,s,Spot,2,53254,
358.653,s,Spot,2,53255,
358.653,s,Spot,2,53256,
358.653,s,Spot,2,53257,
358.653,s,Spot,2,53258,
358.653,s,Spot,2,53259,
358.653,s,Spot,2,53260,
358.653,s,Spot,2,53261,
358.653,s,Spot,2,53262,
358.653,s,Spot,2,53263,
358.653,s,Spot,2,53264,
358.653,s,Spot,2,53265,
358.653,s,Spot,2,53266,
358.653,s,Spot,2,53267,
358.653,s,Spot,2,53268,
358.653,s,Spot,2,53269,
358.653,s,Spot,2,53270,
358.653,s,Spot,2,53271,
358.653,s,Spot,2,53272,
358.653,s,Spot,2,53273,
358.653,s,Spot,2,53274,
358.653,s,Spot,2,53275,
358.653,s,Spot,2,53276,
358.653,s,Spot,2,53277,
358.653,s,Spot,2,53278,
358.653,s,Spot,2,53279,
358.653,s,Spot,2,53280,
358.653,s,Spot,2,53281,
358.653,s,Spot,2,53282,
358.653,s,Spot,2,53283,
358.653,s,Spot,2,53284,
358.653,s,Spot,2,53285,
358.653,s,Spot,2,53286,
358.653,s,Spot,2,53287,
358.653,s,Spot,2,53288,
358.653,s,Spot,2,53289,
358.653,s,Spot,2,53290,
358.653,s,Spot,2,53291,
358.653,s,Spot,2,53292,
358.653,s,Spot,2,53293,
358.653,s,Spot,2,53294,
358.653,s,Spot,2,53295,
358.653,s,Spot,2,53296,
358.653,s,Spot,2,53297,
358.653,s,Spot,2,53298,
358.653,s,Spot,2,53299,
358.653,s,Spot,2,53300,
358.653,s,Spot,2,53301,
358.653,s,Spot,2,53302,
358.653,s,Spot,2,53303,
358.653,s,Spot,2,53304,
358.653,s,Spot,2,53305,
358.653,s,Spot,2,53306,
358.653,s,Spot,2,53307,
358.653,s,Spot,2,53308,
358.653,s,Spot,2,53309,
358.653,s,Spot,2,53310,
358.653,s,Spot,2,53311,
358.653,s,Spot,2,53312,
358.653,s,Spot,2,53313,
358.653,s,Spot,2,53314,
358.653,s,Spot,2,53315,
358.653,s,Spot,2,53316,
358.653,s,Spot,2,53317,
358.653,s,Spot,2,53318,
358.653,s,Spot,2,53319,
358.653,s,Spot,2,53320,
358.653,s,Spot,2,53321,
358.653,s,Spot,2,53322,
358.653,s,Spot,2,53323,
358.653,s,Spot,2,53324,
358.653,s,Spot,2,53325,
358.653,s,Spot,2,53326,
358.653,s,Spot,2,53327,
358.653,s,Spot,2,53328,
358.653,s,Spot,2,53329,
358.653,s,Spot,2,53330,
358.653,s,Spot,2,53331,
358.653,s,Spot,2,53332,
358.653,s,Spot,2,53333,
358.653,s,Spot,2,53334,
358.653,s,Spot,2,53335,
358.653,s,Spot,2,53336,
358.653,s,Spot,2,53337,
358.653,s,Spot,2,53338,
358.653,s,Spot,2,53339,
358.653,s,Spot,2,53340,
358.653,s,Spot,2,53341,
358.653,s,Spot,2,53342,
358.653,s,Spot,2,53343,
358.653,s,Spot,2,53344,
358.653,s,Spot,2,53345,
358.653,s,Spot,2,53346,
358.653,s,Spot,2,53347,
358.653,s,Spot,2,53348,
358.653,s,Spot,2,53349,
358.653,s,Spot,2,53350,
358.653,s,Spot,2,53351,
358.653,s,Spot,2,53352,
358.653,s,Spot,2,53353,
358.653,s,Spot,2,53354,
358.653,s,Spot,2,53355,
358.653,s,Spot,2,53356,
358.653,s,Spot,2,53357,
358.653,s,Spot,2,53358,
358.653,s,Spot,2,53359,
358.653,s,Spot,2,53360,
358.653,s,Spot,2,53361,
358.653,s,Spot,2,53362,
358.653,s,Spot,2,53363,
358.653,s,Spot,2,53364,
358.653,s,Spot,2,53365,
358.653,s,Spot,2,53366,
358.653,s,Spot,2,53367,
358.653,s,Spot,2,53368,
358.653,s,Spot,2,53369,
358.653,s,Spot,2,53370,
358.653,s,Spot,2,53371,
358.653,s,Spot,2,53372,
358.653,s,Spot,2,53373,
358.653,s,Spot,2,53374,
358.653,s,Spot,2,53375,
358.653,s,Spot,2,53376,
358.653,s,Spot,2,53377,
358.653,s,Spot,2,53378,
358.653,s,Spot,2,53379,
358.653,s,Spot,2,53380,
358.653,s,Spot,2,53381,
358.653,s,Spot,2,53382,
358.653,s,Spot,2,53383,
358.653,s,Spot,2,53384,
358.653,s,Spot,2,53385,
358.653,s,Spot,2,53386,
358.653,s,Spot,2,53387,
358.653,s,Spot,2,53388,
358.653,s,Spot,2,53389,
358.653,s,Spot,2,53390,
358.653,s,Spot,2,53391,
358.653,s,Spot,2,53392,
358.653,s,Spot,2,53393,
358.653,s,Spot,2,53394,
358.653,s,Spot,2,53395,
358.653,s,Spot,2,53396,
358.653,s,Spot,2,53397,
358.653,s,Spot,2,53398,
358.653,s,Spot,2,53399,
358.653,s,Spot,2,53400,
358.653,s,Spot,2,53401,
358.653,s,Spot,2,53402,
358.653,s,Spot,2,53403,
358.653,s,Spot,2,53404,
358.653,s,Spot,2,53405,
358.653,s,Spot,2,53406,
358.653,s,Spot,2,53407,
358.653,s,Spot,2,53408,
358.653,s,Spot,2,53409,
358.653,s,Spot,2,53410,
358.653,s,Spot,2,53411,
358.653,s,Spot,2,53412,
358.653,s,Spot,2,53413,
358.653,s,Spot,2,53414,
358.653,s,Spot,2,53415,
358.653,s,Spot,2,53416,
358.653,s,Spot,2,53417,
358.653,s,Spot,2,53418,
358.653,s,Spot,2,53419,
358.653,s,Spot,2,53420,
358.653,s,Spot,2,53421,
358.653,s,Spot,2,53422,
358.653,s,Spot,2,53423,
358.653,s,Spot,2,53424,
358.653,s,Spot,2,53425,
358.653,s,Spot,2,53426,
358.653,s,Spot,2,53427,
358.653,s,Spot,2,53428,
358.653,s,Spot,2,53429,
358.653,s,Spot,2,53430,
358.653,s,Spot,2,53431,
358.653,s,Spot,2,53432,
358.653,s,Spot,2,53433,
358.653,s,Spot,2,53434,
358.653,s,Spot,2,53435,
358.653,s,Spot,2,53436,
358.653,s,Spot,2,53437,
358.653,s,Spot,2,53438,
358.653,s,Spot,2,53439,
358.653,s,Spot,2,53440,
358.653,s,Spot,2,53441,
358.653,s,Spot,2,53442,
358.653,s,Spot,2,53443,
358.653,s,Spot,2,53444,
358.653,s,Spot,2,53445,
358.653,s,Spot,2,53446,
358.653,s,Spot,2,53447,
358.653,s,Spot,2,53448,
358.653,s,Spot,2,53449,
358.653,s,Spot,2,53450,
358.653,s,Spot,2,53451,
358.653,s,Spot,2,53452,
358.653,s,Spot,2,53453,
358.653,s,Spot,2,53454,
358.653,s,Spot,2,53455,
358.653,s,Spot,2,53456,
358.653,s,Spot,2,53457,
358.653,s,Spot,2,53458,
358.653,s,Spot,2,53459,
358.653,s,Spot,2,53460,
358.653,s,Spot,2,53461,
358.653,s,Spot,2,53462,
358.653,s,Spot,2,53463,
358.653,s,Spot,2,53464,
358.653,s,Spot,2,53465,
358.653,s,Spot,2,53466,
358.653,s,Spot,2,53467,
358.653,s,Spot,2,53468,
358.653,s,Spot,2,53469,
358.653,s,Spot,2,53470,
358.653,s,Spot,2,53471,
358.653,s,Spot,2,53472,
358.653,s,Spot,2,53473,
358.653,s,Spot,2,53474,
358.653,s,Spot,2,53475,
358.653,s,Spot,2,53476,
358.653,s,Spot,2,53477,
358.653,s,Spot,2,53478,
358.653,s,Spot,2,53479,
358.653,s,Spot,2,53480,
358.653,s,Spot,2,53481,
358.653,s,Spot,2,53482,
358.653,s,Spot,2,53483,
358.653,s,Spot,2,53484,
358.653,s,Spot,2,53485,
358.653,s,Spot,2,53486,
358.653,s,Spot,2,53487,
358.653,s,Spot,2,53488,
358.653,s,Spot,2,53489,
358.653,s,Spot,2,53490,
358.653,s,Spot,2,53491,
358.653,s,Spot,2,53492,
358.653,s,Spot,2,53493,
358.653,s,Spot,2,53494,
358.653,s,Spot,2,53495,
358.653,s,Spot,2,53496,
358.653,s,Spot,2,53497,
717.731,s,Spot,3,53498,
717.731,s,Spot,3,53499,
717.731,s,Spot,3,53500,
717.731,s,Spot,3,53501,
717.731,s,Spot,3,53502,
717.731,s,Spot,3,53503,
717.731,s,Spot,3,53504,
717.731,s,Spot,3,53505,
717.731,s,Spot,3,53506,
717.731,s,Spot,3,53507,
717.731,s,Spot,3,53508,
717.731,s,Spot,3,53509,
717.731,s,Spot,3,53510,
717.731,s,Spot,3,53511,
717.731,s,Spot,3,53512,
717.731,s,Spot,3,53513,
717.731,s,Spot,3,53514,
717.731,s,Spot,3,53515,
717.731,s,Spot,3,53516,
717.731,s,Spot,3,53517,
717.731,s,Spot,3,53518,
717.731,s,Spot,3,53519,
717.731,s,Spot,3,53520,
717.731,s,Spot,3,53521,
717.731,s,Spot,3,53522,
717.731,s,Spot,3,53523,
717.731,s,Spot,3,53524,
717.731,s,Spot,3,53525,
717.731,s,Spot,3,53526,
717.731,s,Spot,3,53527,
717.731,s,Spot,3,53528,
717.731,s,Spot,3,53529,
717.731,s,Spot,3,53530,
717.731,s,Spot,3,53531,
717.731,s,Spot,3,53532,
717.731,s,Spot,3,53533,
717.731,s,Spot,3,53534,
717.731,s,Spot,3,53535,
717.731,s,Spot,3,53536,
717.731,s,Spot,3,53537,
717.731,s,Spot,3,53538,
717.731,s,Spot,3,53539,
717.731,s,Spot,3,53540,
717.731,s,Spot,3,53541,
717.731,s,Spot,3,53542,
717.731,s,Spot,3,53543,
717.731,s,Spot,3,53544,
717.731,s,Spot,3,53545,
717.731,s,Spot,3,53546,
717.731,s,Spot,3,53547,
717.731,s,Spot,3,53548,
717.731,s,Spot,3,53549,
717.731,s,Spot,3,53550,
