
Intensity Mean Ch=2 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
2368.05,,Spot,2,Image 1,1,322,
3341.24,,Spot,2,Image 1,1,366,
2208.22,,Spot,2,Image 1,1,374,
2835.09,,Spot,2,Image 1,1,376,
2431.03,,Spot,2,Image 1,1,389,
4129.79,,Spot,2,Image 1,1,390,
2709,,Spot,2,Image 1,1,391,
3216.85,,Spot,2,Image 1,1,392,
2900.37,,Spot,2,Image 1,1,393,
2998.1,,Spot,2,Image 1,1,394,
2800.29,,Spot,2,Image 1,1,395,
2874.77,,Spot,2,Image 1,1,396,
2571.17,,Spot,2,Image 1,1,398,
3185.84,,Spot,2,Image 1,1,399,
2413.22,,Spot,2,Image 1,1,400,
2475.95,,Spot,2,Image 1,1,401,
2707.78,,Spot,2,Image 1,1,402,
3771.63,,Spot,2,Image 1,1,403,
3043.68,,Spot,2,Image 1,1,404,
2963.46,,Spot,2,Image 1,1,405,
1749.26,,Spot,2,Image 1,1,406,
1931.48,,Spot,2,Image 1,1,407,
3523.28,,Spot,2,Image 1,1,408,
1543.25,,Spot,2,Image 1,1,409,
4460.15,,Spot,2,Image 1,1,410,
2957,,Spot,2,Image 1,1,411,
3213.54,,Spot,2,Image 1,1,412,
1843.52,,Spot,2,Image 1,1,413,
3798.57,,Spot,2,Image 1,1,414,
2449.7,,Spot,2,Image 1,1,416,
2594.74,,Spot,2,Image 1,1,421,
1984.36,,Spot,2,Image 1,1,423,
2286.69,,Spot,2,Image 1,1,425,
4842.5,,Spot,2,Image 1,1,426,
2325.47,,Spot,2,Image 1,1,427,
1548.28,,Spot,2,Image 1,1,428,
3134.82,,Spot,2,Image 1,1,429,
2406.55,,Spot,2,Image 1,1,431,
3982.04,,Spot,2,Image 1,1,432,
2495.75,,Spot,2,Image 1,1,434,
1343.89,,Spot,2,Image 1,1,435,
2817.99,,Spot,2,Image 1,1,436,
3275.05,,Spot,2,Image 1,1,437,
1926.85,,Spot,2,Image 1,1,438,
2442.6,,Spot,2,Image 1,1,439,
2440.12,,Spot,2,Image 1,1,440,
2661.47,,Spot,2,Image 1,1,441,
2499.83,,Spot,2,Image 1,1,442,
3086.92,,Spot,2,Image 1,1,443,
1583.67,,Spot,2,Image 1,1,444,
1520.67,,Spot,2,Image 1,1,445,
2702.92,,Spot,2,Image 1,1,446,
