
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
0,,Spot,2,Image 1,1,3,
203,,Spot,2,Image 1,1,15,
105,,Spot,2,Image 1,1,18,
0,,Spot,2,Image 1,1,40,
0,,Spot,2,Image 1,1,41,
655,,Spot,2,Image 1,1,44,
0,,Spot,2,Image 1,1,63,
130,,Spot,2,Image 1,1,64,
61,,Spot,2,Image 1,1,66,
391,,Spot,2,Image 1,1,70,
0,,Spot,2,Image 1,1,73,
516,,Spot,2,Image 1,1,74,
663,,Spot,2,Image 1,1,76,
66,,Spot,2,Image 1,1,80,
74,,Spot,2,Image 1,1,81,
298,,Spot,2,Image 1,1,82,
403,,Spot,2,Image 1,1,83,
522,,Spot,2,Image 1,1,84,
628,,Spot,2,Image 1,1,85,
59,,Spot,2,Image 1,1,86,
579,,Spot,2,Image 1,1,87,
528,,Spot,2,Image 1,1,88,
163,,Spot,2,Image 1,1,90,
181,,Spot,2,Image 1,1,91,
0,,Spot,2,Image 1,1,92,
0,,Spot,2,Image 1,1,93,
547,,Spot,2,Image 1,1,94,
259,,Spot,2,Image 1,1,95,
259,,Spot,2,Image 1,1,96,
0,,Spot,2,Image 1,1,97,
1017,,Spot,2,Image 1,1,98,
243,,Spot,2,Image 1,1,99,
40,,Spot,2,Image 1,1,100,
1,,Spot,2,Image 1,1,101,
0,,Spot,2,Image 1,1,102,
604,,Spot,2,Image 1,1,103,
1096,,Spot,2,Image 1,1,104,
208,,Spot,2,Image 1,1,105,
5,,Spot,2,Image 1,1,106,
988,,Spot,2,Image 1,1,107,
624,,Spot,2,Image 1,1,108,
0,,Spot,2,Image 1,1,109,
0,,Spot,2,Image 1,1,110,
292,,Spot,2,Image 1,1,111,
0,,Spot,2,Image 1,1,122,
0,,Spot,2,Image 1,1,125,
587,,Spot,2,Image 1,1,128,
0,,Spot,2,Image 1,1,130,
573,,Spot,2,Image 1,1,131,
446,,Spot,2,Image 1,1,132,
355,,Spot,2,Image 1,1,133,
31,,Spot,2,Image 1,1,134,
55,,Spot,2,Image 1,1,135,
407,,Spot,2,Image 1,1,136,
0,,Spot,2,Image 1,1,137,
0,,Spot,2,Image 1,1,138,
478,,Spot,2,Image 1,1,139,
0,,Spot,2,Image 1,1,140,
487,,Spot,2,Image 1,1,141,
688,,Spot,2,Image 1,1,142,
0,,Spot,2,Image 1,1,143,
16,,Spot,2,Image 1,1,144,
0,,Spot,2,Image 1,1,145,
186,,Spot,2,Image 1,1,146,
261,,Spot,2,Image 1,1,147,
0,,Spot,2,Image 1,1,150,
969,,Spot,2,Image 1,1,151,
931,,Spot,2,Image 1,1,152,
165,,Spot,2,Image 1,1,154,
0,,Spot,2,Image 1,1,155,
0,,Spot,2,Image 1,1,156,
782,,Spot,2,Image 1,1,157,
276,,Spot,2,Image 1,1,158,
180,,Spot,2,Image 1,1,159,
215,,Spot,2,Image 1,1,160,
117,,Spot,2,Image 1,1,161,
0,,Spot,2,Image 1,1,162,
0,,Spot,2,Image 1,1,163,
0,,Spot,2,Image 1,1,164,
202,,Spot,2,Image 1,1,167,
205,,Spot,2,Image 1,1,168,
274,,Spot,2,Image 1,1,169,
