
Intensity StdDev Ch=2 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
1256.53,,Spot,2,Image 1,1,390,
811.797,,Spot,2,Image 1,1,391,
987.664,,Spot,2,Image 1,1,392,
808.211,,Spot,2,Image 1,1,393,
856.237,,Spot,2,Image 1,1,394,
908.452,,Spot,2,Image 1,1,395,
803.836,,Spot,2,Image 1,1,396,
867.292,,Spot,2,Image 1,1,398,
1229.07,,Spot,2,Image 1,1,399,
976.765,,Spot,2,Image 1,1,400,
792.714,,Spot,2,Image 1,1,401,
810.552,,Spot,2,Image 1,1,402,
1244.01,,Spot,2,Image 1,1,403,
959.269,,Spot,2,Image 1,1,404,
865.969,,Spot,2,Image 1,1,405,
1124.71,,Spot,2,Image 1,1,406,
884.747,,Spot,2,Image 1,1,407,
854.458,,Spot,2,Image 1,1,408,
674.867,,Spot,2,Image 1,1,409,
976.674,,Spot,2,Image 1,1,410,
817.602,,Spot,2,Image 1,1,411,
976.639,,Spot,2,Image 1,1,412,
654.26,,Spot,2,Image 1,1,413,
987.715,,Spot,2,Image 1,1,414,
795.577,,Spot,2,Image 1,1,416,
792.357,,Spot,2,Image 1,1,421,
851.08,,Spot,2,Image 1,1,423,
823.342,,Spot,2,Image 1,1,425,
1160.36,,Spot,2,Image 1,1,426,
839.428,,Spot,2,Image 1,1,427,
635.251,,Spot,2,Image 1,1,428,
1045.32,,Spot,2,Image 1,1,429,
775.136,,Spot,2,Image 1,1,431,
973.228,,Spot,2,Image 1,1,432,
956.152,,Spot,2,Image 1,1,434,
570.069,,Spot,2,Image 1,1,435,
881.844,,Spot,2,Image 1,1,436,
811.337,,Spot,2,Image 1,1,437,
715.464,,Spot,2,Image 1,1,438,
778.641,,Spot,2,Image 1,1,439,
741.609,,Spot,2,Image 1,1,440,
828.354,,Spot,2,Image 1,1,441,
785.239,,Spot,2,Image 1,1,442,
789.807,,Spot,2,Image 1,1,443,
614.098,,Spot,2,Image 1,1,444,
655.248,,Spot,2,Image 1,1,445,
926.838,,Spot,2,Image 1,1,446,
844.07,,Spot,2,Image 1,1,512,
847.008,,Spot,2,Image 1,1,514,
1231.43,,Spot,2,Image 1,1,517,
1430.53,,Spot,2,Image 1,1,518,
873.302,,Spot,2,Image 1,1,519,
825.905,,Spot,2,Image 1,1,520,
831.623,,Spot,2,Image 1,1,521,
882.962,,Spot,2,Image 1,1,522,
787.472,,Spot,2,Image 1,1,523,
803.924,,Spot,2,Image 1,1,524,
965.28,,Spot,2,Image 1,1,525,
1037.9,,Spot,2,Image 1,1,526,
1057.8,,Spot,2,Image 1,1,527,
697.581,,Spot,2,Image 1,1,528,
647.514,,Spot,2,Image 1,1,529,
902.324,,Spot,2,Image 1,1,530,
874.1,,Spot,2,Image 1,1,531,
878.224,,Spot,2,Image 1,1,547,
921.128,,Spot,2,Image 1,1,550,
956.586,,Spot,2,Image 1,1,551,
601.705,,Spot,2,Image 1,1,552,
719.088,,Spot,2,Image 1,1,554,
1037.92,,Spot,2,Image 1,1,557,
813.969,,Spot,2,Image 1,1,558,
1043.52,,Spot,2,Image 1,1,559,
1084.11,,Spot,2,Image 1,1,560,
835.479,,Spot,2,Image 1,1,603,
833.743,,Spot,2,Image 1,1,53019,
852.654,,Spot,2,Image 1,1,53020,
868.778,,Spot,2,Image 1,1,53022,
765.416,,Spot,2,Image 1,1,53023,
699.368,,Spot,2,Image 1,1,53024,
667.625,,Spot,2,Image 1,1,53025,
855.806,,Spot,2,Image 1,1,53027,
944.819,,Spot,2,Image 1,1,53028,
907.615,,Spot,2,Image 1,1,53029,
767.252,,Spot,2,Image 1,1,53030,
846.049,,Spot,2,Image 1,1,53031,
924.414,,Spot,2,Image 1,1,53032,
858.493,,Spot,2,Image 1,1,53033,
649.015,,Spot,2,Image 1,1,53034,
818.99,,Spot,2,Image 1,1,53035,
1412.49,,Spot,2,Image 1,1,53036,
1094.79,,Spot,2,Image 1,1,53037,
1006.05,,Spot,2,Image 1,1,53038,
866.243,,Spot,2,Image 1,1,53039,
1179.67,,Spot,2,Image 1,1,53040,
792.261,,Spot,2,Image 1,1,53041,
901.179,,Spot,2,Image 1,1,53042,
957.66,,Spot,2,Image 1,1,53043,
802.152,,Spot,2,Image 1,1,53044,
740.633,,Spot,2,Image 1,1,53045,
788.361,,Spot,2,Image 1,1,53046,
775.732,,Spot,2,Image 1,1,53048,
915.068,,Spot,2,Image 1,1,53049,
630.821,,Spot,2,Image 1,1,53050,
723.64,,Spot,2,Image 1,1,53052,
637.226,,Spot,2,Image 1,1,53053,
691.991,,Spot,2,Image 1,1,53055,
793.981,,Spot,2,Image 1,1,53056,
913.009,,Spot,2,Image 1,1,53057,
650.884,,Spot,2,Image 1,1,53058,
895.127,,Spot,2,Image 1,1,53059,
597.271,,Spot,2,Image 1,1,53060,
743.131,,Spot,2,Image 1,1,53061,
602.901,,Spot,2,Image 1,1,53062,
762.986,,Spot,2,Image 1,1,53063,
800.37,,Spot,2,Image 1,1,53065,
703.622,,Spot,2,Image 1,1,53066,
706.899,,Spot,2,Image 1,1,53067,
630.716,,Spot,2,Image 1,1,53068,
591.599,,Spot,2,Image 1,1,53069,
661.617,,Spot,2,Image 1,1,53071,
546.409,,Spot,2,Image 1,1,53072,
920.092,,Spot,2,Image 1,1,53073,
1306.67,,Spot,2,Image 1,1,53075,
999.575,,Spot,2,Image 1,1,53078,
966.572,,Spot,2,Image 1,1,53079,
818.89,,Spot,2,Image 1,1,53080,
829.721,,Spot,2,Image 1,1,53081,
881.47,,Spot,2,Image 1,1,53082,
863.977,,Spot,2,Image 1,1,53083,
1041.11,,Spot,2,Image 1,1,53084,
1068.17,,Spot,2,Image 1,1,53085,
959.152,,Spot,2,Image 1,1,53086,
869.929,,Spot,2,Image 1,1,53087,
780.868,,Spot,2,Image 1,1,53088,
833.183,,Spot,2,Image 1,1,53090,
809.564,,Spot,2,Image 1,1,53091,
724.961,,Spot,2,Image 1,1,53092,
757.335,,Spot,2,Image 1,1,53094,
573.518,,Spot,2,Image 1,1,53095,
697.255,,Spot,2,Image 1,1,53096,
797.619,,Spot,2,Image 1,1,53097,
809.677,,Spot,2,Image 1,1,53098,
796.787,,Spot,2,Image 1,1,53099,
786.703,,Spot,2,Image 1,1,53100,
800.745,,Spot,2,Image 1,1,53101,
881.983,,Spot,2,Image 1,1,53102,
843.963,,Spot,2,Image 1,1,53103,
811.372,,Spot,2,Image 1,1,53104,
846.862,,Spot,2,Image 1,1,53105,
767.782,,Spot,2,Image 1,1,53106,
754.308,,Spot,2,Image 1,1,53107,
860.213,,Spot,2,Image 1,1,53108,
851.632,,Spot,2,Image 1,1,53109,
1046.72,,Spot,2,Image 1,1,53110,
844.974,,Spot,2,Image 1,1,53111,
901.979,,Spot,2,Image 1,1,53112,
974.771,,Spot,2,Image 1,1,53113,
939.176,,Spot,2,Image 1,1,53115,
946.717,,Spot,2,Image 1,1,53116,
703.687,,Spot,2,Image 1,1,53118,
770.722,,Spot,2,Image 1,1,53119,
630.102,,Spot,2,Image 1,1,53120,
629.026,,Spot,2,Image 1,1,53121,
620.12,,Spot,2,Image 1,1,53122,
638.248,,Spot,2,Image 1,1,53123,
678.538,,Spot,2,Image 1,1,53124,
672.8,,Spot,2,Image 1,1,53125,
688.286,,Spot,2,Image 1,1,53126,
585.334,,Spot,2,Image 1,1,53127,
648.973,,Spot,2,Image 1,1,53128,
648.256,,Spot,2,Image 1,1,53129,
729.539,,Spot,2,Image 1,1,53130,
941.761,,Spot,2,Image 1,1,53131,
783.541,,Spot,2,Image 1,1,53132,
