
Intensity Max Ch=3 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
5662,,Spot,3,Image 1,1,3,
1552,,Spot,3,Image 1,1,15,
2245,,Spot,3,Image 1,1,18,
2303,,Spot,3,Image 1,1,40,
2171,,Spot,3,Image 1,1,41,
1031,,Spot,3,Image 1,1,44,
5984,,Spot,3,Image 1,1,63,
2947,,Spot,3,Image 1,1,64,
4455,,Spot,3,Image 1,1,66,
5357,,Spot,3,Image 1,1,70,
4555,,Spot,3,Image 1,1,73,
4840,,Spot,3,Image 1,1,74,
4879,,Spot,3,Image 1,1,76,
3346,,Spot,3,Image 1,1,80,
3688,,Spot,3,Image 1,1,81,
3978,,Spot,3,Image 1,1,82,
5554,,Spot,3,Image 1,1,83,
5962,,Spot,3,Image 1,1,84,
6920,,Spot,3,Image 1,1,85,
4755,,Spot,3,Image 1,1,86,
5300,,Spot,3,Image 1,1,87,
6060,,Spot,3,Image 1,1,88,
4386,,Spot,3,Image 1,1,90,
4728,,Spot,3,Image 1,1,91,
5011,,Spot,3,Image 1,1,92,
2693,,Spot,3,Image 1,1,93,
5547,,Spot,3,Image 1,1,94,
3976,,Spot,3,Image 1,1,95,
4085,,Spot,3,Image 1,1,96,
3505,,Spot,3,Image 1,1,97,
3403,,Spot,3,Image 1,1,98,
4045,,Spot,3,Image 1,1,99,
5453,,Spot,3,Image 1,1,100,
4647,,Spot,3,Image 1,1,101,
3070,,Spot,3,Image 1,1,102,
3491,,Spot,3,Image 1,1,103,
1839,,Spot,3,Image 1,1,104,
2860,,Spot,3,Image 1,1,105,
1844,,Spot,3,Image 1,1,106,
2161,,Spot,3,Image 1,1,107,
1301,,Spot,3,Image 1,1,108,
3558,,Spot,3,Image 1,1,109,
3295,,Spot,3,Image 1,1,110,
4316,,Spot,3,Image 1,1,111,
2749,,Spot,3,Image 1,1,122,
1201,,Spot,3,Image 1,1,125,
5905,,Spot,3,Image 1,1,128,
5074,,Spot,3,Image 1,1,130,
4934,,Spot,3,Image 1,1,131,
5897,,Spot,3,Image 1,1,132,
6862,,Spot,3,Image 1,1,133,
4486,,Spot,3,Image 1,1,134,
5331,,Spot,3,Image 1,1,135,
3303,,Spot,3,Image 1,1,136,
4356,,Spot,3,Image 1,1,137,
4801,,Spot,3,Image 1,1,138,
6014,,Spot,3,Image 1,1,139,
4221,,Spot,3,Image 1,1,140,
5662,,Spot,3,Image 1,1,141,
8043,,Spot,3,Image 1,1,142,
7140,,Spot,3,Image 1,1,143,
5470,,Spot,3,Image 1,1,144,
4092,,Spot,3,Image 1,1,145,
4184,,Spot,3,Image 1,1,146,
2943,,Spot,3,Image 1,1,147,
4918,,Spot,3,Image 1,1,150,
5977,,Spot,3,Image 1,1,151,
5070,,Spot,3,Image 1,1,152,
4228,,Spot,3,Image 1,1,154,
4711,,Spot,3,Image 1,1,155,
2719,,Spot,3,Image 1,1,156,
5970,,Spot,3,Image 1,1,157,
6844,,Spot,3,Image 1,1,158,
7620,,Spot,3,Image 1,1,159,
5086,,Spot,3,Image 1,1,160,
3831,,Spot,3,Image 1,1,161,
3133,,Spot,3,Image 1,1,162,
2638,,Spot,3,Image 1,1,163,
1304,,Spot,3,Image 1,1,164,
3510,,Spot,3,Image 1,1,167,
3280,,Spot,3,Image 1,1,168,
4202,,Spot,3,Image 1,1,169,
3394,,Spot,3,Image 1,1,170,
2423,,Spot,3,Image 1,1,171,
2551,,Spot,3,Image 1,1,172,
3483,,Spot,3,Image 1,1,173,
3072,,Spot,3,Image 1,1,174,
3001,,Spot,3,Image 1,1,175,
2135,,Spot,3,Image 1,1,233,
7366,,Spot,3,Image 1,1,234,
5511,,Spot,3,Image 1,1,238,
1832,,Spot,3,Image 1,1,240,
2473,,Spot,3,Image 1,1,246,
1753,,Spot,3,Image 1,1,247,
2309,,Spot,3,Image 1,1,248,
1305,,Spot,3,Image 1,1,253,
