
Intensity Min Ch=3 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
0,,Spot,3,Image 1,1,3,
0,,Spot,3,Image 1,1,15,
0,,Spot,3,Image 1,1,18,
0,,Spot,3,Image 1,1,40,
0,,Spot,3,Image 1,1,41,
0,,Spot,3,Image 1,1,44,
0,,Spot,3,Image 1,1,63,
0,,Spot,3,Image 1,1,64,
32,,Spot,3,Image 1,1,66,
465,,Spot,3,Image 1,1,70,
0,,Spot,3,Image 1,1,73,
574,,Spot,3,Image 1,1,74,
682,,Spot,3,Image 1,1,76,
0,,Spot,3,Image 1,1,80,
0,,Spot,3,Image 1,1,81,
228,,Spot,3,Image 1,1,82,
521,,Spot,3,Image 1,1,83,
591,,Spot,3,Image 1,1,84,
1373,,Spot,3,Image 1,1,85,
457,,Spot,3,Image 1,1,86,
0,,Spot,3,Image 1,1,87,
880,,Spot,3,Image 1,1,88,
387,,Spot,3,Image 1,1,90,
0,,Spot,3,Image 1,1,91,
278,,Spot,3,Image 1,1,92,
0,,Spot,3,Image 1,1,93,
321,,Spot,3,Image 1,1,94,
265,,Spot,3,Image 1,1,95,
95,,Spot,3,Image 1,1,96,
0,,Spot,3,Image 1,1,97,
138,,Spot,3,Image 1,1,98,
0,,Spot,3,Image 1,1,99,
389,,Spot,3,Image 1,1,100,
320,,Spot,3,Image 1,1,101,
60,,Spot,3,Image 1,1,102,
39,,Spot,3,Image 1,1,103,
0,,Spot,3,Image 1,1,104,
25,,Spot,3,Image 1,1,105,
0,,Spot,3,Image 1,1,106,
0,,Spot,3,Image 1,1,107,
0,,Spot,3,Image 1,1,108,
0,,Spot,3,Image 1,1,109,
0,,Spot,3,Image 1,1,110,
384,,Spot,3,Image 1,1,111,
0,,Spot,3,Image 1,1,122,
0,,Spot,3,Image 1,1,125,
0,,Spot,3,Image 1,1,128,
62,,Spot,3,Image 1,1,130,
420,,Spot,3,Image 1,1,131,
497,,Spot,3,Image 1,1,132,
346,,Spot,3,Image 1,1,133,
75,,Spot,3,Image 1,1,134,
112,,Spot,3,Image 1,1,135,
0,,Spot,3,Image 1,1,136,
158,,Spot,3,Image 1,1,137,
0,,Spot,3,Image 1,1,138,
148,,Spot,3,Image 1,1,139,
157,,Spot,3,Image 1,1,140,
166,,Spot,3,Image 1,1,141,
1642,,Spot,3,Image 1,1,142,
