
Intensity Sum Ch=1 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
7.8762e+06,,Spot,1,Image 1,1,3,
1.84221e+06,,Spot,1,Image 1,1,15,
2.06786e+06,,Spot,1,Image 1,1,18,
2.52303e+06,,Spot,1,Image 1,1,40,
1.96222e+06,,Spot,1,Image 1,1,41,
2.2828e+06,,Spot,1,Image 1,1,44,
8.12076e+06,,Spot,1,Image 1,1,63,
2.29238e+06,,Spot,1,Image 1,1,64,
3.46625e+06,,Spot,1,Image 1,1,66,
2.05242e+06,,Spot,1,Image 1,1,70,
3.74326e+06,,Spot,1,Image 1,1,73,
3.5747e+06,,Spot,1,Image 1,1,74,
1.72665e+06,,Spot,1,Image 1,1,76,
1.89311e+06,,Spot,1,Image 1,1,80,
2.28335e+06,,Spot,1,Image 1,1,81,
2.49782e+06,,Spot,1,Image 1,1,82,
3.43017e+06,,Spot,1,Image 1,1,83,
2.90278e+06,,Spot,1,Image 1,1,84,
2.67004e+06,,Spot,1,Image 1,1,85,
2.49348e+06,,Spot,1,Image 1,1,86,
2.67077e+06,,Spot,1,Image 1,1,87,
2.45255e+06,,Spot,1,Image 1,1,88,
1.62989e+06,,Spot,1,Image 1,1,90,
5.54066e+06,,Spot,1,Image 1,1,91,
4.10544e+06,,Spot,1,Image 1,1,92,
970493,,Spot,1,Image 1,1,93,
2.9932e+06,,Spot,1,Image 1,1,94,
2.53094e+06,,Spot,1,Image 1,1,95,
2.57801e+06,,Spot,1,Image 1,1,96,
1.68146e+06,,Spot,1,Image 1,1,97,
2.96964e+06,,Spot,1,Image 1,1,98,
2.11879e+06,,Spot,1,Image 1,1,99,
6.04033e+06,,Spot,1,Image 1,1,100,
1.88064e+06,,Spot,1,Image 1,1,101,
2.00933e+06,,Spot,1,Image 1,1,102,
1.63086e+06,,Spot,1,Image 1,1,103,
2.57429e+06,,Spot,1,Image 1,1,104,
1.23861e+06,,Spot,1,Image 1,1,105,
1.24359e+06,,Spot,1,Image 1,1,106,
2.37542e+06,,Spot,1,Image 1,1,107,
3.04324e+06,,Spot,1,Image 1,1,108,
970715,,Spot,1,Image 1,1,109,
2.21495e+06,,Spot,1,Image 1,1,110,
1.61652e+06,,Spot,1,Image 1,1,111,
2.33179e+06,,Spot,1,Image 1,1,122,
2.21103e+06,,Spot,1,Image 1,1,125,
2.28353e+06,,Spot,1,Image 1,1,128,
6.10637e+06,,Spot,1,Image 1,1,130,
2.73426e+06,,Spot,1,Image 1,1,131,
2.61121e+06,,Spot,1,Image 1,1,132,
3.33899e+06,,Spot,1,Image 1,1,133,
2.48976e+06,,Spot,1,Image 1,1,134,
2.16617e+06,,Spot,1,Image 1,1,135,
2.32484e+06,,Spot,1,Image 1,1,136,
2.55761e+06,,Spot,1,Image 1,1,137,
2.7463e+06,,Spot,1,Image 1,1,138,
2.12845e+06,,Spot,1,Image 1,1,139,
2.17851e+06,,Spot,1,Image 1,1,140,
3.70326e+06,,Spot,1,Image 1,1,141,
2.32576e+06,,Spot,1,Image 1,1,142,
7.72545e+06,,Spot,1,Image 1,1,143,
2.3356e+06,,Spot,1,Image 1,1,144,
1.4111e+06,,Spot,1,Image 1,1,145,
1.44933e+06,,Spot,1,Image 1,1,146,
3.0937e+06,,Spot,1,Image 1,1,147,
2.62071e+06,,Spot,1,Image 1,1,150,
2.39915e+06,,Spot,1,Image 1,1,151,
2.91464e+06,,Spot,1,Image 1,1,152,
2.0377e+06,,Spot,1,Image 1,1,154,
2.22212e+06,,Spot,1,Image 1,1,155,
2.28866e+06,,Spot,1,Image 1,1,156,
2.8742e+06,,Spot,1,Image 1,1,157,
3.44631e+06,,Spot,1,Image 1,1,158,
3.02722e+06,,Spot,1,Image 1,1,159,
2.06024e+06,,Spot,1,Image 1,1,160,
1.93689e+06,,Spot,1,Image 1,1,161,
1.63394e+06,,Spot,1,Image 1,1,162,
1.86255e+06,,Spot,1,Image 1,1,163,
2.70514e+06,,Spot,1,Image 1,1,164,
1.47232e+06,,Spot,1,Image 1,1,167,
3.16701e+06,,Spot,1,Image 1,1,168,
1.99965e+06,,Spot,1,Image 1,1,169,
2.49281e+06,,Spot,1,Image 1,1,170,
2.2594e+06,,Spot,1,Image 1,1,171,
2.11725e+06,,Spot,1,Image 1,1,172,
2.64482e+06,,Spot,1,Image 1,1,173,
2.00699e+06,,Spot,1,Image 1,1,174,
2.23395e+06,,Spot,1,Image 1,1,175,
1.68717e+06,,Spot,1,Image 1,1,233,
2.32395e+06,,Spot,1,Image 1,1,234,
2.73588e+06,,Spot,1,Image 1,1,238,
1.64705e+06,,Spot,1,Image 1,1,240,
2.9544e+06,,Spot,1,Image 1,1,246,
1.99425e+06,,Spot,1,Image 1,1,247,
2.13359e+06,,Spot,1,Image 1,1,248,
1.74412e+06,,Spot,1,Image 1,1,253,
2.73258e+06,,Spot,1,Image 1,1,262,
4.28985e+06,,Spot,1,Image 1,1,263,
3.24282e+06,,Spot,1,Image 1,1,264,
2.90346e+06,,Spot,1,Image 1,1,267,
2.40811e+06,,Spot,1,Image 1,1,269,
5.2615e+06,,Spot,1,Image 1,1,270,
2.66933e+06,,Spot,1,Image 1,1,271,
3.5381e+06,,Spot,1,Image 1,1,273,
2.88166e+06,,Spot,1,Image 1,1,274,
2.42304e+06,,Spot,1,Image 1,1,275,
3.45547e+06,,Spot,1,Image 1,1,276,
1.95094e+06,,Spot,1,Image 1,1,277,
3.40771e+06,,Spot,1,Image 1,1,278,
3.30174e+06,,Spot,1,Image 1,1,279,
3.35979e+06,,Spot,1,Image 1,1,280,
3.2575e+06,,Spot,1,Image 1,1,281,
2.05864e+06,,Spot,1,Image 1,1,282,
1.31109e+06,,Spot,1,Image 1,1,283,
1.3348e+06,,Spot,1,Image 1,1,284,
1.45687e+06,,Spot,1,Image 1,1,285,
2.15322e+06,,Spot,1,Image 1,1,286,
2.00233e+06,,Spot,1,Image 1,1,288,
2.73338e+06,,Spot,1,Image 1,1,292,
1.61621e+06,,Spot,1,Image 1,1,294,
2.10416e+06,,Spot,1,Image 1,1,296,
3.06582e+06,,Spot,1,Image 1,1,297,
2.71306e+06,,Spot,1,Image 1,1,298,
1.95306e+06,,Spot,1,Image 1,1,299,
2.04321e+06,,Spot,1,Image 1,1,300,
2.55916e+06,,Spot,1,Image 1,1,301,
3.16744e+06,,Spot,1,Image 1,1,302,
2.28437e+06,,Spot,1,Image 1,1,303,
1.91987e+06,,Spot,1,Image 1,1,304,
3.31947e+06,,Spot,1,Image 1,1,306,
3.29205e+06,,Spot,1,Image 1,1,308,
1.73152e+06,,Spot,1,Image 1,1,309,
3.37643e+06,,Spot,1,Image 1,1,310,
2.58054e+06,,Spot,1,Image 1,1,311,
1.94645e+06,,Spot,1,Image 1,1,312,
2.75121e+06,,Spot,1,Image 1,1,313,
2.29021e+06,,Spot,1,Image 1,1,314,
1.77372e+06,,Spot,1,Image 1,1,315,
1.99353e+06,,Spot,1,Image 1,1,316,
1.73171e+06,,Spot,1,Image 1,1,317,
2.71333e+06,,Spot,1,Image 1,1,318,
1.22541e+06,,Spot,1,Image 1,1,320,
1.59449e+06,,Spot,1,Image 1,1,321,
2.64208e+06,,Spot,1,Image 1,1,322,
2.86865e+06,,Spot,1,Image 1,1,366,
1.30092e+06,,Spot,1,Image 1,1,374,
2.28767e+06,,Spot,1,Image 1,1,376,
3.48606e+06,,Spot,1,Image 1,1,389,
2.60842e+06,,Spot,1,Image 1,1,390,
2.70489e+06,,Spot,1,Image 1,1,391,
4.36179e+06,,Spot,1,Image 1,1,392,
1.91304e+06,,Spot,1,Image 1,1,393,
2.39468e+06,,Spot,1,Image 1,1,394,
1.54568e+06,,Spot,1,Image 1,1,395,
1.70404e+06,,Spot,1,Image 1,1,396,
3.44817e+06,,Spot,1,Image 1,1,398,
3.9805e+06,,Spot,1,Image 1,1,399,
4.67908e+06,,Spot,1,Image 1,1,400,
4.275e+06,,Spot,1,Image 1,1,401,
2.34389e+06,,Spot,1,Image 1,1,402,
2.58042e+06,,Spot,1,Image 1,1,403,
1.66481e+06,,Spot,1,Image 1,1,404,
2.81563e+06,,Spot,1,Image 1,1,405,
2.56515e+06,,Spot,1,Image 1,1,406,
1.53699e+06,,Spot,1,Image 1,1,407,
3.29987e+06,,Spot,1,Image 1,1,408,
2.07186e+06,,Spot,1,Image 1,1,409,
2.75181e+06,,Spot,1,Image 1,1,410,
2.34766e+06,,Spot,1,Image 1,1,411,
2.64136e+06,,Spot,1,Image 1,1,412,
1.66771e+06,,Spot,1,Image 1,1,413,
2.75419e+06,,Spot,1,Image 1,1,414,
3.45359e+06,,Spot,1,Image 1,1,416,
