
Intensity Sum Ch=4 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
793659,,Spot,4,Image 1,1,398,
445205,,Spot,4,Image 1,1,399,
1.02189e+06,,Spot,4,Image 1,1,400,
317434,,Spot,4,Image 1,1,401,
11756,,Spot,4,Image 1,1,402,
69923,,Spot,4,Image 1,1,403,
15879,,Spot,4,Image 1,1,404,
433532,,Spot,4,Image 1,1,405,
811863,,Spot,4,Image 1,1,406,
308462,,Spot,4,Image 1,1,407,
10947,,Spot,4,Image 1,1,408,
290523,,Spot,4,Image 1,1,409,
37515,,Spot,4,Image 1,1,410,
29972,,Spot,4,Image 1,1,411,
56168,,Spot,4,Image 1,1,412,
52066,,Spot,4,Image 1,1,413,
71565,,Spot,4,Image 1,1,414,
550235,,Spot,4,Image 1,1,416,
96678,,Spot,4,Image 1,1,421,
355231,,Spot,4,Image 1,1,423,
241110,,Spot,4,Image 1,1,425,
60188,,Spot,4,Image 1,1,426,
374047,,Spot,4,Image 1,1,427,
217325,,Spot,4,Image 1,1,428,
88287,,Spot,4,Image 1,1,429,
545594,,Spot,4,Image 1,1,431,
23473,,Spot,4,Image 1,1,432,
222151,,Spot,4,Image 1,1,434,
254780,,Spot,4,Image 1,1,435,
464702,,Spot,4,Image 1,1,436,
19691,,Spot,4,Image 1,1,437,
10384,,Spot,4,Image 1,1,438,
118449,,Spot,4,Image 1,1,439,
221087,,Spot,4,Image 1,1,440,
235246,,Spot,4,Image 1,1,441,
337662,,Spot,4,Image 1,1,442,
2753,,Spot,4,Image 1,1,443,
195317,,Spot,4,Image 1,1,444,
754380,,Spot,4,Image 1,1,445,
414210,,Spot,4,Image 1,1,446,
49000,,Spot,4,Image 1,1,512,
2224,,Spot,4,Image 1,1,514,
2097,,Spot,4,Image 1,1,517,
24105,,Spot,4,Image 1,1,518,
145129,,Spot,4,Image 1,1,519,
291675,,Spot,4,Image 1,1,520,
588663,,Spot,4,Image 1,1,521,
108674,,Spot,4,Image 1,1,522,
44180,,Spot,4,Image 1,1,523,
25740,,Spot,4,Image 1,1,524,
196684,,Spot,4,Image 1,1,525,
931422,,Spot,4,Image 1,1,526,
752581,,Spot,4,Image 1,1,527,
190111,,Spot,4,Image 1,1,528,
76955,,Spot,4,Image 1,1,529,
0,,Spot,4,Image 1,1,530,
259928,,Spot,4,Image 1,1,531,
111091,,Spot,4,Image 1,1,547,
147219,,Spot,4,Image 1,1,550,
42319,,Spot,4,Image 1,1,551,
208603,,Spot,4,Image 1,1,552,
210545,,Spot,4,Image 1,1,554,
552987,,Spot,4,Image 1,1,557,
334307,,Spot,4,Image 1,1,558,
250285,,Spot,4,Image 1,1,559,
463977,,Spot,4,Image 1,1,560,
224021,,Spot,4,Image 1,1,603,
292092,,Spot,4,Image 1,1,53019,
170983,,Spot,4,Image 1,1,53020,
196291,,Spot,4,Image 1,1,53022,
115836,,Spot,4,Image 1,1,53023,
38601,,Spot,4,Image 1,1,53024,
181198,,Spot,4,Image 1,1,53025,
929845,,Spot,4,Image 1,1,53027,
1.10607e+06,,Spot,4,Image 1,1,53028,
260077,,Spot,4,Image 1,1,53029,
201776,,Spot,4,Image 1,1,53030,
49136,,Spot,4,Image 1,1,53031,
212918,,Spot,4,Image 1,1,53032,
