
Intensity Center Ch=3 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,ID,
423,,Spot,3,Image 1,1,3,
0,,Spot,3,Image 1,1,15,
730,,Spot,3,Image 1,1,18,
1374,,Spot,3,Image 1,1,40,
857,,Spot,3,Image 1,1,41,
0,,Spot,3,Image 1,1,44,
2344,,Spot,3,Image 1,1,63,
297,,Spot,3,Image 1,1,64,
1374,,Spot,3,Image 1,1,66,
1648,,Spot,3,Image 1,1,70,
361,,Spot,3,Image 1,1,73,
1989,,Spot,3,Image 1,1,74,
2754,,Spot,3,Image 1,1,76,
470,,Spot,3,Image 1,1,80,
415,,Spot,3,Image 1,1,81,
1211,,Spot,3,Image 1,1,82,
2738,,Spot,3,Image 1,1,83,
3266,,Spot,3,Image 1,1,84,
4265,,Spot,3,Image 1,1,85,
2309,,Spot,3,Image 1,1,86,
982,,Spot,3,Image 1,1,87,
3021,,Spot,3,Image 1,1,88,
2099,,Spot,3,Image 1,1,90,
1712,,Spot,3,Image 1,1,91,
1581,,Spot,3,Image 1,1,92,
1257,,Spot,3,Image 1,1,93,
3321,,Spot,3,Image 1,1,94,
755,,Spot,3,Image 1,1,95,
1432,,Spot,3,Image 1,1,96,
1180,,Spot,3,Image 1,1,97,
1151,,Spot,3,Image 1,1,98,
1433,,Spot,3,Image 1,1,99,
2400,,Spot,3,Image 1,1,100,
2757,,Spot,3,Image 1,1,101,
1185,,Spot,3,Image 1,1,102,
1350,,Spot,3,Image 1,1,103,
29,,Spot,3,Image 1,1,104,
647,,Spot,3,Image 1,1,105,
377,,Spot,3,Image 1,1,106,
856,,Spot,3,Image 1,1,107,
38,,Spot,3,Image 1,1,108,
107,,Spot,3,Image 1,1,109,
516,,Spot,3,Image 1,1,110,
1822,,Spot,3,Image 1,1,111,
323,,Spot,3,Image 1,1,122,
83,,Spot,3,Image 1,1,125,
1103,,Spot,3,Image 1,1,128,
1562,,Spot,3,Image 1,1,130,
1523,,Spot,3,Image 1,1,131,
1664,,Spot,3,Image 1,1,132,
1695,,Spot,3,Image 1,1,133,
1363,,Spot,3,Image 1,1,134,
2242,,Spot,3,Image 1,1,135,
209,,Spot,3,Image 1,1,136,
2643,,Spot,3,Image 1,1,137,
839,,Spot,3,Image 1,1,138,
2370,,Spot,3,Image 1,1,139,
842,,Spot,3,Image 1,1,140,
2922,,Spot,3,Image 1,1,141,
5476,,Spot,3,Image 1,1,142,
1479,,Spot,3,Image 1,1,143,
2318,,Spot,3,Image 1,1,144,
2301,,Spot,3,Image 1,1,145,
1796,,Spot,3,Image 1,1,146,
1060,,Spot,3,Image 1,1,147,
2793,,Spot,3,Image 1,1,150,
3120,,Spot,3,Image 1,1,151,
2917,,Spot,3,Image 1,1,152,
1574,,Spot,3,Image 1,1,154,
1084,,Spot,3,Image 1,1,155,
562,,Spot,3,Image 1,1,156,
2592,,Spot,3,Image 1,1,157,
3399,,Spot,3,Image 1,1,158,
5252,,Spot,3,Image 1,1,159,
1231,,Spot,3,Image 1,1,160,
2452,,Spot,3,Image 1,1,161,
1218,,Spot,3,Image 1,1,162,
952,,Spot,3,Image 1,1,163,
105,,Spot,3,Image 1,1,164,
776,,Spot,3,Image 1,1,167,
477,,Spot,3,Image 1,1,168,
1282,,Spot,3,Image 1,1,169,
1929,,Spot,3,Image 1,1,170,
1192,,Spot,3,Image 1,1,171,
987,,Spot,3,Image 1,1,172,
865,,Spot,3,Image 1,1,173,
1694,,Spot,3,Image 1,1,174,
497,,Spot,3,Image 1,1,175,
196,,Spot,3,Image 1,1,233,
3403,,Spot,3,Image 1,1,234,
3461,,Spot,3,Image 1,1,238,
0,,Spot,3,Image 1,1,240,
77,,Spot,3,Image 1,1,246,
8,,Spot,3,Image 1,1,247,
316,,Spot,3,Image 1,1,248,
201,,Spot,3,Image 1,1,253,
1579,,Spot,3,Image 1,1,262,
1533,,Spot,3,Image 1,1,263,
106,,Spot,3,Image 1,1,264,
3777,,Spot,3,Image 1,1,267,
2536,,Spot,3,Image 1,1,269,
5337,,Spot,3,Image 1,1,270,
4139,,Spot,3,Image 1,1,271,
4769,,Spot,3,Image 1,1,273,
15,,Spot,3,Image 1,1,274,
1422,,Spot,3,Image 1,1,275,
2660,,Spot,3,Image 1,1,276,
1426,,Spot,3,Image 1,1,277,
961,,Spot,3,Image 1,1,278,
3760,,Spot,3,Image 1,1,279,
1919,,Spot,3,Image 1,1,280,
1544,,Spot,3,Image 1,1,281,
1672,,Spot,3,Image 1,1,282,
311,,Spot,3,Image 1,1,283,
2224,,Spot,3,Image 1,1,284,
473,,Spot,3,Image 1,1,285,
1975,,Spot,3,Image 1,1,286,
452,,Spot,3,Image 1,1,288,
334,,Spot,3,Image 1,1,292,
2378,,Spot,3,Image 1,1,294,
2427,,Spot,3,Image 1,1,296,
5639,,Spot,3,Image 1,1,297,
2043,,Spot,3,Image 1,1,298,
3120,,Spot,3,Image 1,1,299,
5020,,Spot,3,Image 1,1,300,
3961,,Spot,3,Image 1,1,301,
3358,,Spot,3,Image 1,1,302,
2821,,Spot,3,Image 1,1,303,
118,,Spot,3,Image 1,1,304,
1388,,Spot,3,Image 1,1,306,
5344,,Spot,3,Image 1,1,308,
1860,,Spot,3,Image 1,1,309,
2818,,Spot,3,Image 1,1,310,
354,,Spot,3,Image 1,1,311,
