
Intensity Max Ch=1 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
7981,,Spot,1,Image 1,1,3,
4059,,Spot,1,Image 1,1,15,
2774,,Spot,1,Image 1,1,18,
5190,,Spot,1,Image 1,1,40,
4014,,Spot,1,Image 1,1,41,
4556,,Spot,1,Image 1,1,44,
7446,,Spot,1,Image 1,1,63,
3446,,Spot,1,Image 1,1,64,
4436,,Spot,1,Image 1,1,66,
3869,,Spot,1,Image 1,1,70,
4818,,Spot,1,Image 1,1,73,
9586,,Spot,1,Image 1,1,74,
2811,,Spot,1,Image 1,1,76,
3255,,Spot,1,Image 1,1,80,
3610,,Spot,1,Image 1,1,81,
4108,,Spot,1,Image 1,1,82,
5161,,Spot,1,Image 1,1,83,
5305,,Spot,1,Image 1,1,84,
3734,,Spot,1,Image 1,1,85,
3051,,Spot,1,Image 1,1,86,
5735,,Spot,1,Image 1,1,87,
2695,,Spot,1,Image 1,1,88,
2143,,Spot,1,Image 1,1,90,
8571,,Spot,1,Image 1,1,91,
6434,,Spot,1,Image 1,1,92,
1720,,Spot,1,Image 1,1,93,
5466,,Spot,1,Image 1,1,94,
4024,,Spot,1,Image 1,1,95,
3756,,Spot,1,Image 1,1,96,
3227,,Spot,1,Image 1,1,97,
3175,,Spot,1,Image 1,1,98,
3629,,Spot,1,Image 1,1,99,
5984,,Spot,1,Image 1,1,100,
2756,,Spot,1,Image 1,1,101,
2610,,Spot,1,Image 1,1,102,
2756,,Spot,1,Image 1,1,103,
4911,,Spot,1,Image 1,1,104,
2388,,Spot,1,Image 1,1,105,
1940,,Spot,1,Image 1,1,106,
4231,,Spot,1,Image 1,1,107,
5525,,Spot,1,Image 1,1,108,
1538,,Spot,1,Image 1,1,109,
3570,,Spot,1,Image 1,1,110,
4355,,Spot,1,Image 1,1,111,
2890,,Spot,1,Image 1,1,122,
3682,,Spot,1,Image 1,1,125,
5065,,Spot,1,Image 1,1,128,
5887,,Spot,1,Image 1,1,130,
4302,,Spot,1,Image 1,1,131,
3870,,Spot,1,Image 1,1,132,
5801,,Spot,1,Image 1,1,133,
5573,,Spot,1,Image 1,1,134,
3711,,Spot,1,Image 1,1,135,
3575,,Spot,1,Image 1,1,136,
3807,,Spot,1,Image 1,1,137,
6130,,Spot,1,Image 1,1,138,
2691,,Spot,1,Image 1,1,139,
6988,,Spot,1,Image 1,1,140,
6743,,Spot,1,Image 1,1,141,
2692,,Spot,1,Image 1,1,142,
6913,,Spot,1,Image 1,1,143,
3062,,Spot,1,Image 1,1,144,
2573,,Spot,1,Image 1,1,145,
2122,,Spot,1,Image 1,1,146,
4573,,Spot,1,Image 1,1,147,
11026,,Spot,1,Image 1,1,150,
3951,,Spot,1,Image 1,1,151,
2746,,Spot,1,Image 1,1,152,
3285,,Spot,1,Image 1,1,154,
4164,,Spot,1,Image 1,1,155,
2719,,Spot,1,Image 1,1,156,
4795,,Spot,1,Image 1,1,157,
5306,,Spot,1,Image 1,1,158,
5829,,Spot,1,Image 1,1,159,
3439,,Spot,1,Image 1,1,160,
3506,,Spot,1,Image 1,1,161,
2732,,Spot,1,Image 1,1,162,
3064,,Spot,1,Image 1,1,163,
7918,,Spot,1,Image 1,1,164,
2344,,Spot,1,Image 1,1,167,
4067,,Spot,1,Image 1,1,168,
2828,,Spot,1,Image 1,1,169,
3237,,Spot,1,Image 1,1,170,
15319,,Spot,1,Image 1,1,171,
3380,,Spot,1,Image 1,1,172,
4630,,Spot,1,Image 1,1,173,
5209,,Spot,1,Image 1,1,174,
6442,,Spot,1,Image 1,1,175,
4548,,Spot,1,Image 1,1,233,
4798,,Spot,1,Image 1,1,234,
4409,,Spot,1,Image 1,1,238,
2852,,Spot,1,Image 1,1,240,
6359,,Spot,1,Image 1,1,246,
3181,,Spot,1,Image 1,1,247,
2580,,Spot,1,Image 1,1,248,
2695,,Spot,1,Image 1,1,253,
3650,,Spot,1,Image 1,1,262,
5408,,Spot,1,Image 1,1,263,
4067,,Spot,1,Image 1,1,264,
5147,,Spot,1,Image 1,1,267,
3272,,Spot,1,Image 1,1,269,
6049,,Spot,1,Image 1,1,270,
3817,,Spot,1,Image 1,1,271,
5591,,Spot,1,Image 1,1,273,
4709,,Spot,1,Image 1,1,274,
3950,,Spot,1,Image 1,1,275,
4536,,Spot,1,Image 1,1,276,
2912,,Spot,1,Image 1,1,277,
4502,,Spot,1,Image 1,1,278,
4338,,Spot,1,Image 1,1,279,
3518,,Spot,1,Image 1,1,280,
5186,,Spot,1,Image 1,1,281,
3950,,Spot,1,Image 1,1,282,
1964,,Spot,1,Image 1,1,283,
