
Intensity StdDev Ch=3 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
892.019,,Spot,3,Image 1,1,3,
200.405,,Spot,3,Image 1,1,15,
353.914,,Spot,3,Image 1,1,18,
279.78,,Spot,3,Image 1,1,40,
280.866,,Spot,3,Image 1,1,41,
150.119,,Spot,3,Image 1,1,44,
769.584,,Spot,3,Image 1,1,63,
430.147,,Spot,3,Image 1,1,64,
734.578,,Spot,3,Image 1,1,66,
710.623,,Spot,3,Image 1,1,70,
700.603,,Spot,3,Image 1,1,73,
647.061,,Spot,3,Image 1,1,74,
645.199,,Spot,3,Image 1,1,76,
564.664,,Spot,3,Image 1,1,80,
560.237,,Spot,3,Image 1,1,81,
565.886,,Spot,3,Image 1,1,82,
859.011,,Spot,3,Image 1,1,83,
881.349,,Spot,3,Image 1,1,84,
886.513,,Spot,3,Image 1,1,85,
641.981,,Spot,3,Image 1,1,86,
766.728,,Spot,3,Image 1,1,87,
761.558,,Spot,3,Image 1,1,88,
619.724,,Spot,3,Image 1,1,90,
704.692,,Spot,3,Image 1,1,91,
774.543,,Spot,3,Image 1,1,92,
385.605,,Spot,3,Image 1,1,93,
675.591,,Spot,3,Image 1,1,94,
529.058,,Spot,3,Image 1,1,95,
535.798,,Spot,3,Image 1,1,96,
515.301,,Spot,3,Image 1,1,97,
547.708,,Spot,3,Image 1,1,98,
528.761,,Spot,3,Image 1,1,99,
757.244,,Spot,3,Image 1,1,100,
583.885,,Spot,3,Image 1,1,101,
500.877,,Spot,3,Image 1,1,102,
529.757,,Spot,3,Image 1,1,103,
266.865,,Spot,3,Image 1,1,104,
471.892,,Spot,3,Image 1,1,105,
256.523,,Spot,3,Image 1,1,106,
257.29,,Spot,3,Image 1,1,107,
163.63,,Spot,3,Image 1,1,108,
475.763,,Spot,3,Image 1,1,109,
421.609,,Spot,3,Image 1,1,110,
579.959,,Spot,3,Image 1,1,111,
377.932,,Spot,3,Image 1,1,122,
175.442,,Spot,3,Image 1,1,125,
1060.56,,Spot,3,Image 1,1,128,
688.635,,Spot,3,Image 1,1,130,
728.402,,Spot,3,Image 1,1,131,
769.395,,Spot,3,Image 1,1,132,
1118.39,,Spot,3,Image 1,1,133,
595.667,,Spot,3,Image 1,1,134,
836.743,,Spot,3,Image 1,1,135,
564.161,,Spot,3,Image 1,1,136,
546.713,,Spot,3,Image 1,1,137,
682.04,,Spot,3,Image 1,1,138,
883.174,,Spot,3,Image 1,1,139,
557.978,,Spot,3,Image 1,1,140,
790.508,,Spot,3,Image 1,1,141,
1018.19,,Spot,3,Image 1,1,142,
985.257,,Spot,3,Image 1,1,143,
1040.96,,Spot,3,Image 1,1,144,
578.162,,Spot,3,Image 1,1,145,
531.496,,Spot,3,Image 1,1,146,
487.881,,Spot,3,Image 1,1,147,
672.832,,Spot,3,Image 1,1,150,
757.473,,Spot,3,Image 1,1,151,
633.829,,Spot,3,Image 1,1,152,
574.924,,Spot,3,Image 1,1,154,
819.376,,Spot,3,Image 1,1,155,
425.855,,Spot,3,Image 1,1,156,
818.165,,Spot,3,Image 1,1,157,
777.569,,Spot,3,Image 1,1,158,
993.528,,Spot,3,Image 1,1,159,
542.574,,Spot,3,Image 1,1,160,
571.674,,Spot,3,Image 1,1,161,
461.836,,Spot,3,Image 1,1,162,
403.41,,Spot,3,Image 1,1,163,
236.18,,Spot,3,Image 1,1,164,
526.247,,Spot,3,Image 1,1,167,
466.538,,Spot,3,Image 1,1,168,
606.966,,Spot,3,Image 1,1,169,
467.282,,Spot,3,Image 1,1,170,
396.682,,Spot,3,Image 1,1,171,
359,,Spot,3,Image 1,1,172,
481.099,,Spot,3,Image 1,1,173,
492.254,,Spot,3,Image 1,1,174,
412.042,,Spot,3,Image 1,1,175,
278.221,,Spot,3,Image 1,1,233,
854.792,,Spot,3,Image 1,1,234,
752.431,,Spot,3,Image 1,1,238,
236.825,,Spot,3,Image 1,1,240,
291.924,,Spot,3,Image 1,1,246,
166.78,,Spot,3,Image 1,1,247,
329.507,,Spot,3,Image 1,1,248,
192.482,,Spot,3,Image 1,1,253,
529.271,,Spot,3,Image 1,1,262,
707.975,,Spot,3,Image 1,1,263,
300.961,,Spot,3,Image 1,1,264,
838.671,,Spot,3,Image 1,1,267,
569.585,,Spot,3,Image 1,1,269,
1308.21,,Spot,3,Image 1,1,270,
931.659,,Spot,3,Image 1,1,271,
1250.16,,Spot,3,Image 1,1,273,
263.966,,Spot,3,Image 1,1,274,
810.934,,Spot,3,Image 1,1,275,
675.825,,Spot,3,Image 1,1,276,
697.18,,Spot,3,Image 1,1,277,
497.447,,Spot,3,Image 1,1,278,
859.65,,Spot,3,Image 1,1,279,
638.113,,Spot,3,Image 1,1,280,
612.71,,Spot,3,Image 1,1,281,
485.826,,Spot,3,Image 1,1,282,
384.268,,Spot,3,Image 1,1,283,
625.787,,Spot,3,Image 1,1,284,
364.868,,Spot,3,Image 1,1,285,
731.324,,Spot,3,Image 1,1,286,
302.452,,Spot,3,Image 1,1,288,
273.318,,Spot,3,Image 1,1,292,
771.857,,Spot,3,Image 1,1,294,
701.025,,Spot,3,Image 1,1,296,
1611.68,,Spot,3,Image 1,1,297,
790.517,,Spot,3,Image 1,1,298,
882.35,,Spot,3,Image 1,1,299,
998.636,,Spot,3,Image 1,1,300,
870.048,,Spot,3,Image 1,1,301,
668.344,,Spot,3,Image 1,1,302,
878.509,,Spot,3,Image 1,1,303,
269.391,,Spot,3,Image 1,1,304,
702.479,,Spot,3,Image 1,1,306,
666.356,,Spot,3,Image 1,1,308,
618.951,,Spot,3,Image 1,1,309,
853.577,,Spot,3,Image 1,1,310,
441.95,,Spot,3,Image 1,1,311,
288.457,,Spot,3,Image 1,1,312,
514.172,,Spot,3,Image 1,1,313,
453.391,,Spot,3,Image 1,1,314,
499.863,,Spot,3,Image 1,1,315,
732.068,,Spot,3,Image 1,1,316,
235.566,,Spot,3,Image 1,1,317,
325.359,,Spot,3,Image 1,1,318,
279.758,,Spot,3,Image 1,1,320,
240.221,,Spot,3,Image 1,1,321,
594.64,,Spot,3,Image 1,1,322,
614.731,,Spot,3,Image 1,1,366,
207.204,,Spot,3,Image 1,1,374,
204.539,,Spot,3,Image 1,1,376,
833.053,,Spot,3,Image 1,1,389,
391.252,,Spot,3,Image 1,1,390,
864.23,,Spot,3,Image 1,1,391,
1370.87,,Spot,3,Image 1,1,392,
957.436,,Spot,3,Image 1,1,393,
765.513,,Spot,3,Image 1,1,394,
699.757,,Spot,3,Image 1,1,395,
766.401,,Spot,3,Image 1,1,396,
1022.23,,Spot,3,Image 1,1,398,
838.725,,Spot,3,Image 1,1,399,
1018.35,,Spot,3,Image 1,1,400,
952.14,,Spot,3,Image 1,1,401,
775.494,,Spot,3,Image 1,1,402,
368.574,,Spot,3,Image 1,1,403,
647.689,,Spot,3,Image 1,1,404,
690.111,,Spot,3,Image 1,1,405,
504.21,,Spot,3,Image 1,1,406,
549.373,,Spot,3,Image 1,1,407,
740.029,,Spot,3,Image 1,1,408,
365.987,,Spot,3,Image 1,1,409,
361.706,,Spot,3,Image 1,1,410,
311.05,,Spot,3,Image 1,1,411,
651.727,,Spot,3,Image 1,1,412,
344.233,,Spot,3,Image 1,1,413,
523.457,,Spot,3,Image 1,1,414,
356.598,,Spot,3,Image 1,1,416,
410.96,,Spot,3,Image 1,1,421,
651.625,,Spot,3,Image 1,1,423,
181.776,,Spot,3,Image 1,1,425,
741.66,,Spot,3,Image 1,1,426,
286.177,,Spot,3,Image 1,1,427,
1087,,Spot,3,Image 1,1,428,
753.747,,Spot,3,Image 1,1,429,
628.033,,Spot,3,Image 1,1,431,
733.101,,Spot,3,Image 1,1,432,
575.774,,Spot,3,Image 1,1,434,
468.026,,Spot,3,Image 1,1,435,
383.472,,Spot,3,Image 1,1,436,
657.182,,Spot,3,Image 1,1,437,
565.304,,Spot,3,Image 1,1,438,
293.887,,Spot,3,Image 1,1,439,
583.884,,Spot,3,Image 1,1,440,
431.485,,Spot,3,Image 1,1,441,
337.467,,Spot,3,Image 1,1,442,
613.198,,Spot,3,Image 1,1,443,
545.028,,Spot,3,Image 1,1,444,
767.782,,Spot,3,Image 1,1,445,
756.802,,Spot,3,Image 1,1,446,
997.621,,Spot,3,Image 1,1,512,
918.404,,Spot,3,Image 1,1,514,
504.236,,Spot,3,Image 1,1,517,
701.97,,Spot,3,Image 1,1,518,
856.328,,Spot,3,Image 1,1,519,
