
Intensity Sum Ch=3 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
2.52356e+06,,Spot,3,Image 1,1,3,
368871,,Spot,3,Image 1,1,15,
1.80917e+06,,Spot,3,Image 1,1,18,
854737,,Spot,3,Image 1,1,40,
982996,,Spot,3,Image 1,1,41,
286497,,Spot,3,Image 1,1,44,
2.47149e+06,,Spot,3,Image 1,1,63,
1.35016e+06,,Spot,3,Image 1,1,64,
3.67336e+06,,Spot,3,Image 1,1,66,
5.79546e+06,,Spot,3,Image 1,1,70,
3.05178e+06,,Spot,3,Image 1,1,73,
6.34783e+06,,Spot,3,Image 1,1,74,
6.98719e+06,,Spot,3,Image 1,1,76,
3.36498e+06,,Spot,3,Image 1,1,80,
2.37224e+06,,Spot,3,Image 1,1,81,
3.83839e+06,,Spot,3,Image 1,1,82,
6.15961e+06,,Spot,3,Image 1,1,83,
6.10009e+06,,Spot,3,Image 1,1,84,
1.0958e+07,,Spot,3,Image 1,1,85,
5.90205e+06,,Spot,3,Image 1,1,86,
3.79528e+06,,Spot,3,Image 1,1,87,
8.06431e+06,,Spot,3,Image 1,1,88,
5.65435e+06,,Spot,3,Image 1,1,90,
4.07262e+06,,Spot,3,Image 1,1,91,
4.25228e+06,,Spot,3,Image 1,1,92,
1.54555e+06,,Spot,3,Image 1,1,93,
5.92126e+06,,Spot,3,Image 1,1,94,
4.0848e+06,,Spot,3,Image 1,1,95,
3.95778e+06,,Spot,3,Image 1,1,96,
2.37573e+06,,Spot,3,Image 1,1,97,
3.9739e+06,,Spot,3,Image 1,1,98,
3.19409e+06,,Spot,3,Image 1,1,99,
6.38686e+06,,Spot,3,Image 1,1,100,
5.10322e+06,,Spot,3,Image 1,1,101,
3.65668e+06,,Spot,3,Image 1,1,102,
3.04008e+06,,Spot,3,Image 1,1,103,
721942,,Spot,3,Image 1,1,104,
2.28942e+06,,Spot,3,Image 1,1,105,
689590,,Spot,3,Image 1,1,106,
515482,,Spot,3,Image 1,1,107,
298405,,Spot,3,Image 1,1,108,
3.06482e+06,,Spot,3,Image 1,1,109,
2.03373e+06,,Spot,3,Image 1,1,110,
4.69266e+06,,Spot,3,Image 1,1,111,
1.47179e+06,,Spot,3,Image 1,1,122,
343504,,Spot,3,Image 1,1,125,
3.52958e+06,,Spot,3,Image 1,1,128,
3.53391e+06,,Spot,3,Image 1,1,130,
5.10887e+06,,Spot,3,Image 1,1,131,
5.4323e+06,,Spot,3,Image 1,1,132,
5.23617e+06,,Spot,3,Image 1,1,133,
3.90705e+06,,Spot,3,Image 1,1,134,
3.81382e+06,,Spot,3,Image 1,1,135,
1.52864e+06,,Spot,3,Image 1,1,136,
4.12771e+06,,Spot,3,Image 1,1,137,
2.93183e+06,,Spot,3,Image 1,1,138,
7.67717e+06,,Spot,3,Image 1,1,139,
4.25605e+06,,Spot,3,Image 1,1,140,
7.52316e+06,,Spot,3,Image 1,1,141,
1.26572e+07,,Spot,3,Image 1,1,142,
5.42888e+06,,Spot,3,Image 1,1,143,
4.97814e+06,,Spot,3,Image 1,1,144,
3.90208e+06,,Spot,3,Image 1,1,145,
