
Intensity Sum Ch=5 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
1.27514e+06,,Spot,5,Image 1,1,3,
358042,,Spot,5,Image 1,1,15,
1.69311e+06,,Spot,5,Image 1,1,18,
757178,,Spot,5,Image 1,1,40,
802019,,Spot,5,Image 1,1,41,
281089,,Spot,5,Image 1,1,44,
1.00642e+06,,Spot,5,Image 1,1,63,
1.14135e+06,,Spot,5,Image 1,1,64,
3.30384e+06,,Spot,5,Image 1,1,66,
5.76436e+06,,Spot,5,Image 1,1,70,
2.10837e+06,,Spot,5,Image 1,1,73,
5.9611e+06,,Spot,5,Image 1,1,74,
6.96975e+06,,Spot,5,Image 1,1,76,
3.2914e+06,,Spot,5,Image 1,1,80,
2.16521e+06,,Spot,5,Image 1,1,81,
3.62689e+06,,Spot,5,Image 1,1,82,
5.842e+06,,Spot,5,Image 1,1,83,
5.7829e+06,,Spot,5,Image 1,1,84,
1.08953e+07,,Spot,5,Image 1,1,85,
5.70556e+06,,Spot,5,Image 1,1,86,
3.68649e+06,,Spot,5,Image 1,1,87,
8.03232e+06,,Spot,5,Image 1,1,88,
5.61812e+06,,Spot,5,Image 1,1,90,
2.2832e+06,,Spot,5,Image 1,1,91,
2.85962e+06,,Spot,5,Image 1,1,92,
1.41397e+06,,Spot,5,Image 1,1,93,
5.79453e+06,,Spot,5,Image 1,1,94,
3.84955e+06,,Spot,5,Image 1,1,95,
3.8369e+06,,Spot,5,Image 1,1,96,
2.08708e+06,,Spot,5,Image 1,1,97,
3.95026e+06,,Spot,5,Image 1,1,98,
3.04969e+06,,Spot,5,Image 1,1,99,
5.46987e+06,,Spot,5,Image 1,1,100,
4.83982e+06,,Spot,5,Image 1,1,101,
3.43741e+06,,Spot,5,Image 1,1,102,
3.03693e+06,,Spot,5,Image 1,1,103,
702090,,Spot,5,Image 1,1,104,
2.23021e+06,,Spot,5,Image 1,1,105,
639163,,Spot,5,Image 1,1,106,
493497,,Spot,5,Image 1,1,107,
274575,,Spot,5,Image 1,1,108,
3.02492e+06,,Spot,5,Image 1,1,109,
1.993e+06,,Spot,5,Image 1,1,110,
4.61175e+06,,Spot,5,Image 1,1,111,
1.24728e+06,,Spot,5,Image 1,1,122,
253922,,Spot,5,Image 1,1,125,
3.49255e+06,,Spot,5,Image 1,1,128,
1.8528e+06,,Spot,5,Image 1,1,130,
4.8874e+06,,Spot,5,Image 1,1,131,
5.3668e+06,,Spot,5,Image 1,1,132,
4.80943e+06,,Spot,5,Image 1,1,133,
3.46665e+06,,Spot,5,Image 1,1,134,
