
Intensity Min Ch=1 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
205,,Spot,1,Image 1,1,3,
0,,Spot,1,Image 1,1,15,
0,,Spot,1,Image 1,1,18,
0,,Spot,1,Image 1,1,40,
0,,Spot,1,Image 1,1,41,
5,,Spot,1,Image 1,1,44,
831,,Spot,1,Image 1,1,63,
0,,Spot,1,Image 1,1,64,
132,,Spot,1,Image 1,1,66,
0,,Spot,1,Image 1,1,70,
0,,Spot,1,Image 1,1,73,
0,,Spot,1,Image 1,1,74,
0,,Spot,1,Image 1,1,76,
0,,Spot,1,Image 1,1,80,
0,,Spot,1,Image 1,1,81,
57,,Spot,1,Image 1,1,82,
154,,Spot,1,Image 1,1,83,
81,,Spot,1,Image 1,1,84,
0,,Spot,1,Image 1,1,85,
0,,Spot,1,Image 1,1,86,
0,,Spot,1,Image 1,1,87,
0,,Spot,1,Image 1,1,88,
0,,Spot,1,Image 1,1,90,
141,,Spot,1,Image 1,1,91,
178,,Spot,1,Image 1,1,92,
0,,Spot,1,Image 1,1,93,
94,,Spot,1,Image 1,1,94,
28,,Spot,1,Image 1,1,95,
20,,Spot,1,Image 1,1,96,
0,,Spot,1,Image 1,1,97,
12,,Spot,1,Image 1,1,98,
0,,Spot,1,Image 1,1,99,
61,,Spot,1,Image 1,1,100,
0,,Spot,1,Image 1,1,101,
0,,Spot,1,Image 1,1,102,
0,,Spot,1,Image 1,1,103,
0,,Spot,1,Image 1,1,104,
0,,Spot,1,Image 1,1,105,
0,,Spot,1,Image 1,1,106,
0,,Spot,1,Image 1,1,107,
0,,Spot,1,Image 1,1,108,
0,,Spot,1,Image 1,1,109,
0,,Spot,1,Image 1,1,110,
0,,Spot,1,Image 1,1,111,
51,,Spot,1,Image 1,1,122,
85,,Spot,1,Image 1,1,125,
0,,Spot,1,Image 1,1,128,
231,,Spot,1,Image 1,1,130,
0,,Spot,1,Image 1,1,131,
134,,Spot,1,Image 1,1,132,
35,,Spot,1,Image 1,1,133,
0,,Spot,1,Image 1,1,134,
223,,Spot,1,Image 1,1,135,
0,,Spot,1,Image 1,1,136,
0,,Spot,1,Image 1,1,137,
0,,Spot,1,Image 1,1,138,
18,,Spot,1,Image 1,1,139,
0,,Spot,1,Image 1,1,140,
0,,Spot,1,Image 1,1,141,
2,,Spot,1,Image 1,1,142,
0,,Spot,1,Image 1,1,143,
0,,Spot,1,Image 1,1,144,
0,,Spot,1,Image 1,1,145,
0,,Spot,1,Image 1,1,146,
35,,Spot,1,Image 1,1,147,
0,,Spot,1,Image 1,1,150,
0,,Spot,1,Image 1,1,151,
42,,Spot,1,Image 1,1,152,
0,,Spot,1,Image 1,1,154,
0,,Spot,1,Image 1,1,155,
0,,Spot,1,Image 1,1,156,
87,,Spot,1,Image 1,1,157,
10,,Spot,1,Image 1,1,158,
0,,Spot,1,Image 1,1,159,
0,,Spot,1,Image 1,1,160,
0,,Spot,1,Image 1,1,161,
0,,Spot,1,Image 1,1,162,
0,,Spot,1,Image 1,1,163,
0,,Spot,1,Image 1,1,164,
0,,Spot,1,Image 1,1,167,
9,,Spot,1,Image 1,1,168,
0,,Spot,1,Image 1,1,169,
0,,Spot,1,Image 1,1,170,
0,,Spot,1,Image 1,1,171,
0,,Spot,1,Image 1,1,172,
0,,Spot,1,Image 1,1,173,
0,,Spot,1,Image 1,1,174,
0,,Spot,1,Image 1,1,175,
0,,Spot,1,Image 1,1,233,
0,,Spot,1,Image 1,1,234,
0,,Spot,1,Image 1,1,238,
0,,Spot,1,Image 1,1,240,
0,,Spot,1,Image 1,1,246,
0,,Spot,1,Image 1,1,247,
0,,Spot,1,Image 1,1,248,
0,,Spot,1,Image 1,1,253,
0,,Spot,1,Image 1,1,262,
302,,Spot,1,Image 1,1,263,
0,,Spot,1,Image 1,1,264,
11,,Spot,1,Image 1,1,267,
0,,Spot,1,Image 1,1,269,
43,,Spot,1,Image 1,1,270,
0,,Spot,1,Image 1,1,271,
61,,Spot,1,Image 1,1,273,
0,,Spot,1,Image 1,1,274,
0,,Spot,1,Image 1,1,275,
11,,Spot,1,Image 1,1,276,
0,,Spot,1,Image 1,1,277,
0,,Spot,1,Image 1,1,278,
0,,Spot,1,Image 1,1,279,
86,,Spot,1,Image 1,1,280,
0,,Spot,1,Image 1,1,281,
0,,Spot,1,Image 1,1,282,
0,,Spot,1,Image 1,1,283,
0,,Spot,1,Image 1,1,284,
0,,Spot,1,Image 1,1,285,
0,,Spot,1,Image 1,1,286,
0,,Spot,1,Image 1,1,288,
3,,Spot,1,Image 1,1,292,
