
Intensity Sum Ch=6 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
6.18901e+06,,Spot,6,Image 1,1,3,
5.34212e+06,,Spot,6,Image 1,1,15,
3.99792e+06,,Spot,6,Image 1,1,18,
6.09711e+06,,Spot,6,Image 1,1,40,
2.77272e+06,,Spot,6,Image 1,1,41,
8.36492e+06,,Spot,6,Image 1,1,44,
3.63103e+06,,Spot,6,Image 1,1,63,
3.88165e+06,,Spot,6,Image 1,1,64,
5.03556e+06,,Spot,6,Image 1,1,66,
6.16897e+06,,Spot,6,Image 1,1,70,
5.32639e+06,,Spot,6,Image 1,1,73,
6.09909e+06,,Spot,6,Image 1,1,74,
7.01019e+06,,Spot,6,Image 1,1,76,
6.13412e+06,,Spot,6,Image 1,1,80,
4.2342e+06,,Spot,6,Image 1,1,81,
4.90615e+06,,Spot,6,Image 1,1,82,
5.98645e+06,,Spot,6,Image 1,1,83,
5.25843e+06,,Spot,6,Image 1,1,84,
7.35322e+06,,Spot,6,Image 1,1,85,
5.45965e+06,,Spot,6,Image 1,1,86,
7.78775e+06,,Spot,6,Image 1,1,87,
6.80347e+06,,Spot,6,Image 1,1,88,
6.9419e+06,,Spot,6,Image 1,1,90,
2.27706e+06,,Spot,6,Image 1,1,91,
2.03997e+06,,Spot,6,Image 1,1,92,
2.95856e+06,,Spot,6,Image 1,1,93,
8.17912e+06,,Spot,6,Image 1,1,94,
5.56716e+06,,Spot,6,Image 1,1,95,
5.82273e+06,,Spot,6,Image 1,1,96,
3.72637e+06,,Spot,6,Image 1,1,97,
8.97977e+06,,Spot,6,Image 1,1,98,
4.18524e+06,,Spot,6,Image 1,1,99,
8.0574e+06,,Spot,6,Image 1,1,100,
3.64032e+06,,Spot,6,Image 1,1,101,
4.58943e+06,,Spot,6,Image 1,1,102,
6.63579e+06,,Spot,6,Image 1,1,103,
8.22753e+06,,Spot,6,Image 1,1,104,
3.63586e+06,,Spot,6,Image 1,1,105,
2.69903e+06,,Spot,6,Image 1,1,106,
7.31287e+06,,Spot,6,Image 1,1,107,
7.60038e+06,,Spot,6,Image 1,1,108,
3.75864e+06,,Spot,6,Image 1,1,109,
6.13673e+06,,Spot,6,Image 1,1,110,
5.01792e+06,,Spot,6,Image 1,1,111,
4.47919e+06,,Spot,6,Image 1,1,122,
2.74031e+06,,Spot,6,Image 1,1,125,
7.77773e+06,,Spot,6,Image 1,1,128,
3.17465e+06,,Spot,6,Image 1,1,130,
5.35784e+06,,Spot,6,Image 1,1,131,
6.22638e+06,,Spot,6,Image 1,1,132,
4.55495e+06,,Spot,6,Image 1,1,133,
3.87562e+06,,Spot,6,Image 1,1,134,
3.10933e+06,,Spot,6,Image 1,1,135,
5.63652e+06,,Spot,6,Image 1,1,136,
4.41804e+06,,Spot,6,Image 1,1,137,
5.83626e+06,,Spot,6,Image 1,1,138,
6.82036e+06,,Spot,6,Image 1,1,139,
6.95043e+06,,Spot,6,Image 1,1,140,
8.23246e+06,,Spot,6,Image 1,1,141,
7.26861e+06,,Spot,6,Image 1,1,142,
7.00191e+06,,Spot,6,Image 1,1,143,
4.1079e+06,,Spot,6,Image 1,1,144,
4.25068e+06,,Spot,6,Image 1,1,145,
4.26138e+06,,Spot,6,Image 1,1,146,
5.13159e+06,,Spot,6,Image 1,1,147,
6.33188e+06,,Spot,6,Image 1,1,150,
8.19211e+06,,Spot,6,Image 1,1,151,
7.98942e+06,,Spot,6,Image 1,1,152,
4.18991e+06,,Spot,6,Image 1,1,154,
4.65899e+06,,Spot,6,Image 1,1,155,
4.33106e+06,,Spot,6,Image 1,1,156,
9.12827e+06,,Spot,6,Image 1,1,157,
6.36465e+06,,Spot,6,Image 1,1,158,
9.40321e+06,,Spot,6,Image 1,1,159,
4.05851e+06,,Spot,6,Image 1,1,160,
4.81178e+06,,Spot,6,Image 1,1,161,
3.7453e+06,,Spot,6,Image 1,1,162,
2.86718e+06,,Spot,6,Image 1,1,163,
2.72233e+06,,Spot,6,Image 1,1,164,
3.45162e+06,,Spot,6,Image 1,1,167,
5.57623e+06,,Spot,6,Image 1,1,168,
4.89236e+06,,Spot,6,Image 1,1,169,
6.16419e+06,,Spot,6,Image 1,1,170,
4.11468e+06,,Spot,6,Image 1,1,171,
6.31393e+06,,Spot,6,Image 1,1,172,
5.7075e+06,,Spot,6,Image 1,1,173,
7.70619e+06,,Spot,6,Image 1,1,174,
4.28348e+06,,Spot,6,Image 1,1,175,
5.32582e+06,,Spot,6,Image 1,1,233,
7.48124e+06,,Spot,6,Image 1,1,234,
6.01468e+06,,Spot,6,Image 1,1,238,
5.02603e+06,,Spot,6,Image 1,1,240,
1.11337e+07,,Spot,6,Image 1,1,246,
7.01916e+06,,Spot,6,Image 1,1,247,
3.59433e+06,,Spot,6,Image 1,1,248,
5.64496e+06,,Spot,6,Image 1,1,253,
5.9542e+06,,Spot,6,Image 1,1,262,
4.86755e+06,,Spot,6,Image 1,1,263,
5.86169e+06,,Spot,6,Image 1,1,264,
8.36408e+06,,Spot,6,Image 1,1,267,
7.58335e+06,,Spot,6,Image 1,1,269,
7.94072e+06,,Spot,6,Image 1,1,270,
7.90979e+06,,Spot,6,Image 1,1,271,
8.47951e+06,,Spot,6,Image 1,1,273,
1.14287e+07,,Spot,6,Image 1,1,274,
6.3721e+06,,Spot,6,Image 1,1,275,
9.26657e+06,,Spot,6,Image 1,1,276,
4.84793e+06,,Spot,6,Image 1,1,277,
3.88526e+06,,Spot,6,Image 1,1,278,
6.68991e+06,,Spot,6,Image 1,1,279,
1.00071e+07,,Spot,6,Image 1,1,280,
6.85806e+06,,Spot,6,Image 1,1,281,
5.68501e+06,,Spot,6,Image 1,1,282,
4.40669e+06,,Spot,6,Image 1,1,283,
7.34656e+06,,Spot,6,Image 1,1,284,
