
Intensity Sum of Square Ch=6 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
2.40625e+10,,Spot,6,Image 1,1,301,
1.91692e+10,,Spot,6,Image 1,1,302,
2.25427e+10,,Spot,6,Image 1,1,303,
1.01937e+10,,Spot,6,Image 1,1,304,
1.81949e+10,,Spot,6,Image 1,1,306,
1.82122e+10,,Spot,6,Image 1,1,308,
1.05355e+10,,Spot,6,Image 1,1,309,
2.97415e+10,,Spot,6,Image 1,1,310,
1.62652e+10,,Spot,6,Image 1,1,311,
5.53403e+09,,Spot,6,Image 1,1,312,
9.57747e+09,,Spot,6,Image 1,1,313,
6.09785e+09,,Spot,6,Image 1,1,314,
8.51666e+09,,Spot,6,Image 1,1,315,
8.7952e+09,,Spot,6,Image 1,1,316,
7.86783e+09,,Spot,6,Image 1,1,317,
7.00708e+09,,Spot,6,Image 1,1,318,
7.01831e+09,,Spot,6,Image 1,1,320,
7.18056e+09,,Spot,6,Image 1,1,321,
1.68281e+10,,Spot,6,Image 1,1,322,
3.29373e+10,,Spot,6,Image 1,1,366,
1.50189e+10,,Spot,6,Image 1,1,374,
2.44428e+10,,Spot,6,Image 1,1,376,
2.08149e+10,,Spot,6,Image 1,1,389,
5.09854e+10,,Spot,6,Image 1,1,390,
2.11946e+10,,Spot,6,Image 1,1,391,
2.96081e+10,,Spot,6,Image 1,1,392,
2.46889e+10,,Spot,6,Image 1,1,393,
2.64265e+10,,Spot,6,Image 1,1,394,
2.38384e+10,,Spot,6,Image 1,1,395,
2.42797e+10,,Spot,6,Image 1,1,396,
1.90421e+10,,Spot,6,Image 1,1,398,
3.07163e+10,,Spot,6,Image 1,1,399,
1.69025e+10,,Spot,6,Image 1,1,400,
1.79403e+10,,Spot,6,Image 1,1,401,
2.19299e+10,,Spot,6,Image 1,1,402,
4.31427e+10,,Spot,6,Image 1,1,403,
2.78993e+10,,Spot,6,Image 1,1,404,
2.52154e+10,,Spot,6,Image 1,1,405,
1.152e+10,,Spot,6,Image 1,1,406,
1.22527e+10,,Spot,6,Image 1,1,407,
3.60985e+10,,Spot,6,Image 1,1,408,
7.58647e+09,,Spot,6,Image 1,1,409,
5.70247e+10,,Spot,6,Image 1,1,410,
2.57816e+10,,Spot,6,Image 1,1,411,
3.09913e+10,,Spot,6,Image 1,1,412,
1.04521e+10,,Spot,6,Image 1,1,413,
4.20149e+10,,Spot,6,Image 1,1,414,
1.70958e+10,,Spot,6,Image 1,1,416,
2.00058e+10,,Spot,6,Image 1,1,421,
1.24179e+10,,Spot,6,Image 1,1,423,
1.59129e+10,,Spot,6,Image 1,1,425,
6.79202e+10,,Spot,6,Image 1,1,426,
1.64347e+10,,Spot,6,Image 1,1,427,
7.45364e+09,,Spot,6,Image 1,1,428,
2.96404e+10,,Spot,6,Image 1,1,429,
1.66814e+10,,Spot,6,Image 1,1,431,
4.60759e+10,,Spot,6,Image 1,1,432,
1.93608e+10,,Spot,6,Image 1,1,434,
5.59297e+09,,Spot,6,Image 1,1,435,
2.30886e+10,,Spot,6,Image 1,1,436,
3.1306e+10,,Spot,6,Image 1,1,437,
1.16106e+10,,Spot,6,Image 1,1,438,
1.78712e+10,,Spot,6,Image 1,1,439,
1.73734e+10,,Spot,6,Image 1,1,440,
2.09356e+10,,Spot,6,Image 1,1,441,
1.80835e+10,,Spot,6,Image 1,1,442,
2.78216e+10,,Spot,6,Image 1,1,443,
7.74629e+09,,Spot,6,Image 1,1,444,
6.86127e+09,,Spot,6,Image 1,1,445,
2.16998e+10,,Spot,6,Image 1,1,446,
2.47883e+10,,Spot,6,Image 1,1,512,
2.55939e+10,,Spot,6,Image 1,1,514,
2.69522e+10,,Spot,6,Image 1,1,517,
3.08746e+10,,Spot,6,Image 1,1,518,
1.04839e+10,,Spot,6,Image 1,1,519,
2.11497e+10,,Spot,6,Image 1,1,520,
2.11676e+10,,Spot,6,Image 1,1,521,
2.33068e+10,,Spot,6,Image 1,1,522,
2.59545e+10,,Spot,6,Image 1,1,523,
2.07072e+10,,Spot,6,Image 1,1,524,
2.90808e+10,,Spot,6,Image 1,1,525,
3.02086e+10,,Spot,6,Image 1,1,526,
