
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
133.832,um,Spot,Distance from Origin,1,313,
144.767,um,Spot,Distance from Origin,1,314,
143.127,um,Spot,Distance from Origin,1,315,
135.036,um,Spot,Distance from Origin,1,316,
150.388,um,Spot,Distance from Origin,1,317,
145.215,um,Spot,Distance from Origin,1,318,
150.669,um,Spot,Distance from Origin,1,320,
144.112,um,Spot,Distance from Origin,1,321,
147.392,um,Spot,Distance from Origin,1,322,
94.586,um,Spot,Distance from Origin,1,366,
122.433,um,Spot,Distance from Origin,1,374,
114.064,um,Spot,Distance from Origin,1,376,
84.6386,um,Spot,Distance from Origin,1,389,
79.0236,um,Spot,Distance from Origin,1,390,
81.5326,um,Spot,Distance from Origin,1,391,
74.169,um,Spot,Distance from Origin,1,392,
82.6655,um,Spot,Distance from Origin,1,393,
78.4904,um,Spot,Distance from Origin,1,394,
78.1604,um,Spot,Distance from Origin,1,395,
86.3659,um,Spot,Distance from Origin,1,396,
85.1248,um,Spot,Distance from Origin,1,398,
93.43,um,Spot,Distance from Origin,1,399,
90.2454,um,Spot,Distance from Origin,1,400,
83.6254,um,Spot,Distance from Origin,1,401,
82.9035,um,Spot,Distance from Origin,1,402,
108.581,um,Spot,Distance from Origin,1,403,
93.811,um,Spot,Distance from Origin,1,404,
83.7626,um,Spot,Distance from Origin,1,405,
108.324,um,Spot,Distance from Origin,1,406,
110.027,um,Spot,Distance from Origin,1,407,
93.3131,um,Spot,Distance from Origin,1,408,
119.945,um,Spot,Distance from Origin,1,409,
108.361,um,Spot,Distance from Origin,1,410,
132.233,um,Spot,Distance from Origin,1,411,
132.036,um,Spot,Distance from Origin,1,412,
124.598,um,Spot,Distance from Origin,1,413,
116.135,um,Spot,Distance from Origin,1,414,
139.151,um,Spot,Distance from Origin,1,416,
143.409,um,Spot,Distance from Origin,1,421,
89.5504,um,Spot,Distance from Origin,1,423,
111.487,um,Spot,Distance from Origin,1,425,
108.465,um,Spot,Distance from Origin,1,426,
101.409,um,Spot,Distance from Origin,1,427,
93.0057,um,Spot,Distance from Origin,1,428,
101.683,um,Spot,Distance from Origin,1,429,
122.736,um,Spot,Distance from Origin,1,431,
124.056,um,Spot,Distance from Origin,1,432,
120.733,um,Spot,Distance from Origin,1,434,
135.3,um,Spot,Distance from Origin,1,435,
124.921,um,Spot,Distance from Origin,1,436,
115.815,um,Spot,Distance from Origin,1,437,
140.16,um,Spot,Distance from Origin,1,438,
135.403,um,Spot,Distance from Origin,1,439,
135.256,um,Spot,Distance from Origin,1,440,
133.895,um,Spot,Distance from Origin,1,441,
144.371,um,Spot,Distance from Origin,1,442,
125.758,um,Spot,Distance from Origin,1,443,
142.332,um,Spot,Distance from Origin,1,444,
138.972,um,Spot,Distance from Origin,1,445,
133.474,um,Spot,Distance from Origin,1,446,
91.6202,um,Spot,Distance from Origin,1,512,
91.2779,um,Spot,Distance from Origin,1,514,
99.3232,um,Spot,Distance from Origin,1,517,
104.81,um,Spot,Distance from Origin,1,518,
117.562,um,Spot,Distance from Origin,1,519,
105.443,um,Spot,Distance from Origin,1,520,
95.4736,um,Spot,Distance from Origin,1,521,
