
Diameter
 ==================== 
Diameter X,Diameter Y,Diameter Z,Unit,Category,Collection,Time,ID,
5,5,5,um,Spot,Diameter,1,111,
5,5,5,um,Spot,Diameter,1,122,
5,5,5,um,Spot,Diameter,1,125,
5,5,5,um,Spot,Diameter,1,128,
5,5,5,um,Spot,Diameter,1,130,
5,5,5,um,Spot,Diameter,1,131,
5,5,5,um,Spot,Diameter,1,132,
5,5,5,um,Spot,Diameter,1,133,
5,5,5,um,Spot,Diameter,1,134,
5,5,5,um,Spot,Diameter,1,135,
5,5,5,um,Spot,Diameter,1,136,
5,5,5,um,Spot,Diameter,1,137,
5,5,5,um,Spot,Diameter,1,138,
5,5,5,um,Spot,Diameter,1,139,
5,5,5,um,Spot,Diameter,1,140,
5,5,5,um,Spot,Diameter,1,141,
5,5,5,um,Spot,Diameter,1,142,
5,5,5,um,Spot,Diameter,1,143,
5,5,5,um,Spot,Diameter,1,144,
5,5,5,um,Spot,Diameter,1,145,
5,5,5,um,Spot,Diameter,1,146,
5,5,5,um,Spot,Diameter,1,147,
5,5,5,um,Spot,Diameter,1,150,
5,5,5,um,Spot,Diameter,1,151,
5,5,5,um,Spot,Diameter,1,152,
5,5,5,um,Spot,Diameter,1,154,
5,5,5,um,Spot,Diameter,1,155,
5,5,5,um,Spot,Diameter,1,156,
5,5,5,um,Spot,Diameter,1,157,
5,5,5,um,Spot,Diameter,1,158,
5,5,5,um,Spot,Diameter,1,159,
5,5,5,um,Spot,Diameter,1,160,
5,5,5,um,Spot,Diameter,1,161,
5,5,5,um,Spot,Diameter,1,162,
5,5,5,um,Spot,Diameter,1,163,
5,5,5,um,Spot,Diameter,1,164,
5,5,5,um,Spot,Diameter,1,167,
5,5,5,um,Spot,Diameter,1,168,
5,5,5,um,Spot,Diameter,1,169,
5,5,5,um,Spot,Diameter,1,170,
5,5,5,um,Spot,Diameter,1,171,
5,5,5,um,Spot,Diameter,1,172,
5,5,5,um,Spot,Diameter,1,173,
5,5,5,um,Spot,Diameter,1,174,
5,5,5,um,Spot,Diameter,1,175,
5,5,5,um,Spot,Diameter,1,233,
5,5,5,um,Spot,Diameter,1,234,
5,5,5,um,Spot,Diameter,1,238,
5,5,5,um,Spot,Diameter,1,240,
5,5,5,um,Spot,Diameter,1,246,
5,5,5,um,Spot,Diameter,1,247,
5,5,5,um,Spot,Diameter,1,248,
5,5,5,um,Spot,Diameter,1,253,
5,5,5,um,Spot,Diameter,1,262,
5,5,5,um,Spot,Diameter,1,263,
5,5,5,um,Spot,Diameter,1,264,
5,5,5,um,Spot,Diameter,1,267,
5,5,5,um,Spot,Diameter,1,269,
5,5,5,um,Spot,Diameter,1,270,
5,5,5,um,Spot,Diameter,1,271,
5,5,5,um,Spot,Diameter,1,273,
5,5,5,um,Spot,Diameter,1,274,
5,5,5,um,Spot,Diameter,1,275,
5,5,5,um,Spot,Diameter,1,276,
5,5,5,um,Spot,Diameter,1,277,
5,5,5,um,Spot,Diameter,1,278,
5,5,5,um,Spot,Diameter,1,279,
5,5,5,um,Spot,Diameter,1,280,
5,5,5,um,Spot,Diameter,1,281,
5,5,5,um,Spot,Diameter,1,282,
5,5,5,um,Spot,Diameter,1,283,
5,5,5,um,Spot,Diameter,1,284,
5,5,5,um,Spot,Diameter,1,285,
5,5,5,um,Spot,Diameter,1,286,
5,5,5,um,Spot,Diameter,1,288,
5,5,5,um,Spot,Diameter,1,292,
5,5,5,um,Spot,Diameter,1,294,
5,5,5,um,Spot,Diameter,1,296,
5,5,5,um,Spot,Diameter,1,297,
5,5,5,um,Spot,Diameter,1,298,
5,5,5,um,Spot,Diameter,1,299,
5,5,5,um,Spot,Diameter,1,300,
5,5,5,um,Spot,Diameter,1,301,
5,5,5,um,Spot,Diameter,1,302,
5,5,5,um,Spot,Diameter,1,303,
5,5,5,um,Spot,Diameter,1,304,
5,5,5,um,Spot,Diameter,1,306,
5,5,5,um,Spot,Diameter,1,308,
5,5,5,um,Spot,Diameter,1,309,
5,5,5,um,Spot,Diameter,1,310,
5,5,5,um,Spot,Diameter,1,311,
5,5,5,um,Spot,Diameter,1,312,
5,5,5,um,Spot,Diameter,1,313,
5,5,5,um,Spot,Diameter,1,314,
5,5,5,um,Spot,Diameter,1,315,
5,5,5,um,Spot,Diameter,1,316,
5,5,5,um,Spot,Diameter,1,317,
5,5,5,um,Spot,Diameter,1,318,
5,5,5,um,Spot,Diameter,1,320,
5,5,5,um,Spot,Diameter,1,321,
5,5,5,um,Spot,Diameter,1,322,
5,5,5,um,Spot,Diameter,1,366,
5,5,5,um,Spot,Diameter,1,374,
5,5,5,um,Spot,Diameter,1,376,
5,5,5,um,Spot,Diameter,1,389,
5,5,5,um,Spot,Diameter,1,390,
5,5,5,um,Spot,Diameter,1,391,
5,5,5,um,Spot,Diameter,1,392,
5,5,5,um,Spot,Diameter,1,393,
5,5,5,um,Spot,Diameter,1,394,
5,5,5,um,Spot,Diameter,1,395,
5,5,5,um,Spot,Diameter,1,396,
5,5,5,um,Spot,Diameter,1,398,
5,5,5,um,Spot,Diameter,1,399,
5,5,5,um,Spot,Diameter,1,400,
5,5,5,um,Spot,Diameter,1,401,
5,5,5,um,Spot,Diameter,1,402,
5,5,5,um,Spot,Diameter,1,403,
5,5,5,um,Spot,Diameter,1,404,
5,5,5,um,Spot,Diameter,1,405,
5,5,5,um,Spot,Diameter,1,406,
5,5,5,um,Spot,Diameter,1,407,
5,5,5,um,Spot,Diameter,1,408,
5,5,5,um,Spot,Diameter,1,409,
5,5,5,um,Spot,Diameter,1,410,
5,5,5,um,Spot,Diameter,1,411,
5,5,5,um,Spot,Diameter,1,412,
5,5,5,um,Spot,Diameter,1,413,
5,5,5,um,Spot,Diameter,1,414,
5,5,5,um,Spot,Diameter,1,416,
5,5,5,um,Spot,Diameter,1,421,
5,5,5,um,Spot,Diameter,1,423,
5,5,5,um,Spot,Diameter,1,425,
5,5,5,um,Spot,Diameter,1,426,
5,5,5,um,Spot,Diameter,1,427,
5,5,5,um,Spot,Diameter,1,428,
5,5,5,um,Spot,Diameter,1,429,
5,5,5,um,Spot,Diameter,1,431,
5,5,5,um,Spot,Diameter,1,432,
5,5,5,um,Spot,Diameter,1,434,
5,5,5,um,Spot,Diameter,1,435,
